Date,Bridge,Speed,Type,Test Run,FileName,DirectionTraveled,LaneTraveled,Notes
25-Jul-19,Waterloo,15,Steel,7,WaterLoo steelBridge_R23_07_25_2019_14_52_25,North,Middle,
25-Jul-19,Waterloo,15,Steel,8,WaterLoo steelBridge_R24_07_25_2019_14_53_23,South,Middle,
25-Jul-19,Waterloo,15,Steel,9,WaterLoo steelBridge_R25_07_25_2019_14_54_50,North,Middle,
25-Jul-19,Waterloo,15,Steel,10,WaterLoo steelBridge_R26_07_25_2019_14_56_10,South,Middle,
25-Jul-19,Waterloo,15,Steel,11,WaterLoo steelBridge_R27_07_25_2019_14_58_40,North,Middle,
25-Jul-19,Waterloo,15,Steel,12,WaterLoo steelBridge_R28_07_25_2019_14_59_34,South,Middle,
25-Jul-19,Waterloo,30,Steel,1,WaterLoo steelBridge_R29_07_25_2019_15_01_06,North,East,
25-Jul-19,Waterloo,30,Steel,2,WaterLoo steelBridge_R30_07_25_2019_15_02_53,South,West,
25-Jul-19,Waterloo,30,Steel,3,WaterLoo steelBridge_R31_07_25_2019_15_04_08,North,East,
25-Jul-19,Waterloo,30,Steel,4,WaterLoo steelBridge_R32_07_25_2019_15_05_35,South,West,
25-Jul-19,Waterloo,30,Steel,5,WaterLoo steelBridge_R33_07_25_2019_15_06_49,North,East,
25-Jul-19,Waterloo,30,Steel,6,WaterLoo steelBridge_R34_07_25_2019_15_08_25,South,West,
25-Jul-19,Waterloo,30,Steel,7,WaterLoo steelBridge_R35_07_25_2019_15_09_40,North,Middle,
25-Jul-19,Waterloo,30,Steel,8,WaterLoo steelBridge_R36_07_25_2019_15_11_08,South,Middle,
25-Jul-19,Waterloo,30,Steel,9,WaterLoo steelBridge_R37_07_25_2019_15_12_20,North,Middle,
25-Jul-19,Waterloo,30,Steel,10,WaterLoo steelBridge_R38_07_25_2019_15_14_13,South,Middle,
25-Jul-19,Waterloo,30,Steel,11,WaterLoo steelBridge_R39_07_25_2019_15_15_27,North,Middle,
25-Jul-19,Waterloo,30,Steel,12,WaterLoo steelBridge_R40_07_25_2019_15_17_15,South,Middle,
25-Jul-19,Waterloo,45,Steel,1,WaterLoo steelBridge_R41_07_25_2019_15_18_41,North,East,
25-Jul-19,Waterloo,45,Steel,2,WaterLoo steelBridge_R42_07_25_2019_15_20_03,South,West,
25-Jul-19,Waterloo,45,Steel,3,WaterLoo steelBridge_R43_07_25_2019_15_21_27,North,East,
25-Jul-19,Waterloo,45,Steel,4,WaterLoo steelBridge_R44_07_25_2019_15_22_45,South,West,
25-Jul-19,Waterloo,45,Steel,5,WaterLoo steelBridge_R45_07_25_2019_15_24_17,North,East,
25-Jul-19,Waterloo,45,Steel,6,WaterLoo steelBridge_R46_07_25_2019_15_25_59,South,West,
25-Jul-19,Waterloo,45,Steel,7,WaterLoo steelBridge_R47_07_25_2019_15_27_26,North,Middle,
25-Jul-19,Waterloo,45,Steel,8,WaterLoo steelBridge_R48_07_25_2019_15_29_00,South,Middle,
25-Jul-19,Waterloo,45,Steel,9,WaterLoo steelBridge_R49_07_25_2019_15_30_19,North,Middle,
25-Jul-19,Waterloo,45,Steel,10,WaterLoo steelBridge_R50_07_25_2019_15_31_44,South,Middle,
25-Jul-19,Waterloo,45,Steel,11,WaterLoo steelBridge_R51_07_25_2019_15_33_01,North,Middle,
25-Jul-19,Waterloo,45,Steel,12,WaterLoo steelBridge_R52_07_25_2019_15_34_49,South,Middle,
13-Jun-19,Ashland,5,Concrete,1,Bridge Test_R26_06_14_2019_12_47_15,North,East,
13-Jun-19,Ashland,5,Concrete,2,Bridge Test_R27_06_14_2019_12_48_38,North,middle,
13-Jun-19,Ashland,5,Concrete,3,Bridge Test_R28_06_14_2019_12_51_34_SemiTruck,North,middle,
13-Jun-19,Ashland,5,Concrete,4,Bridge Test_R29_06_14_2019_12_52_19,North,West,
13-Jun-19,Ashland,5,Concrete,5,Bridge Test_R30_06_14_2019_12_53_40,North,West,most data do not start & end on zero
13-Jun-19,Ashland,5,Concrete,6,Bridge Test_R31_06_14_2019_12_54_31,North,middle,
13-Jun-19,Ashland,5,Concrete,7,Bridge Test_R32_06_14_2019_12_55_28,North,East,
13-Jun-19,Ashland,5,Concrete,8,Bridge Test_R33_06_14_2019_12_56_32,North,East,
13-Jun-19,Ashland,5,Concrete,9,Bridge Test_R34_06_14_2019_12_57_30,North,middle,
13-Jun-19,Ashland,5,Concrete,10,Bridge Test_R35_06_14_2019_12_58_22,North,West,
13-Jun-19,Ashland,15,Concrete,2,Bridge Test_R37_06_14_2019_13_05_04,North,East,most data do not start & end on zero
13-Jun-19,Ashland,15,Concrete,3,Bridge Test_R38_06_14_2019_13_06_20,North,middle,most data do not start & end on zero
13-Jun-19,Ashland,15,Concrete,4,Bridge Test_R39_06_14_2019_13_08_09,North,middle,most data do not start & end on zero
13-Jun-19,Ashland,15,Concrete,5,Bridge Test_R40_06_14_2019_13_10_09,North,West,
13-Jun-19,Ashland,15,Concrete,6,Bridge Test_R41_06_14_2019_13_11_58,North,West,
13-Jun-19,Ashland,15,Concrete,7,Bridge Test_R42_06_14_2019_13_13_00,North,West,
