Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,0.044027849,0.050703107,0.029640313,0.030566013,0.007828632,0.045927557,-0.056952324,0.004563368,0.027319872,-0.009838279,0.003443478,0.048081798,0.041380671,0.052800069,0.010288617,-0.002303262,1.69132E-05,0.0115116,0.033505989,-0.00591648,-0.015153026,0.046753862,0.03036697,-0.00553894,-0.001371991,-0.000967319,-0.042671495,-0.000854435,-0.003300291,-0.01936768,0.030180498,0.031105099,0.015562809,-0.006025835,0.000113046,6.58553E-05,-0.000116803,-0.030005455,0.050108245,-0.010638844
0.02,-0.007729964,0.031232892,-0.01303852,0.037966526,0.000639835,0.006895575,-0.059454765,0.023995436,0.039351427,-0.043686088,-0.007634403,0.043172283,0.022917536,0.026432882,0.01390495,0.028763633,-2.08948E-05,-0.000725948,0.014035774,0.006260034,-0.03425703,0.022095658,0.047494961,0.000595093,-0.001370491,-0.00096807,-0.090812974,-0.000854435,0.033778566,-0.014561162,-0.008576827,0.039642392,0.001768864,-0.003462358,5.05E-05,6.20611E-05,-6.38963E-05,0.027668953,0.033186248,-0.005237233
0.03,-0.03550096,-0.019861164,0.01897442,-0.009991848,0.006630817,0.003233466,-0.019415703,0.003350294,0.006888353,0.025220696,0.013285397,0.032126827,0.003264216,0.02759255,0.022327802,0.055039268,5.57152E-06,-0.015404904,-0.002993035,-0.019298438,-0.026627635,0.041748979,0.003458096,0.032516479,-0.001375742,-0.000963564,-0.038872056,-0.000863445,0.023890871,0.010646358,0.045988603,0.038429318,-0.039551937,0.009324507,3.91267E-05,1.27345E-05,-5.44527E-05,-0.007437706,-0.0055253,-0.002551686
0.04,-0.016580061,-0.034463825,0.022972223,-0.00140115,-0.002955517,0.038572821,-0.018133964,-0.020949327,0.004477465,0.049398248,0.02559161,-0.004693585,0.027830866,0.028813253,0.004261395,0.043106894,2.63652E-05,-0.01784631,0.012815071,-0.041210059,-0.013871288,0.03064058,-0.022230076,0.023925781,-0.001372741,-0.000959809,0.009269423,-0.00085894,-0.009495359,0.020259395,0.068937822,-0.005500736,-0.020783627,0.019547896,1.82781E-05,-0.000101097,4.00244E-05,-0.023737907,0.009001067,-0.001178395
0.05,0.012472673,-0.012559833,0.026985284,0.036730564,0.000639835,0.005674872,-0.044440117,-0.011229479,0.026122057,-0.005001243,0.016978024,-0.031695919,0.059782771,0.058720479,0.004261395,0.044327598,5.094E-05,0.0115116,0.038388801,0.012348291,-0.007462596,0.056641557,-0.008779453,-0.012908936,-0.00136374,-0.000951548,0.030814833,-0.000853684,0.018947023,-0.007359013,0.049589677,-0.001838626,0.036864078,0.010606246,2.39647E-05,-7.07418E-05,4.19131E-05,0.025162697,-0.01156778,0.047283519
0.06,0.028860612,0.017850934,0.069664117,0.060107029,-0.001757702,-0.018739191,-0.034430351,0.013070143,0.021315538,0.004669015,-0.006406071,0.012488766,0.036436823,0.083927999,0.02473869,0.034745078,-5.77106E-06,0.000494755,0.0310951,0.048862573,-0.007462596,0.055420854,-0.008779453,-0.020278931,-0.001360739,-0.00095305,0.039695449,-0.000853684,0.020167726,0.001048579,0.042265459,0.031105099,0.06191901,0.03108354,2.96514E-05,1.27345E-05,-1.54611E-06,0.016385078,-0.073228547,0.044597973
0.07,0.04274611,0.066518841,0.068336602,0.057635105,-0.012538036,0.021513495,-0.021918144,0.019143141,-0.008744276,0.053026025,-0.024876835,0.034581585,0.02047613,0.058720479,0.030765912,0.008469443,-4.92499E-05,-0.036187374,0.009152961,0.033039209,0.020613576,0.01098726,0.002237393,-0.00553894,-0.00136299,-0.000962813,-0.004661851,-0.000846927,-0.020619017,0.031062617,-0.008576827,0.029884396,0.01681403,0.074601607,-6.51181E-05,-7.07418E-05,5.51379E-05,-0.001170158,-0.024858186,-0.005237233
0.08,0.014975114,0.068952618,0.062996026,0.008440769,0.019806782,0.023954901,-0.026923027,-0.002730333,0.000868761,0.040937249,-0.000249149,-0.028013783,0.011870173,0.02759255,0.022327802,0.009629111,2.82548E-05,-0.023980343,0.021359993,0.023304101,0.018050099,0.035645463,0.02179916,-0.022720337,-0.001371241,-0.000956054,-0.035072618,-0.000847677,-0.007023436,0.011851802,-0.04129167,0.021339474,-0.03082391,0.015733199,-0.000120081,-3.46959E-05,6.45852E-05,-0.00493145,0.04286032,0.001476635
0.09,-0.020364241,0.022718487,0.068336602,-0.013699734,0.035380283,-0.016297784,-0.024420585,-0.008803331,0.039351427,0.002250497,0.023134945,-0.035377102,-0.028687688,0.010807882,-0.004176715,0.013230185,5.094E-05,0.006628788,0.048123909,0.003818628,-0.001053905,0.040650346,0.02179916,-0.025177002,-0.001373491,-0.000941784,-0.00719481,-0.000853684,0.012767214,-0.014561162,-0.017060713,0.033546506,0.010557926,-0.044447465,-2.53134E-05,0.000168303,1.35674E-05,-0.011198997,0.023496917,0.018993724
0.1,0.008688493,-0.010126056,0.022972223,0.025652683,-0.007744869,-0.00287005,-0.018133964,0.014283217,0.01650139,-0.009838279,0.024363278,0.021080417,-0.011475774,0.00604714,-0.004176715,0.01204,-3.88048E-06,0.02008704,0.074918342,-0.004688147,-0.001053905,-0.002684615,0.018137051,0.017776489,-0.00136824,-0.00094554,-0.002128892,-0.00085894,-0.003300291,-0.004963384,0.001127763,0.017684994,0.054381168,-0.017561479,1.82781E-05,0.000126566,-7.216E-06,0.003846169,0.017454436,0.004192699
