Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,B7039_18A,B7056_18A,B5406_18A,B5395_18A,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.01,-0.011833482,-0.002081252,0.043932098,-0.002527045,0.006656994,-0.002067797,0.03716255,0.049608635,-0.04445232,0.006949685,0.01612802,0.013957255,0.009625966,0.041141481,0.048225694,0.038967686,0.001214064,0.040553785,0.011354286,0.016987378,0.002646992,0.015371308,0.008690288,-0.017959478,0.007577782,0.003670536,0.038490665,0.023087231,0.040639397,0.024371606,-0.003076998,-0.002350854
0.02,0.002921767,0.023431443,0.064775127,-0.002536068,-0.009273182,0.046455152,0.012008436,0.049608635,-0.049304615,0.010627053,-0.006493135,0.011401408,-0.037447398,0.055965394,0.017967515,-0.0089678,0.024319685,0.014402127,-0.009596031,-0.007145827,-0.034059932,0.006628022,0.040916851,-0.05032337,0.036394005,0.012497745,0.031261814,0.049454419,0.034200188,0.034472924,-0.003076998,-0.002338844
0.03,0.010291762,0.000482224,0.040254015,-0.002539075,-0.017818104,0.092445142,0.006980665,0.06114428,-0.045673024,0.039923928,0.01486917,0.00500416,-0.018877452,0.015525789,0.019188218,-0.017573757,0.026749647,0.015590406,-0.005903404,-0.022387927,-0.022667339,-0.018381133,0.062035015,0.012016413,0.043596154,0.013748966,0.05896796,0.034989087,0.009786125,0.040782433,-0.003070992,-0.002331338
0.04,0.007835097,-0.02252803,0.034123677,-0.002526293,-0.032558094,0.106483228,-0.000564806,0.05345385,-0.071155201,0.022834084,0.028693633,0.016516917,0.009625966,-0.010082274,0.027649217,-0.012660427,0.009728468,0.03223393,0.006425697,-0.008416121,0.034291813,-0.007135406,0.022301128,0.039589045,0.000375634,0.009972416,0.064991367,0.04817268,-0.040323738,0.011748773,-0.003070992,-0.0023456
0.05,0.017661757,0.000482224,0.06354906,-0.002524038,-0.009273182,0.080940015,-0.000564806,0.032823967,-0.040820729,0.011847756,0.01486917,0.031867258,-0.007723277,-0.001995116,-0.020736403,-0.011432094,0.023102797,0.012023664,0.000261147,0.006825979,0.002646992,-0.030878082,0.00740855,0.020408747,-0.006826515,-0.002623715,0.027645481,0.061356274,-0.024912361,-0.022339362,-0.003073995,-0.002354607
0.06,0.00414247,0.01830449,0.030445475,-0.002531556,0.011539806,0.02985359,0.03716255,0.038011955,0.012523998,0.027716897,0.01738687,0.048503153,-0.000307505,-0.010082274,-0.023162551,-0.006518764,0.009728468,-0.001053119,-0.019453209,0.01444679,-0.037857463,-0.047128692,0.009910991,-0.00117481,0.011178856,-0.041655697,0.013195408,-0.00059441,0.007222649,-0.029911536,-0.003075497,-0.002356858
0.07,-0.024101549,0.059198045,0.013280768,-0.002530804,0.001774181,-0.016105883,0.028358228,0.050890373,-0.009326588,0.025275491,0.013617949,0.065135233,-0.017626231,-0.007389098,0.032486253,-0.034778042,-0.023104631,0.014402127,-0.000974815,0.003015096,0.012773106,-0.009622588,0.022301128,-0.046729925,-0.002023811,-0.012702145,0.031261814,-0.021712574,-0.003061775,0.006698113,-0.003069491,-0.002360611
0.08,-0.004448228,0.066827439,0.070905346,-0.002517271,0.028721203,0.000495679,-0.015671008,0.040575432,-0.026294361,0.00940635,-0.016548677,0.044665568,-0.051088755,0.007438631,0.008301072,-0.027408047,-0.023104631,0.007268644,0.001497109,-0.017307227,0.044417927,0.014120087,0.033470561,-0.023948553,0.000375634,0.030114017,0.032467259,-0.00059441,-0.000498298,0.031947595,-0.003071743,-0.002355357
0.09,0.0090558,0.001702927,0.086844105,-0.002511256,0.074039806,0.055396802,0.003196485,0.044420647,0.007671703,0.026496194,-0.001465364,-0.003956564,-0.013918345,0.012828798,-0.015906996,0.020527439,-0.009726488,-0.009374881,-0.012052696,-0.033819621,0.022901127,0.00287436,0.011131694,0.037193415,0.024389153,0.009972416,-5.30357E-05,-0.00852898,0.034200188,-0.000877875,-0.003080751,-0.002341847
0.1,-0.00077086,-0.020025588,0.045158166,-0.00252103,0.032383312,0.031135328,0.045966871,0.06505053,0.004040111,0.046027444,0.029952483,-0.001396902,0.000943715,0.011486024,0.020393663,-0.0089678,0.021885908,-0.009374881,-0.004667442,-0.00587601,0.015304158,0.000371918,-0.005042622,0.014419672,0.000375634,-0.018996395,-0.01089822,-0.038863453,0.052205559,-0.013500709,-0.003078499,-0.002335842
0.11,0.031165785,-0.003424026,0.041479963,-0.00253306,-0.014155995,-0.027580492,0.020812757,0.034105705,-0.027484547,0.033820412,-0.002724214,0.030589335,-0.03250355,0.012828798,0.044594102,-0.032329006,0.014592207,0.003701902,-0.018232506,0.052551801,0.020368168,0.027883515,-0.007484028,-0.031143072,-0.032041664,-0.010176815,0.025238407,-0.050704273,0.023915764,0.03068493,-0.003067239,-0.002335842
0.12,0.021339125,0.024713181,0.062322992,-0.002532308,0.017673839,-0.028892748,-0.019439928,0.012194084,-0.029925953,0.017936013,-0.026604219,0.015235178,-0.011446421,0.015525789,0.033706956,0.011921482,-0.020670854,0.021533704,-0.021925133,0.00936609,-0.004946163,0.015371308,0.003685405,-0.019157293,-0.00322544,0.022568546,0.05896796,-0.007247242,-0.00690699,0.026896935,-0.003061234,-0.002339595
