Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A
0.01,6.20444E-05,2.65674E-05,-0.03687432,-0.014513322,-0.052221691,-0.014901198,0.021057595,-0.053606805,-0.000192029,-0.000127648,-0.061549762,-0.003116054,-0.049664912,-0.00102164,0.003779521,-0.00268974,-0.007945985,0.039995266,0.005895833,0.002100704,-0.012961934,-0.006309407,-0.001423843,0.007761249,-0.000416879,0.033235856,0.015151395,0.004600933,-0.008747159,-0.001966338,-0.001825295,-0.000949444,0.03892494,-0.011994275,0.002679998,0.004231886,-0.007125508,0.008221251,-0.024930492,0.026030685
0.02,-0.000106693,2.08959E-05,-0.03687432,-0.012041398,-0.007200634,-0.031472243,0.033508767,-0.041430291,9.37901E-05,0.000204488,-0.057933429,0.018642979,-0.047238765,-0.039565341,0.003779521,-0.00268974,-0.000408143,0.046739651,-0.039399882,-0.033368351,-0.015494893,-0.03072347,0.030528061,0.060495624,0.009623404,0.043016739,-0.00065671,-0.011024067,0.043350162,-0.001975338,-0.001834298,-0.000951696,-0.017166369,0.039659587,0.014795477,-0.009211107,-0.009566914,0.003216368,0.038610921,-0.001107071
0.03,1.46466E-05,0.000160789,-0.00310662,-0.030550309,0.026872242,-0.032753981,0.047180642,-0.040209588,0.000476143,0.000436606,-0.002452472,0.008984165,-0.018109737,0.014389737,0.008601298,-0.003910443,0.003345519,0.007768704,-0.043073436,-0.05997205,-0.009177754,-0.006309407,0.04075145,0.06281496,0.022196646,-0.011960678,0.016433133,-0.009864399,0.023502292,-0.001976087,-0.001826045,-0.00095695,-0.037552111,0.042061892,0.001489813,-0.032404466,-0.005889546,-0.014178652,0.022730336,-0.009751175
0.04,0.000283866,0.000213722,-0.00310662,-0.056459733,0.009835804,-0.040413893,0.024841775,-0.008532342,0.00047425,0.000379992,0.020466229,-0.004321499,-0.00597137,0.036240323,0.009760966,-0.021305463,0.004627257,-0.003004001,-0.028383037,-0.047307255,0.03626292,0.020547969,0.062449448,0.049692401,0.047312613,-0.008313827,0.053328885,0.042992046,-0.042240201,-0.001976087,-0.001832047,-0.000958451,-0.014602892,-0.014397058,0.012384588,0.011556105,0.01116978,0.030621153,-0.034707561,0.003821517
0.05,0.000306616,0.00020805,-0.011559989,-0.066332169,0.000100696,-0.083840407,0.01129197,-0.002428826,0.000203574,0.000232795,-0.026561359,-0.007937832,-0.012044368,-0.002303378,0.015803446,-0.010136029,-0.048076601,-0.005659031,-0.030832072,-0.018170597,0.018593242,0.038858516,0.018992417,0.011362323,0.03600585,-0.01684349,0.019088163,0.058556011,-0.059604703,-0.001979087,-0.001843301,-0.000964455,-0.012069933,-0.002384576,0.026880438,0.010350661,-0.025405537,0.050518614,-0.024930492,-0.001107071
0.06,0.000204237,0.000141885,-0.018792655,-0.052751847,-0.016935742,-0.0557032,-0.013610374,-0.024370965,-0.000184459,-4.984E-06,-0.039836505,-0.017611904,0.004946294,0.004120572,0.044581522,-0.000126264,-0.058116884,0.009111477,-0.044297954,0.004633663,-0.039481709,0.037637812,-0.020558365,-0.00182127,-0.00293458,-0.041272811,-0.06391965,0.015404155,-0.014953671,-0.001969338,-0.0018403,-0.000968959,0.035110242,0.003621665,0.013574774,-0.021418138,-0.055877339,0.033062559,0.00806664,-0.017151688
0.07,7.91071E-05,-0.000109545,-0.018792655,-0.020662613,-0.03761903,0.006827318,-0.003722679,-0.015826043,-0.000438098,-0.000229554,0.008411786,0.005352574,9.39988E-05,0.009247525,0.02898704,-0.032474896,-0.012920351,0.002367092,-0.022260447,0.019831417,-0.007926533,0.007120234,-0.000111587,0.005319843,-0.026799326,-0.049832992,-0.030960665,0.03096812,0.008617343,-0.001952089,-0.0018403,-0.00095695,0.03892494,-0.028811845,-0.003331965,0.004231886,-0.0339352,0.046795469,0.009283528,-0.019623612
0.08,-7.44614E-05,-0.000190834,-0.018792655,0.011411361,-0.019369518,-0.008523024,0.00738572,-0.001208123,-0.000210959,-0.000193698,-0.024165729,-0.001895351,-0.020535884,-0.006163852,-0.004612813,-0.063541791,0.003345519,-0.020460056,-0.006345531,0.01349902,0.008491924,-0.001426595,-0.020558365,-0.067800274,-0.051915293,-0.052274398,0.000625028,0.048973491,0.002414646,-0.001955839,-0.001846301,-0.000950195,-0.015884631,-0.005987557,-0.020269221,0.011556105,-0.048568379,0.029339415,0.009283528,-0.052933548
0.09,-8.20452E-05,1.33341E-05,-0.018792655,0.02868431,-0.019369518,-0.026375807,-0.033507835,-0.015826043,1.99697E-05,-6.15986E-05,-0.135127643,-0.034518642,-0.025388179,-0.00744559,-0.003422628,-0.072269818,-0.022960634,-0.020460056,-0.016141673,0.008433102,-0.010444233,0.025430781,-0.053792007,-0.102529278,-0.070759897,-0.020505599,-0.057327853,0.024986675,-0.007507382,-0.001981337,-0.0018418,-0.000965957,-0.003128283,0.004822818,-0.020269221,-0.021418138,-0.081481587,0.005718809,0.012953267,-0.064041947
0.1,-7.067E-05,-1.12417E-05,0.002920602,0.020047836,-0.055876171,-0.019997633,-0.018493186,-0.023150262,-0.000180673,-0.000137084,-0.136333087,-0.009158535,-0.056935725,-0.029280917,-0.016636739,-0.037479779,-0.059368104,-0.007032322,-0.028383037,0.045168636,0.013542583,0.035196406,-0.042317398,-0.050954571,-0.056950693,0.019777604,-0.016495333,0.023765972,-0.021152554,-0.001987337,-0.001835798,-0.000969709,0.010879285,0.010829059,-0.005742853,-0.026316209,-0.080260884,0.038067442,-0.001710429,-0.023323868
