Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,0.025441643,0.006369438,0.010886389,0.010688258,-0.005349647,-0.046761316,-0.022837399,-0.019822507,-0.001541079,0.007308683,0.021604698,0.025305784,0.024290129,0.015319824,0.021870271,0.047608121,-4.27281E-05,0.02223124,-0.017979746,0.034493366,-0.009794512,-0.004310666,-0.035813193,0.009270122,-0.001356989,-0.000944037,-0.016209843,-0.000860441,0.003314302,-0.031294961,0.065334174,-0.008232524,-0.017528971,0.038628964,-7.27751E-05,1.17605E-05,-1.17262E-05,0.041423943,-0.008895641,-0.013872685
0.02,0.026692864,0.023405876,0.012229162,-0.034813451,0.012619484,-0.027260584,0.015980961,-0.00767651,0.005668698,0.031486235,0.000677269,0.014259375,-0.005189852,0.044067383,0.020664827,0.021332486,-6.81164E-06,0.031996865,-0.024052744,0.017456928,-0.019987383,0.024253787,-0.028473716,-0.01528127,-0.00136374,-0.000938029,-0.016209843,-0.000858189,0.023089693,-7.54786E-05,0.028957221,0.018615315,0.00627474,0.018151669,3.14697E-05,-2.42873E-05,-4.76268E-05,-0.0175055,-0.016143566,-0.008471074
0.03,0.009023186,0.008803215,0.034903723,-0.021294164,0.003035058,-0.004097742,0.004750492,0.048201175,-0.000343265,0.001264296,-0.000551064,0.005668677,-0.01996036,0.010559082,-0.0142778,0.008148892,0.000106611,-0.016922812,-0.002141123,0.034493366,-0.002165117,0.061363162,-0.011345725,0.009270122,-0.00136374,-0.000948544,0.004069088,-0.000865697,0.003314302,0.032349448,-0.020664361,0.012511799,0.003802816,0.005334286,7.88535E-05,-3.56699E-05,-2.68397E-05,-0.048850868,-0.004058605,0.015759883
0.04,0.025441643,-0.050805245,0.046927649,0.002067042,-0.019723426,-0.011391443,-0.037791012,0.043341251,-0.005149783,0.002473555,0.032682579,0.020396269,-0.018739657,-0.015808105,0.008625642,0.00338815,0.00015387,-0.063401084,-0.005803232,0.023545185,-0.002165117,0.055137576,-0.001557212,0.019081523,-0.001359239,-0.000955303,-0.001012089,-0.000856687,-0.018933012,0.038346152,-0.0085794,-0.004578044,-0.006237467,0.014336972,-5.19265E-05,-3.41824E-06,5.44052E-05,-0.016254279,-0.020980602,0.030560908
0.05,0.016591545,-0.017960701,0.029578405,-0.024971532,0.010223855,-0.032112879,-0.02155566,0.005682559,0.028518735,0.031486235,0.058538597,0.031442679,-0.032228426,0.015319824,0.019459382,0.035614713,9.33782E-05,-0.004685264,0.02340209,-0.012976727,-0.013639727,0.02169031,-0.002785544,0.025215557,-0.001359989,-0.000949295,0.015467403,-0.000850681,-0.037472441,-0.003676553,-0.003757622,-0.030197551,0.018817465,0.037347226,-6.70885E-05,8.00599E-05,1.50234E-06,-0.007476661,-0.012511974,-0.009813847
0.06,-0.011179451,0.034354057,-0.002449793,-0.050804662,0.038973321,-0.041878504,0.032216312,-0.016183285,0.032119809,0.021815977,0.037603538,0.024078406,-0.022401766,0.026123047,-0.010661467,0.035614713,1.39829E-05,0.035689492,0.03802001,-0.000800213,-0.026396074,0.045249881,-0.004006247,0.017845561,-0.001359239,-0.000951548,0.00152087,-0.000862694,-0.062191679,-0.026488442,0.020473335,-0.053375652,0.047626059,0.020715146,2.95735E-05,4.59083E-05,-9.2971E-05,-0.042579505,-0.005264049,-0.008471074
0.07,0.033010002,-0.002144966,-0.013115686,-0.060646581,0.00902604,-0.045540613,0.029713871,-0.00402966,0.003265439,0.037530622,0.00683419,0.028987921,0.000944181,0.000915527,-0.004634246,-0.003783481,-2.19345E-05,0.028334756,0.003931875,-0.005660137,-0.035368242,0.07247156,-0.016236167,-0.014075825,-0.001359989,-0.000947042,-0.030156376,-0.000855936,-0.041180327,-0.008483071,0.041042182,-0.055824687,0.037616293,-0.011297794,6.83062E-06,-0.000126735,-3.25096E-05,-0.031299445,-0.01130653,0.048077998
0.08,0.064565178,-0.00701252,0.013571936,-0.034813451,-0.00055648,-0.038216394,0.003468754,0.002035709,-0.01477045,0.033904753,0.01175515,0.031442679,0.015684171,-0.00982666,0.013432161,-0.00140311,-4.65093E-05,0.034468789,-0.021641855,-0.009322247,-0.008512774,0.005699099,-0.02602468,0.015388896,-0.00136374,-0.000932021,0.007868527,-0.000852933,0.016894624,0.001129966,0.025295112,-0.022873332,-0.004986246,0.004083066,-6.89846E-05,-0.0001514,-9.83744E-06,0.022617486,0.00683617,0.03596252
0.09,0.006490227,0.034354057,0.032248694,-0.013924169,0.034180153,-0.043129724,0.024708988,-0.013749508,-0.032806338,-0.033792772,0.000677269,0.021623648,0.036558195,0.009338379,0.008625642,0.010559781,-3.51667E-05,0.024672647,-0.053288584,0.011368671,0.008088789,-0.02530676,-0.027253013,0.030128887,-0.00136449,-0.000934274,0.04714465,-0.000864946,0.044101045,0.026337485,0.015651557,0.000304768,0.008777182,0.033532528,-1.40217E-05,-1.10067E-05,-4.57381E-05,0.002555993,0.014084095,0.015759883
0.1,-0.025064949,0.0282658,0.022910315,0.000861597,0.028192986,-0.050423426,0.004750492,-0.010102658,-0.02799219,-0.03621129,-0.003022987,0.013031996,0.039030119,0.032104492,0.011021272,-0.006163852,2.72152E-05,0.021010537,-0.047185068,-0.011748394,-0.014921465,0.027915896,-0.000336509,-0.021415303,-0.00136674,-0.000942535,0.019266842,-0.000852933,0.065112398,0.034745078,0.015651557,0.014945576,0.036365072,0.01561871,3.14697E-05,8.76465E-05,3.17331E-05,-0.023773048,0.00079369,0.048077998
0.11,0.012807366,0.005156364,-0.01445846,0.032813502,-0.004151832,-0.017494959,-0.046519039,0.011755557,-0.018371524,0.029067717,0.033910912,0.038806475,0.014463468,0.014099121,0.021870271,-0.009734409,4.23389E-05,0.014876504,0.012476797,0.00042049,-0.007231035,0.024253787,0.010680337,0.00803416,-0.00136524,-0.000934274,0.00152087,-0.000847677,0.04039316,-0.003676553,0.041042182,0.025924275,0.001269857,0.002801327,-2.16008E-05,0.00011231,0.000126206,0.026378777,-0.012511974,0.03596252
0.12,0.034261223,-0.014313851,-0.018456262,-0.002846288,-0.010142814,0.020285803,-0.029062985,0.006895633,-0.021980227,0.026651106,0.036382835,0.06089834,-0.001527743,-0.018249512,0.003788606,0.010559781,2.53255E-05,-0.010788779,0.034357901,0.036927143,-0.005949297,-0.037757932,-0.015023093,0.033821514,-0.001358489,-0.000932021,0.030665157,-0.000860441,-0.011517241,-0.019286294,0.068935249,-0.015556743,-0.025036295,0.019433407,7.88535E-05,8.00599E-05,3.36218E-05,0.030140069,-0.033080822,-0.001726689
0.13,0.029225823,-0.015526924,0.022910315,-0.033608007,-0.007745277,0.025199133,-0.001536129,0.003248783,-0.013565005,-0.013242998,0.009298485,0.00198654,-0.026094393,0.000915527,-0.0142778,0.039215787,2.34349E-05,-0.004685264,0.020991202,0.007721821,-0.037870684,-0.036415158,-0.004006247,-0.034919331,-0.001356989,-0.000941033,0.00026965,-0.00085894,0.007022188,0.013123374,0.034999702,-0.026535442,-0.027538736,0.027093319,0.000217213,5.72928E-05,-7.02989E-05,-0.006217811,-0.01734901,0.002301631
0.14,0.05067968,0.00028881,-0.006447595,-0.002846288,0.005430687,-0.004097742,0.002248051,0.020262332,0.008079587,-0.005989351,0.015447777,-0.038515531,-0.033479647,0.047668457,0.006214753,0.073853238,-7.48643E-05,0.017348428,-0.020421152,-0.002013287,-0.019987383,-0.006752072,-0.00523458,-0.017737935,-0.001352488,-0.000939531,-0.061833622,-0.000862694,0.020617769,0.034745078,-0.003757622,-0.016777446,-0.020031412,0.027093319,5.04221E-05,4.59083E-05,-7.94872E-06,0.006317284,0.016510243,0.00092834
0.15,0.056966301,0.012450065,-0.027794641,-0.015144872,0.017412652,-0.012642664,0.013478519,0.011755557,0.024910031,5.50365E-05,0.001913231,-0.016423666,0.021818205,0.030883789,0.023075715,0.081024869,-0.000144808,0.031996865,-0.045994882,0.027192036,0.01828166,-0.027748166,-0.004006247,0.041160991,-0.001349487,-0.000941784,-0.04535413,-0.000873956,0.025561617,-0.002471108,-0.007358697,-0.039955547,0.018817465,-0.004889102,-0.000103101,-5.6539E-05,-1.55073E-05,0.022617486,-0.002853161,-0.019243779
0.16,0.035512444,0.050169792,0.026908117,-0.023766088,0.010223855,0.017844397,0.020985844,0.028769107,0.002059995,-0.025331774,-0.006715614,-0.023787939,0.047636076,-0.024169922,0.015843049,0.046387418,-3.13864E-05,0.02223124,-0.021641855,0.030838886,0.024690351,-0.014198361,0.038809915,0.01294749,-0.001351738,-0.000952299,-0.007344486,-0.000859691,0.041629122,-0.025282998,-0.012241509,-0.038734844,0.022571127,-0.029211612,-1.21255E-05,-9.25849E-05,-5.32967E-05,0.005062249,-0.028228527,-0.019243779
0.17,0.024159905,0.041655388,0.012229162,-0.015144872,0.00902604,-0.017494959,0.024708988,0.076140018,0.008079587,-0.026539126,0.014219444,-0.038515531,0.005857511,0.014099121,0.008625642,0.020081265,-2.38241E-05,-0.004685264,-0.043522959,0.024758259,0.015779219,0.029136599,0.03269114,-0.012839863,-0.001349487,-0.00094554,-0.004811527,-0.000841671,-0.006573393,-0.010878701,0.002284858,-0.027756145,0.00627474,-0.012579532,1.63059E-05,1.17605E-05,2.98406E-05,0.013839867,0.021347279,0.004987178
0.18,-0.043985847,-0.024041329,-0.021126551,-0.022530126,0.004232873,-0.068703455,0.003468754,0.049414249,0.05617529,5.50365E-05,-0.014100868,-0.017651045,-0.011354403,0.062072754,0.033924714,0.008148892,-0.000116453,0.030776162,-0.061802988,0.016243855,0.024690351,0.036582889,0.013121743,0.014152935,-0.00136374,-0.000940282,-0.04787183,-0.000852182,-0.051068022,-0.02047648,0.026515815,-0.015556743,0.026355307,0.010461239,6.36897E-05,4.17204E-06,2.03933E-05,0.008827355,0.05761742,0.025189815
0.19,-0.100809578,-0.016747628,0.038916784,0.010688258,0.005430687,-0.018685144,-0.012827633,-0.008889584,0.040542661,0.026651106,-0.017793495,0.011804617,0.039030119,0.017700195,0.058018342,0.002197965,2.91057E-05,0.062605996,-0.031376962,0.010155598,0.040010176,0.008140506,0.011893411,0.022758892,-0.001377242,-0.000949295,-0.06941724,-0.000875458,-0.043652251,-0.016890664,0.01082978,-0.013115337,0.025073568,0.018151669,0.000166038,-2.99796E-05,-1.73961E-05,-0.035060737,0.003204579,0.025189815
0.2,-0.049051765,0.03192028,0.048255163,0.032813502,0.030588616,0.009329992,0.012196781,-0.016183285,0.027313291,0.020606718,0.048689049,0.031442679,0.082059904,0.00213623,0.036335603,0.03085397,0.000165213,-0.010788779,-0.028935556,0.015023151,0.031038008,-0.038856565,-0.00523458,0.014152935,-0.00136299,-0.000946291,-0.006062748,-0.000875458,-0.037472441,0.009537559,-0.011020806,-0.004578044,0.003802816,-0.010016056,4.66316E-05,8.95445E-05,4.87353E-05,-0.018760536,0.00079369,0.009015498
0.21,-0.021280769,0.019751396,-0.02378158,0.014380885,0.031788338,-0.02970199,0.022206547,-0.023469357,0.030921994,-0.013242998,0.058538597,0.009349859,0.073453947,0.014099121,0.017048494,0.035614713,2.53255E-05,-0.025498252,-0.022832041,0.002846638,0.031038008,-0.010414182,-0.015023093,0.033821514,-0.001357739,-0.000943286,0.02433276,-0.000858189,-0.013989165,0.011933188,-0.003757622,0.029594014,-0.010021647,-0.03049335,-2.72875E-05,8.57503E-05,6.00751E-05,-0.011237953,0.03947472,0.01441711
