Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,B7039_18A,B7056_18A,B5406_18A,B5395_18A,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.14,0.038763148,0.065308083,0.007796025,-0.002546594,0.003979399,0.057048768,0.003383666,0.075047617,-0.014630058,-0.003293933,-0.021488132,0.029842146,0.029404385,0.021012168,0.010675969,-0.043011148,0.040496593,0.010244122,0.018886421,-0.007553195,-0.023046901,0.022108821,-0.053556719,-0.020641705,0.006608443,0.015872146,0.010538477,-0.005659624,-0.026345056,0.003122606,-0.003055228,-0.00232083
0.15,0.06456576,0.089600075,0.020056939,-0.002535316,-0.024218843,0.053234071,0.027278929,0.068638925,0.027804635,-0.032606067,0.009929715,0.059272535,0.007111295,-0.016730447,0.030031743,-0.025799234,0.00280357,0.013812771,0.009013984,0.054685498,0.004802296,0.010878352,-0.02871541,-0.049412152,-0.024618669,-0.004277085,0.021379847,0.028642134,-0.035347742,0.008173266,-0.003061984,-0.002332089
0.16,0.028936488,0.036011208,-0.004464412,-0.002527045,-0.021746919,0.013652772,0.007160216,0.026097421,0.021746896,-0.028928699,0.025005398,-0.020054095,-0.053588168,-0.005946298,0.016718449,0.00123934,-0.036106343,0.026887646,0.006557319,-0.02025423,0.065560887,0.0233753,0.015901289,0.010532001,-0.010206743,0.002024795,-0.005117041,0.019425826,0.016074377,-0.019601545,-0.003070992,-0.002334341
0.17,0.020330531,-0.03936721,-0.033889556,-0.002545842,-0.013201997,0.002147645,-0.018009157,-0.017725821,-0.015850761,0.007692395,-0.017719211,-0.005981677,0.012070401,0.010228019,0.026400151,0.035655539,-0.022732014,0.0114324,-0.000843194,-0.0774127,0.036447117,0.014616755,0.032075605,0.018924335,0.02101274,-0.020649765,-0.013551336,0.014115767,0.046897131,-0.061258039,-0.003064237,-0.002329087
0.18,0.028936488,0.005310525,-0.005690837,-0.002543586,-0.014422701,0.017497987,-0.029331178,-0.006129141,-0.040096977,0.023561535,0.001133023,0.026008375,0.031891568,0.030445914,-0.007489619,0.015986959,-0.010574574,0.020944348,0.015193794,-0.017714595,-0.033171108,-0.004121038,0.044465742,-0.036220929,0.009004073,-0.037022446,-0.007531744,0.045731978,0.018637854,-0.037271223,-0.003048472,-0.002326835
0.19,0.027715785,0.057739724,0.021282411,-0.002517271,0.011334135,-0.01189044,-0.035617799,0.031224375,-0.029186942,0.018693982,0.047626553,-0.017494433,-0.008986728,0.07088552,-0.047414241,-0.019657572,-0.008140797,0.045909634,0.015193794,-0.012634372,-0.021780422,0.014616755,0.024629316,-0.042217633,0.01860948,-0.014347886,-0.017163855,0.016801314,-0.005776209,0.001859942,-0.003053727,-0.002326084
0.2,0.04982577,-0.025329124,-0.026533389,-0.002526293,0.021130278,-0.019550353,-0.028072328,0.006749277,-0.012219169,0.004030285,0.030040799,-0.017494433,-0.012709872,0.033142905,-0.036519466,-0.011043985,0.013744121,0.009055844,-0.006992486,-0.030416583,0.025054524,0.035872248,-0.031217852,-0.042217633,0.015008406,0.000758316,-0.032823187,-0.021467729,-0.03147201,0.024584093,-0.003063486,-0.002334341
0.21,0.047353846,-0.066161643,-0.054733062,-0.002548097,0.014996245,0.000896425,-0.034358949,-0.007410879,-0.032818534,0.01379591,-0.01269144,-0.004703753,-0.011458652,-0.030211587,-0.029263911,0.017215292,-0.000843281,-0.036117801,-0.013172295,6.76162E-05,0.002271245,0.022108821,-0.007658281,-0.035023114,-0.034216447,-0.010571335,-0.064134222,0.002274947,-0.01609115,0.005647936,-0.003059732,-0.002344849
0.22,0.005590541,0.004089821,-0.003238463,-0.002535316,-0.00459604,-0.018268614,-0.018009157,-0.002283926,-0.04131768,0.033342419,-0.032802524,-0.008537524,0.015793546,0.016968589,-0.015950618,0.007381002,-0.036106343,-0.027796039,-0.014392998,0.017850781,0.003537724,-0.004121038,0.030854902,-0.008648297,-0.041418596,-0.042057847,-0.068955999,-0.006941362,0.027640539,-0.017076216,-0.003057481,-0.002338094
0.23,-0.006692784,0.007874001,0.005344129,-0.002523286,-0.03648691,-0.006794005,0.0348244,-0.026759024,-0.018261649,0.019914685,-0.010181369,0.010654218,0.044281705,0.058754783,0.021563115,-0.022121866,-0.015434498,-0.008775959,0.017650459,0.005148793,0.023788044,0.020872859,-0.024992266,-0.018238446,-0.023413225,-0.044567917,-0.02679978,-0.051802202,0.008322912,0.019533434,-0.003063486,-0.002327585
0.24,0.008062465,-0.03558303,-0.044924521,-0.002537571,-0.037677095,0.014934511,0.020992308,-0.009974356,-0.025540092,0.011354504,-0.010181369,-0.003422015,0.005860074,0.011574607,0.027605595,-0.025799234,0.028335338,0.017377606,0.031215522,-0.01009283,-0.009121349,0.0546253,-0.041105547,-0.007450482,-0.013807817,-0.008046006,-0.014752966,-0.04514937,0.003195959,0.017008104,-0.00306874,-0.002324583
0.25,0.020330531,-0.017638694,-0.024081015,-0.002542834,-0.025409029,0.002147645,-0.026813478,0.017064218,-0.034039237,-0.003293933,-0.070499362,-0.02773308,-0.027571933,-0.011336465,-0.008695064,-0.001217325,0.022258526,0.035209408,-0.011921075,0.00133791,-0.005323818,0.007109431,-0.01876668,0.010532001,0.002999739,-0.019383286,-0.021981817,-0.038557573,0.016074377,-0.01833888,-0.00306874,-0.00232083
0.26,0.020330531,0.01934861,0.043351388,-0.002541331,-0.013201997,0.008556337,-0.019268007,0.002904062,-0.007366874,-0.011838855,-0.074268283,-0.013656847,-0.013945834,0.002140861,-0.011113582,0.012294332,0.005237346,0.010244122,-0.01562896,-0.002472972,0.018725941,-0.035386297,-0.033720293,0.005740741,0.004197554,-0.053387497,-0.011140448,-0.055708452,-0.004524988,-0.008241377,-0.003063486,-0.002323832
