Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,0.347745953,0.375031731,0.174875895,0.313572855,0.784703024,0.391790448,0.606244174,0.199141184,0.485351563,0.768485878,0.146928672,0.524390322,0.343687346,0.127365575,0.306111422,0.130769209,-5.08163E-05,0.207802554,0.452852376,0.763575462,0.231083589,0.336947273,0.364005818,0.290378346,-0.001347237,-0.000942535,0.016136843,-0.000842422,0.496622871,0.237910102,1.115359587,0.435455771,0.258374607,1.024147931,3.99561E-05,-7.44377E-05,-1.82572E-05,0.466444408,0.281934402,0.267990785
0.02,0.299741803,0.334885857,0.165537516,0.28036973,0.733191259,0.368627606,0.547467318,0.188208262,0.496170044,0.780574654,0.135850791,0.485115629,0.330168059,0.126205907,0.339848605,0.142701582,1.15664E-05,0.215126772,0.465059408,0.768450645,0.261784273,0.329500984,0.368903889,0.318607106,-0.001348737,-0.000947042,0.028801638,-0.000852933,0.541102241,0.245112251,1.109317106,0.362244101,0.248334324,1.016488019,0.000151782,-3.08015E-05,-2.58158E-05,0.412527477,0.318219802,0.21815558
0.03,0.318693219,0.294732354,0.164210002,0.250859232,0.781109579,0.338140545,0.494977084,0.154188792,0.486549377,0.76969323,0.119836692,0.470388037,0.281004241,0.11784409,0.314549533,0.152284102,7.77295E-05,0.240853091,0.446779378,0.775751976,0.260502535,0.292391609,0.349334492,0.316135182,-0.001355488,-0.000938029,0.028801638,-0.00085894,0.549769233,0.246302436,1.103274626,0.420814963,0.19822446,1.017769757,0.000113873,-1.94189E-05,0.000149906,0.399988567,0.29644551,0.227585512
0.04,0.323728619,0.306901238,0.15087382,0.271748514,0.772724874,0.344213544,0.536175815,0.169981639,0.502182007,0.798707818,0.133378867,0.464251143,0.281004241,0.114243016,0.262745944,0.163056807,8.71814E-05,0.232277651,0.424867757,0.781832603,0.22729941,0.298495124,0.319976582,0.300189748,-0.001351738,-0.00093878,0.068093019,-0.000852933,0.518870185,0.221094917,1.066958708,0.462295981,0.209485447,1.00110716,-3.63906E-06,-6.49513E-05,0.000168801,0.447637951,0.250501296,0.261215883
0.05,0.30734068,0.327584527,0.130854289,0.252064676,0.710432775,0.329595624,0.557477084,0.231939952,0.494972229,0.793872689,0.165391806,0.460569006,0.293302825,0.127365575,0.250706759,0.163056807,0.000123098,0.235939761,0.421205648,0.756274131,0.214482027,0.343172859,0.364005818,0.305103078,-0.001347237,-0.000944037,0.101021486,-0.000846176,0.516383003,0.21148188,1.033023161,0.443993064,0.229566013,0.992134992,-6.42886E-05,-7.44377E-05,3.27607E-05,0.452654278,0.26016011,0.253159243
0.06,0.332578717,0.297166131,0.116175334,0.22379014,0.722410925,0.339361249,0.541180697,0.212500254,0.469718933,0.760022973,0.160463218,0.485115629,0.268736175,0.142990575,0.288045016,0.136750655,9.09617E-05,0.232277651,0.421205648,0.716105369,0.236210543,0.320833992,0.384811177,0.321063771,-0.00136299,-0.000942535,0.09215613,-0.000850681,0.553477119,0.203089546,1.086306852,0.443993064,0.190717136,0.974221173,-4.91267E-05,-2.51112E-05,2.52624E-06,0.411276256,0.301282546,0.262589174
0.07,0.343931256,0.271622918,0.152201335,0.265614481,0.736786611,0.361303387,0.552472201,0.169981639,0.473327637,0.744308327,0.139543418,0.504753214,0.298216155,0.120163426,0.303715793,0.141511397,2.85798E-05,0.184578677,0.458955892,0.742892173,0.236210543,0.235506843,0.324867024,0.325977101,-0.001375742,-0.000935025,0.078224855,-0.000861192,0.562113594,0.20908625,1.09717111,0.441551657,0.200726902,0.949898664,-9.84049E-05,3.3482E-06,7.24388E-05,0.379930889,0.303708694,0.265274721
0.08,0.336362897,0.310548089,0.188212077,0.285298319,0.723608739,0.324743329,0.562481967,0.174841563,0.491363525,0.743099068,0.137071494,0.48388825,0.352293304,0.126205907,0.259129611,0.145112471,6.82775E-05,0.188210268,0.467470296,0.770884422,0.208134371,0.245272468,0.340766682,0.321063771,-0.00136749,-0.000937278,0.080757814,-0.000856687,0.528757881,0.225886177,1.026919645,0.445221396,0.237073337,0.994698468,-3.39629E-05,-4.0288E-05,8.94447E-05,0.376165783,0.287992141,0.253159243
0.09,0.311094342,0.326363824,0.162867228,0.2754564,0.733191259,0.323492108,0.538678256,0.166334788,0.494972229,0.760022973,0.143236045,0.438476664,0.324034026,0.150131688,0.225407687,0.119996504,9.09617E-05,0.238411684,0.42975057,0.73801699,0.183842379,0.289950202,0.395812764,0.285449757,-0.001355488,-0.000950797,0.095955568,-0.000846176,0.489207099,0.221094917,1.059634489,0.443993064,0.19697324,1.038247052,0.000165048,-6.49513E-05,-1.06985E-05,0.410021221,0.289182326,0.254502016
0.1,0.302274762,0.266755364,0.13752238,0.292668314,0.75116039,0.364965497,0.536175815,0.157835642,0.480537415,0.746724938,0.125993613,0.434794527,0.293302825,0.132187352,0.237446872,0.118806319,3.61412E-05,0.218819399,0.417543538,0.719759849,0.206852632,0.255282234,0.382362141,0.257236256,-0.001356989,-0.000951548,0.09088965,-0.000849179,0.497843574,0.207896064,1.103274626,0.426918479,0.168164646,0.994698468,5.13276E-05,-3.08015E-05,-8.43885E-05,0.426321422,0.283139846,0.230271059
0.11,0.347745953,0.264321587,0.133524577,0.282826395,0.748764761,0.393011151,0.559979525,0.17727534,0.456497192,0.718921517,0.109994773,0.463023764,0.296995452,0.096237645,0.248295871,0.155885176,1.53467E-05,0.179665346,0.413911947,0.712458519,0.234989839,0.226717781,0.354232564,0.313693776,-0.00136449,-0.000941784,0.088356691,-0.000850681,0.542353462,0.203089546,1.043948454,0.430572959,0.207013523,0.98447508,-0.000149579,-4.4787E-07,-5.03766E-05,0.378675854,0.27830281,0.226242739
0.12,0.352781354,0.323930047,0.161524455,0.259465189,0.734389074,0.396642743,0.559979525,0.212500254,0.458900452,0.731010293,0.125993613,0.459341627,0.272398284,0.072311864,0.265156833,0.178590254,3.04704E-05,0.200478335,0.450441488,0.73437014,0.234989839,0.268832038,0.344444051,0.359103932,-0.001357739,-0.00093878,0.073143679,-0.000847677,0.551005195,0.225886177,1.054812712,0.433014365,0.229566013,1.012612287,-6.04963E-05,3.9396E-05,1.19736E-05,0.39372102,0.25170674,0.261215883
0.13,0.321226178,0.320283196,0.176218669,0.27054307,0.734389074,0.339361249,0.533673373,0.219786326,0.491363525,0.767276619,0.144464377,0.440930945,0.267515471,0.097397313,0.278401462,0.165406661,-3.75832E-05,0.212715884,0.478426107,0.764803795,0.238774019,0.314608406,0.359115376,0.319827809,-0.001356238,-0.000947793,0.047814089,-0.000852182,0.516383003,0.20669062,1.08142404,0.425697775,0.232037937,0.998543683,3.23752E-05,2.04231E-05,2.70908E-05,0.452654278,0.213010451,0.251816469
0.14,0.330045758,0.300820611,0.146860758,0.30128953,0.749962576,0.329595624,0.503705111,0.182127635,0.50819397,0.785409783,0.162927512,0.429885489,0.301908782,0.105820165,0.260335055,0.147462325,-9.42951E-05,0.202919741,0.42975057,0.713671592,0.210697847,0.266390632,0.377471699,0.289142384,-0.00136449,-0.00095305,0.064278322,-0.000854435,0.512690376,0.176676582,1.036624235,0.431793662,0.234570896,0.978066388,-2.6382E-05,-3.64919E-05,1.76435E-05,0.425066387,0.252927444,0.227585512
