Time,A2147,B5401_18A,B7049_18A,B6182_18A,P-0463-0-CHAN-1,B7048_18A,B7052_18A,B6181_18A,B6876_18B,B7030_18A,B4531_18A,B5397_18A,A2148,A2149,B7033_18A,B6191_18A,IW4-0624-0-CHAN-1,B4520_18A,B7060_18A,B6190_18A,B7035_18A,B7042_18A,B5395_18A,B7051_18A,B7039_18A,B5410_18A,B7032_18A,B5382_18A,IW4-0634-0-CHAN-1,B5406_18A,B7054_18A,B5381_18A,A2146_18A,B7031_18A,B6192_18A,B5404_18A
0.01,8.74094E-05,0.11520731,-0.059136068,-0.187935277,-0.002063939,-0.316902854,0.066804366,-0.463721535,0.146160241,0.32271784,0.385935465,0.026980573,-0.000160791,-2.99915E-05,-0.276379998,-0.051088077,-0.001596281,0.511622608,-0.39037128,0.383229134,0.194127352,0.136371991,-0.199482692,0.168876939,-0.627464696,-0.273278172,-0.128091109,-0.618206741,-0.003233848,-1.239365433,-0.265461084,-1.533168793,-8.21556E-05,0.047319681,0.068381456,0.108556174
0.02,5.70902E-05,0.1089431,-0.075096761,-0.20314829,-0.002060935,-0.308296897,0.107911543,-0.439696572,0.197795984,0.299341375,0.391062419,0.011008436,9.77116E-06,-5.45892E-05,-0.246911462,-0.063796741,-0.001612784,0.50655669,-0.368276553,0.389973519,0.216004641,0.135181806,-0.176426662,0.161667161,-0.65299265,-0.269520695,-0.093545211,-0.646557571,-0.003233848,-1.260788773,-0.305713769,-1.495281219,-5.00623E-05,0.012469084,0.069626239,0.114812277
0.03,7.82205E-06,0.088897343,-0.035835897,-0.219627782,-0.002051922,-0.308296897,0.11879106,-0.384970925,0.174419519,0.253778631,0.348642985,-0.035672014,-1.59843E-06,5.70462E-05,-0.250596459,-0.066339237,-0.001618034,0.472071827,-0.356008487,0.381882546,0.191693575,0.1556591,-0.196919216,0.140060716,-0.674889012,-0.269520695,-0.140008224,-0.618206741,-0.003234598,-1.283448075,-0.299610254,-1.510433197,2.7996E-06,-0.029591768,0.079583553,0.136084937
0.04,5.14056E-05,0.083885784,-0.013741171,-0.199333592,-0.002051922,-0.329109885,0.099442915,-0.404990456,0.135051843,0.22796076,0.330698649,-0.025845354,-6.22424E-05,0.000130839,-0.305848534,-0.071424228,-0.001607532,0.417170704,-0.392827945,0.345467446,0.132134707,0.142399213,-0.213574184,0.099228196,-0.683403417,-0.300854618,-0.199578536,-0.593548538,-0.003239847,-1.297303055,-0.284992334,-1.582424164,-1.79689E-05,-0.004355162,0.105721501,0.127326392
0.05,2.48764E-05,0.093908425,-0.04196993,-0.196815892,-0.002062437,-0.324166038,0.107911543,-0.461051247,0.163372155,0.252557928,0.314036051,-0.04304201,-7.28322E-06,8.35358E-05,-0.304620202,-0.072694522,-0.001603032,0.415858448,-0.394056277,0.318497536,0.149152071,0.101429364,-0.276333583,0.112442308,-0.672462865,-0.313389714,-0.162652267,-0.641613724,-0.003238347,-1.306122635,-0.275226709,-1.615276337,-5.1951E-05,0.035302431,0.111944702,0.117314719
0.06,-1.30226E-05,0.077621575,-0.044411337,-0.212013646,-0.002070699,-0.320503928,0.097032027,-0.477072976,0.162151452,0.282098944,0.316538493,-0.0798958,-3.76034E-05,-2.05312E-05,-0.269013818,-0.051088077,-0.001597781,0.449092091,-0.373189883,0.331982491,0.200204165,0.1556591,-0.237911952,0.159271531,-0.672462865,-0.30461591,-0.167413009,-0.666271927,-0.003230848,-1.304856156,-0.288623925,-1.588741302,-0.00011236,0.0521262,0.083317426,0.137338065
0.07,2.86662E-05,0.082632656,-0.024788534,-0.228508397,-0.00206469,-0.307076194,0.034165816,-0.463721535,0.128887292,0.202112371,0.329355876,-0.052872484,-0.00010394,0.000166789,-0.259190972,-0.058715564,-0.001597781,0.435054005,-0.389142947,0.349514839,0.169816287,0.168918988,-0.175144924,0.153267198,-0.689476415,-0.332192356,-0.232934249,-0.677349808,-0.003235348,-1.302338456,-0.330097314,-1.574855804,-0.000104813,0.05092457,0.080828217,0.148600958
0.08,3.4351E-05,0.117713566,-0.028465902,-0.234840795,-0.002063939,-0.293587425,0.034165816,-0.442359231,0.101848718,0.182428533,0.321726481,-0.029530352,-5.46652E-05,0.000136515,-0.235864098,-0.087949497,-0.001615784,0.404383839,-0.387922244,0.317147133,0.168599398,0.124332807,-0.237911952,0.089622789,-0.693138524,-0.37731641,-0.184075606,-0.665051224,-0.003239097,-1.335083817,-0.330097314,-1.607692719,-8.21556E-05,0.058135302,0.103232053,0.161115073
0.09,3.4351E-05,0.113954659,-0.023552572,-0.212013646,-0.002067694,-0.321724632,0.11879106,-0.461051247,0.098125573,0.263635809,0.306284587,-0.036900347,-5.46652E-05,-1.10703E-05,-0.246911462,-0.06125806,-0.001618034,0.408198536,-0.39037128,0.298264382,0.200204165,0.1665081,-0.249439967,0.08002501,-0.715019628,-0.381077702,-0.141198409,-0.642864944,-0.003228598,-1.351456498,-0.297168847,-1.654430389,4.68087E-06,0.032898695,0.103232053,0.166119956
0.1,2.67714E-05,0.088897343,-0.030922567,-0.227226659,-0.00205793,-0.327889182,0.129670577,-0.477072976,0.116619226,0.251337225,0.278025309,-0.033215349,-7.36157E-05,2.86641E-05,-0.288655694,-0.038377506,-0.001600781,0.418421925,-0.434553103,0.326584694,0.162522585,0.146015546,-0.248158229,0.14366179,-0.758812352,-0.374810154,-0.217446578,-0.683544876,-0.003230098,-1.328781937,-0.315479394,-1.682216644,8.58587E-05,-0.018776148,0.125636008,0.137338065
