Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A
0.01,-1.12603E-05,-2.26281E-05,0.042641264,-0.024116285,0.036831805,-0.010011629,0.114796413,0.025267157,2.50108E-05,-4.33758E-05,-0.035830549,-0.002409666,0.050569072,0.119135886,-0.010393316,-0.024469087,-0.06808495,-0.006677526,0.103537494,-0.201011716,-0.005267981,0.012169838,-0.067364548,0.034801136,0.005238735,-0.054322676,0.028006583,0.00336988,-0.015446554,-0.001958839,-0.001835798,-0.000956199,0.01225106,0.027041635,0.007946684,-0.035536438,0.062905283,-0.00217091,0.022550987,-0.00266552
0.02,-5.10752E-05,-2.6409E-05,0.034195524,0.038810961,0.01736159,-0.021486239,0.1099136,-0.008851495,-3.55587E-05,5.2869E-05,-0.045474103,-0.007239072,-0.006460652,0.085719137,0.019605463,-0.025750825,-0.024170155,-0.032220739,0.113333637,-0.16806799,0.035122033,0.019494057,-0.053295945,0.039561879,0.019047939,-0.018891768,0.072836905,0.015393806,-0.029087911,-0.001970838,-0.001839549,-0.00095695,-0.028581459,-0.00779418,0.052654936,-0.037977845,0.059258432,0.052577626,0.042105126,-0.047087669
0.03,-1.31564E-05,4.9209E-05,0.048668486,0.030174487,0.029530474,-0.00622745,0.122242702,-0.049073663,-0.000107487,1.32389E-05,-0.002062849,-0.030195921,-0.035589681,0.039469748,0.016004389,-0.030755708,-0.042968983,-0.041620153,0.11455434,-0.198471128,0.027553674,-0.006140709,0.022051956,0.006053578,-0.003565586,0.000639482,0.059653311,0.045362068,-0.009240041,-0.001983587,-0.001828296,-0.000965206,-0.031114418,-0.041429319,0.0659606,-0.04408136,0.100701303,0.035182606,0.066545891,-0.047087669
0.04,-4.53867E-05,4.54281E-05,0.042641264,-0.005607374,0.041699359,-0.033021883,0.070240749,0.010649237,-0.000185092,-6.79077E-05,0.025692889,8.85243E-06,0.020234599,0.067729025,0.017194575,-0.019525239,-0.058044667,0.009435756,0.135371143,-0.203537046,0.019985315,0.028040886,0.00926509,0.029979359,-0.016123569,-0.025010542,0.006949454,0.056226326,0.015566935,-0.001982087,-0.001824545,-0.000962204,-0.026017983,-0.01500205,0.038159087,-9.02715E-05,0.078759165,-0.01590382,0.033552574,-0.007601738
0.05,-7.38256E-05,-6.98894E-05,0.052292448,0.017830126,-0.009409955,-0.010011629,0.019337428,0.030149969,-0.000262699,-8.86669E-05,0.025692889,8.85243E-06,0.061494365,0.076731711,0.063978022,0.022772124,-0.053009266,-0.003991979,0.189238483,-0.175674497,0.021251794,0.035365105,-0.043103074,0.065990101,-0.012354648,-0.005464034,0.033286124,0.056226326,-0.016682516,-0.001982087,-0.001827546,-0.000956199,-0.006883461,0.025840483,0.033337309,0.029221862,0.032433481,0.010280262,0.013994622,-0.007601738
0.06,-3.67743E-06,-0.000130384,0.067970854,0.049904101,-0.034960798,0.016782804,0.0552261,-0.002778497,-0.000115058,-4.14884E-05,0.030514666,-0.03864929,0.039643779,0.015055685,0.039991205,0.002874663,-0.071838612,-0.071191686,0.225966388,-0.208602964,-0.019153479,0.01705265,-0.003521775,0.081554066,-0.021143711,0.023863359,0.067557364,0.024976326,-0.010479818,-0.001979837,-0.001824545,-0.000953948,-0.006883461,0.018633089,0.020031645,0.025559753,0.093392343,0.042628895,0.026216912,-0.024878502
0.07,1.90739E-05,-7.36703E-05,0.067970854,0.037574999,0.014927813,0.012937589,0.064015163,0.036222967,7.61162E-05,7.92883E-05,0.018460223,-0.016905515,0.017816081,0.007349997,-0.033189947,-0.015802094,-0.065551991,-0.003991979,0.229639941,-0.195938169,-0.050723914,0.010949135,0.070605423,0.08515514,-0.027415073,-0.021348433,0.059653311,-0.012194084,0.037894358,-0.001969338,-0.001832047,-0.000958451,-0.031114418,0.00782176,-0.006579683,0.023103088,0.116555185,0.01900829,0.028658318,-0.01747036
0.08,1.1492E-07,-1.83319E-06,0.039017302,0.052376025,0.024662921,0.028257414,0.036671413,0.042295966,2.50108E-05,0.000105709,-0.00809007,0.01088074,0.040864482,0.05103591,-0.049974615,0.020269683,-0.029175038,0.090093715,0.239432269,-0.154136716,-0.049457434,-0.004920006,0.043749954,0.033580433,-0.006068027,-0.046998457,0.060965567,-0.00859301,-0.004280935,-0.001967088,-0.001832797,-0.000962204,-0.013261635,0.029444418,-0.013842867,0.046326965,0.055596323,-0.018345226,-0.000669075,0.004738808
0.09,1.71777E-05,3.03045E-05,0.006470305,0.094337695,0.003979632,0.023191496,0.022999538,-0.035676447,-4.50228E-05,3.80319E-06,-0.010500959,-0.021742551,0.062699809,0.034327536,-0.024797613,-0.004632661,-0.030456776,0.090093715,0.210051471,-0.174408017,-0.00780094,-0.020789146,-0.026470994,-0.003528942,0.003972256,-0.028672652,0.055686026,0.01899488,-0.045212636,-0.001970088,-0.001822294,-0.000959952,0.016065758,0.065481386,-0.007769869,0.0438703,0.043419809,-0.025791515,-0.016549659,0.019547462
0.1,2.28653E-05,-5.61407E-06,0.046257597,0.088173144,-0.013064435,0.026975675,0.011891139,-0.041779962,-1.48904E-06,3.77718E-05,-0.02737718,-0.030195921,0.026307597,0.022761374,0.005201166,-0.028253266,-0.035461659,0.108892543,0.126799518,-0.171867429,0.016185876,-0.037880898,-0.02903447,0.02643932,-0.036219395,-0.014008956,0.037253409,0.05024488,0.005644907,-0.001970838,-0.001820794,-0.000964455,0.01225106,0.061877928,0.005535795,-0.004988343,0.089730234,-0.003391613,-0.014108253,0.013375282
