Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,IW4-0626-0-CHAN-1,IW4-0626-0-CHAN-2,IW4-0626-0-CHAN-3,IW4-0626-0-CHAN-4,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.16,-0.008679708,0.073988019,0.025747115,-0.002516519,0.010595379,0.004072247,0.013332714,0.049107407,,,,,0.02279777,0.021214784,0.042899118,-0.035887362,0.014710999,0.028493588,0.002232361,0.036805373,-0.014712334,-0.002989314,0.048012132,0.004462081,-0.009500145,0.012813138,0.022588744,-0.016334476,0.013121854,0.029692665,-0.003089759,-0.002336592
0.17,-0.004987081,-0.005174579,0.025747115,-0.002525541,0.022802411,0.025770245,-0.01560558,0.046543931,,,,,0.005448526,0.018521608,0.011435494,-0.027296664,0.028085327,0.002340023,0.015797424,0.008861762,0.02326107,0.018266179,0.018288011,0.054808455,0.021711708,0.025409268,0.017770782,-0.005836429,-0.030579318,0.049891487,-0.003080751,-0.002350854
0.18,0.02940623,-0.037157001,0.050268466,-0.00253306,0.02646452,0.032178937,0.015850414,0.045201157,,,,,0.019074625,-0.030005156,0.017485604,0.029252408,0.019578552,-0.020244892,0.00716095,-0.019081849,0.027058601,0.028275945,0.034401292,0.02123149,0.013304115,0.05185275,0.026201263,0.03108984,0.025969755,0.036005988,-0.003066489,-0.002340345
0.19,0.066256205,0.04334837,0.045364196,-0.002525541,0.024053631,0.021955548,-0.003017079,0.016819809,,,,,0.017838663,-0.038096129,0.00417994,0.037858365,-0.00717392,-0.004791553,0.018254089,-0.010190744,0.015666008,0.003266789,0.043068284,-0.037507219,-0.003503441,0.03799014,0.022588744,0.045555172,0.047820341,0.000662818,-0.003057481,-0.002330588
0.2,0.036776225,0.05482298,-0.003678029,-0.00252103,0.001989422,0.016859112,-0.019374501,-0.028224136,,,,,-0.00694161,-0.007094084,-0.013970389,0.018197415,0.002553558,-0.004791553,0.014546204,-0.012730378,0.016932487,-0.015486262,0.034401292,-0.009926957,-0.010705589,0.002734708,0.012949004,0.004722653,0.005400907,-0.0094385,-0.003062735,-0.002332089
0.21,0.015886943,0.057386456,-0.004904454,-0.002520278,-0.027429523,-0.001024188,-0.006801258,-0.01015773,,,,,-0.009413534,0.036042512,-0.003083243,0.020646451,-0.002310181,-0.020244892,0.015797424,-0.024163026,0.032122612,-0.001722835,0.036842698,0.024832564,-0.020310997,-0.004826022,0.005727782,0.011314449,0.001555692,-0.00691317,-0.003080751,-0.002326835
0.22,0.035555522,0.100782452,0.035555655,-0.002519526,0.013006268,-0.008714618,-0.001758229,0.031041001,,,,,-0.004454428,0.037392915,-0.00186254,0.010812162,-0.024198914,0.016605084,0.025654602,-0.020352144,0.038451195,0.018266179,-0.002830153,-0.013528032,0.003698708,0.015330838,0.008134856,0.029747067,0.006682645,0.008234992,-0.003075497,-0.002335091
0.23,0.022036235,0.057386456,0.030651385,-0.002518774,0.04120451,-0.006151142,0.019619335,-0.003749038,,,,,0.010407633,-0.019221007,0.005393014,0.010812162,-0.01082077,0.05108041,-0.007640076,0.00124095,0.011868477,-0.024229549,-0.016502028,-0.026719255,0.0121063,0.010295438,0.032224669,-0.011085453,0.000273954,0.019595161,-0.003061984,-0.002344098
0.24,0.013445536,-0.042283954,0.026973063,-0.002526293,-0.00780672,-0.048265399,0.029682506,-0.024317886,,,,,0.042603678,-0.036749541,0.023543344,0.021874784,-0.020552063,0.038003628,-0.00393219,0.043156844,-0.034964561,-0.034239314,0.005836839,0.006857711,-0.015512108,0.006511258,0.029809966,-0.000526371,0.013121854,0.041056648,-0.003072494,-0.002330588
0.25,0.040468852,-0.034593524,0.020842845,-0.00253306,-0.012750568,-0.043168964,0.017109264,-0.006312515,,,,,0.032685465,0.000993074,-0.02001287,-0.022375705,-0.041220093,0.024926846,0.021946716,0.032995444,-0.031168938,0.029527165,-0.006553298,0.010443526,-0.005899071,0.014071988,-0.014749513,0.021873531,0.014403593,0.056204811,-0.003073995,-0.002328336
