Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A,IW4-0631-0-CHAN-1,IW4-0631-0-CHAN-2,IW4-0631-0-CHAN-3,IW4-0631-0-CHAN-4
0.01,-3.45859E-05,-3.60188E-05,0.1141295,0.089610129,0.060475298,0.057409854,0.106257082,0.083881174,1.40609E-06,-2.72923E-05,0.074804711,-0.003414212,0.250501618,-0.02541229,0.035029521,0.007435107,-0.12748264,0.094151854,0.09034416,-0.15714759,0.041913331,0.080587005,0.062262382,0.065411517,-0.006380833,-0.020855528,-0.009943875,0.02574204,0.032449533,-0.001966338,-0.001815542,-0.000949444,0.015057419,-0.022359483,-0.012016528,0.069053072,0.01791509,0.012350371,0.015150879,-0.030998866,-0.002778744,-0.003359794,-0.003510276,-0.003090081
0.02,0.000122775,0.000158697,0.12497087,0.073573141,0.051960894,0.059912296,0.117487551,0.041248118,3.54757E-05,-5.55994E-05,0.06032412,0.034046115,0.228658662,-0.039541929,0.051844706,-0.037364698,-0.147502171,0.122380613,0.133192747,-0.201482001,0.051999391,0.068379974,0.021368828,0.031842181,-0.03526572,0.008471865,-0.012598905,0.03770493,0.025007059,-0.001965588,-0.001811041,-0.000959952,0.015057419,-0.055994623,-0.048301928,0.043395418,0.021561941,0.014791778,0.029814576,-0.017426173,-0.002772749,-0.003370293,-0.003511776,-0.003079581
0.03,-0.000102839,-2.65666E-05,0.102067427,0.087153464,0.038578936,0.07144794,0.087702394,0.027850901,-8.37727E-05,-0.000121649,0.00122683,0.036457004,0.252927766,-0.047262876,0.038630595,-0.054759717,-0.151316868,0.154637693,0.106259077,-0.201482001,0.021710694,-0.024395848,0.027716484,0.001934954,-0.001360691,0.021914858,0.016423312,0.024521336,0.03368931,-0.001959589,-0.001812541,-0.000953197,-0.011706497,-0.048787229,-0.0216906,0.012862581,0.071549733,0.035970977,0.050589417,0.051677068,-0.00278324,-0.003363543,-0.003527516,-0.003078831
0.04,-0.000263991,-0.000187255,0.110505538,0.127863913,0.022755572,0.07523212,0.091364504,0.036365305,-0.000193557,-0.000123536,0.012091088,-0.023944913,0.306318269,-0.026694028,0.024226298,-0.029857373,-0.167582738,0.118352293,0.023009031,-0.159672919,0.030530274,-0.008526707,0.067358818,0.047406146,0.006161892,0.023135561,0.012456027,0.042526708,0.034929086,-0.001955839,-0.001818543,-0.000940438,0.00358281,-0.023560636,-0.0216906,-0.000580412,0.07399114,0.001119903,0.027373169,0.04056867,-0.002792233,-0.003350794,-0.003518522,-0.003084831
0.05,-9.5255E-05,-0.000147555,0.127381758,0.111826926,0.026410052,0.039526554,0.101374269,0.036365305,-9.89141E-05,-0.00012731,0.079641747,-0.038448392,0.269918427,0.015710146,0.019435038,-0.012462354,-0.162577855,0.080724119,0.026682584,-0.169812384,0.040646852,0.030536746,0.035437431,0.059430071,0.011197292,0.015796083,-0.016505155,0.020920262,0.032449533,-0.001959589,-0.001813292,-0.000950195,-0.035937454,-0.017554395,-0.012016528,0.032401461,-0.007673899,-0.013772675,-0.016617919,-0.011253993,-0.002800476,-0.003358294,-0.003510276,-0.003084081
0.06,-2.51069E-05,-7.00469E-05,0.109307723,0.077281027,0.022755572,0.022924991,0.040583254,0.050983225,-1.7524E-05,-9.71159E-05,0.044653343,0.000209751,0.235937104,0.065804751,0.020625224,0.006153369,-0.111155736,0.111638426,0.067082136,-0.149541083,0.001508058,-0.014630223,-0.041253243,-0.010088972,-0.010149753,-0.044064146,-0.009943875,-0.013869777,0.026246835,-0.001967088,-0.001804289,-0.000959952,-0.066546585,-0.019956701,0.020606763,0.059279818,-0.050352732,0.068380645,-0.000725891,-0.024826686,-0.002799727,-0.003361294,-0.003529016,-0.003088581
0.07,0.000141734,0.000100094,0.115327315,0.087153464,0.041012713,0.065039249,0.014460207,0.087573801,7.14397E-05,0.000135002,-0.089227272,0.030414524,0.239583955,0.059380801,0.039851298,-0.021190381,-0.09736179,0.168065428,0.060961454,-0.117871466,-0.025011718,-0.006084824,-0.029717598,-0.067584089,-0.071703709,-0.059948546,0.015080539,-0.007827296,0.039892007,-0.001971588,-0.001811791,-0.000953948,-0.044848587,0.000464327,0.033912427,0.029967684,-0.025969187,0.065878203,0.028601502,-0.005085627,-0.002788486,-0.003352294,-0.00352077,-0.003086331
0.08,0.0004356,0.000347742,0.133416609,0.101954489,0.062916705,0.08292255,0.035578371,0.079028879,0.000277761,0.000310505,-0.113351417,0.006244602,0.223798737,0.037545474,0.014643778,-0.05598042,-0.106120335,0.138493895,0.040148466,-0.169812384,-0.014910399,0.036641216,0.040503349,-0.026812604,-0.061648167,-0.004986387,0.008519259,-0.024673,0.067182352,-0.001960339,-0.001820044,-0.000946442,-0.030841018,0.006470568,0.009711988,0.003089327,-0.011351267,-0.049905488,0.010268067,-0.001381556,-0.002786238,-0.003358294,-0.003502031,-0.003074331
0.09,0.000264967,0.00025322,0.122559981,0.101954489,0.003292986,0.039526554,0.039362551,0.033923899,0.000279652,0.000150099,0.013296532,-0.016704617,0.240789399,0.051690371,-0.01297463,0.007435107,-0.083567845,0.08878076,0.054840772,-0.173611823,0.021710694,-0.010968114,0.020056572,0.030682513,-0.029009617,0.010913271,-0.007319364,-0.000686183,0.054776956,-0.00194609,-0.001814792,-0.000947943,-0.018084671,-0.010347001,-0.032554858,0.004302401,-0.008894602,-0.064798066,-0.017838623,-0.038403193,-0.002788486,-0.003365793,-0.003518522,-0.003076581
0.1,-0.000152133,-0.000198597,0.122559981,0.080973654,-0.010096601,0.035681339,0.067804934,0.052234446,0.000105511,-9.14548E-05,0.0663666,0.003833713,0.240789399,0.025979311,0.009822001,0.03599956,-0.081034886,0.123723387,0.085446088,-0.116604987,0.034329713,-0.035382653,-0.04506794,-0.012469343,-0.042818821,-0.012295347,0.02036008,0.056931004,0.007638742,-0.00195134,-0.001812541,-0.000944941,-0.015551712,-0.043981664,-0.049492114,0.018958467,0.005723317,-0.006326386,-0.019059326,-0.051975886,-0.00278399,-0.003359044,-0.003526017,-0.003087831
