Time,A2147,B5401_18A,B7049_18A,B6182_18A,P-0463-0-CHAN-1,B7048_18A,B7052_18A,B6181_18A,B6876_18B,B7030_18A,B4531_18A,B5397_18A,A2148,A2149,B7033_18A,B6191_18A,IW4-0624-0-CHAN-1,B4520_18A,B7060_18A,B6190_18A,B7035_18A,B7042_18A,B5395_18A,B7051_18A,B7039_18A,B5410_18A,B7032_18A,B5382_18A,IW4-0634-0-CHAN-1,B5406_18A,B7054_18A,B5381_18A,A2146_18A,B7031_18A,B6192_18A,B5404_18A
0.01,-3.42969E-05,-0.209152673,-0.169021606,-0.075831522,-0.002068445,-0.009556163,0.157676639,-0.006930149,-0.023028287,-0.008704446,-0.019841512,-0.050100905,0.000146261,0.000104905,-0.044931135,-0.007410763,-0.001558024,0.02915654,-0.004509781,-0.031487378,0.016798267,-0.01717732,0.007870099,-0.03498322,-0.04858643,0.009680537,-0.007967767,-0.025443041,-0.003200849,-0.039817053,0.073028099,0.014288051,3.89197E-06,0.001538728,-0.079875268,-0.150210077
0.02,-1.15577E-05,-0.189106916,-0.143249512,-0.047953715,-0.002073703,0.003932606,0.172172489,-0.005587376,-0.007037076,-0.025946877,0.007136027,-0.031668287,8.94052E-05,-1.24073E-05,-0.052297316,-0.02647662,-0.001562525,0.076367234,0.018805648,0.013018695,0.018011341,-0.012355542,-0.020305255,-0.05539948,0.01466125,0.019709376,0.03730506,-0.040244066,-0.003202349,-0.013373571,0.055938255,0.004186732,3.59853E-05,-0.024899508,-0.07738594,-0.16022175
0.03,-1.15577E-05,-0.202888463,-0.160430908,-0.060633769,-0.002074454,-0.056003917,0.17581171,-0.038965977,0.026166049,-0.023474953,0.016108195,-0.04027043,-4.13599E-05,4.24643E-05,-0.031427107,-0.01885104,-0.001570776,0.059826706,0.013899948,0.048079577,0.024088153,-0.036464429,-0.0395237,-0.01217133,0.058438716,0.010935572,-0.003191766,-0.046408617,-0.003201599,0.060936731,0.036437522,-0.000848668,-6.02948E-05,-0.05374148,-0.062449969,-0.157719309
0.04,-9.11451E-05,-0.216670011,-0.145706177,-0.091044535,-0.002063188,-0.082920421,0.170974674,-0.016268528,0.004071322,0.019585349,0.030268351,-0.051325422,-5.27332E-05,-6.91705E-05,-0.020375929,0.011651279,-0.001564775,0.002362107,-0.006966446,0.037287799,0.026518116,-0.019588208,-0.036960223,0.008244929,0.010999141,0.01720312,-0.048464593,-0.030386888,-0.003201599,0.069741053,0.026671897,0.021886927,9.55068E-06,-0.050136115,-0.047514029,-0.12893551
0.05,-4.75615E-05,-0.172819589,-0.142028809,-0.084712138,-0.002063939,-0.03152882,0.134704532,0.013097012,-0.01442233,0.061424949,0.082880656,-0.048868757,4.20233E-05,6.51387E-06,-0.033883772,-0.007410763,-0.001561024,-0.023181106,-0.036423539,-0.008561048,0.008287677,0.038257861,-0.002376178,0.009442744,-0.016954961,-0.009122106,0.002759162,-0.01927849,-0.003208349,0.014336389,0.044982444,0.06355868,9.26172E-05,-0.064556862,-0.076141275,-0.12893551
0.06,1.68665E-05,-0.167808507,-0.153060913,-0.055537333,-0.002074454,0.019862782,0.149208011,-0.010935581,0.013897983,0.031914451,0.077753703,-0.008329969,7.80356E-05,2.922E-05,-0.049844465,-0.021395443,-0.001564775,-0.029589798,-0.031510209,-0.040928754,-0.011163464,-0.000301099,0.011715314,-0.001368108,0.01466125,-0.01788828,0.021817389,-0.037772142,-0.003217348,-0.003302771,0.052306663,0.037038905,3.89197E-06,-0.072969462,-0.09232185,-0.140198404
0.07,-7.40905E-05,-0.194118474,-0.140808105,-0.056819071,-0.002069948,-0.010776867,0.155250492,-0.002924717,0.008954135,0.010979392,0.01226298,0.037125963,-4.13599E-05,-3.7005E-05,-0.036336622,-0.012495754,-0.001563275,-0.014239456,0.002852584,-0.026093396,0.0058539,-0.050914502,-0.026713946,-0.030184331,0.031690059,0.012186793,0.013470832,-0.024222338,-0.003216598,0.031960291,0.005950462,-0.005899327,-1.49878E-05,-0.057346608,-0.040046059,-0.135193521
0.08,-7.59855E-05,-0.194118474,-0.146942139,-0.07837974,-0.00206469,-0.063389171,0.120193424,0.011761868,-0.025469693,0.009758689,-0.001836141,-0.004644972,-5.65181E-05,1.97591E-05,-0.028970442,-0.022665737,-0.001562525,0.021466111,0.024939682,0.023806659,0.024088153,-0.037654615,-0.026713946,-0.01457459,0.010999141,0.012186793,0.025387946,0.002907789,-0.003209099,0.01685409,0.003509056,0.029455287,-4.70812E-05,-0.045329119,-0.018886812,-0.13269108
0.09,-7.03009E-05,-0.21541736,-0.1665802,-0.070765604,-0.002068445,-0.063389171,0.114143314,-0.029619968,0.001568881,-0.017310403,0.025080363,-0.047640425,-5.84143E-05,-0.000101337,-0.067033491,-0.006144283,-0.001574527,0.039349411,0.013899948,0.004923907,-0.009946576,-0.034038282,0.020679852,0.015447078,-0.00966126,0.027228144,-0.01510888,-0.003256761,-0.003207599,-0.019660193,0.023040306,0.049673182,-0.000154686,-0.046530987,-0.048758693,-0.123930628
0.1,-0.000176417,-0.211658929,-0.146942139,-0.070765604,-0.002069948,-0.025425304,0.115356388,-0.034960544,0.055646029,0.001152732,0.022516886,-0.026754957,-0.000149382,-0.000182698,-0.038793287,0.010380985,-0.001578277,0.007428025,0.020033981,-0.03688136,-0.025750866,-0.02801106,0.023243329,0.014241634,-0.021822514,0.036005763,-0.036562738,-0.008200609,-0.003209849,-0.019660193,-0.00259446,-0.014749425,-1.7742E-06,-0.020092751,-0.047514029,-0.061358148
