Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A,IW4-0631-0-CHAN-1,IW4-0631-0-CHAN-2,IW4-0631-0-CHAN-3,IW4-0631-0-CHAN-4
0.11,0.000123585,-2.9617E-05,0.012589236,0.019000583,0.038631694,-0.036146376,0.034982639,-0.00123924,-5.60009E-05,-1.06237E-05,0.064992156,0.124423557,0.053168521,0.024270899,0.003896152,0.027182186,-0.046014898,0.03085372,-0.008804083,-0.051589068,0.060000139,-1.221966603,0.042322944,0.077496248,0.052894031,0.009381238,0.003607582,0.088108287,0.042972203,-0.001971588,-0.001832047,-0.000950195,0.050166411,0.025959394,0.03742218,0.028858521,0.026444828,0.042475083,0.015346415,0.011706661,-0.002792233,-0.003347044,-0.003496034,-0.00305333
0.12,-1.10245E-05,3.08774E-05,0.017411013,0.043689304,0.006992594,-0.04377577,0.065988498,-0.007342755,-6.16801E-05,-0.000129514,0.075856414,0.101466709,0.03617786,0.071802027,0.030293857,0.039633358,-0.069849126,0.033569785,0.024250269,-0.037665423,0.081469255,-1.210979321,0.085779975,0.066693025,0.066718494,0.006939832,-0.041192223,0.043796764,0.035529728,-0.001958839,-0.001814042,-0.000941939,0.059077543,0.024757764,0.026557922,0.011753419,0.017899906,0.035028794,-0.017643087,0.038852047,-0.002789985,-0.003347044,-0.003496784,-0.00305183
0.13,-3.37749E-05,3.65487E-05,0.00535657,0.036273532,-0.006389364,-0.019544813,0.037424045,-0.047564923,-3.70708E-05,-3.7044E-05,0.144597258,0.101466709,-0.014786496,0.075662501,0.003896152,0.070700253,-0.11629688,0.024170371,0.043840647,-0.043997821,0.056215959,-1.193889478,0.083216499,0.071514803,0.037818348,0.044781629,-0.017480065,0.018528209,0.038009282,-0.001958839,-0.001832047,-0.000947943,0.029750151,0.025959394,0.057991028,0.011753419,0.039857303,-0.003545425,-0.002979391,0.022811245,-0.002784739,-0.003353044,-0.00348629,-0.00305258
0.14,4.20618E-05,-5.04119E-06,-0.027205686,-0.005672879,-0.000308736,-0.002943251,0.03132053,-0.014636457,-6.54631E-05,0.000130911,0.147023406,0.13409,0.009482608,0.030694849,0.006307041,0.059469784,-0.078607671,0.05505416,0.007110834,-0.052863177,0.037264543,-1.176799634,0.053858589,0.064312654,0.04912511,0.041134778,0.01547892,0.037754283,0.039249058,-0.001963339,-0.001855304,-0.00095695,0.047602934,0.028361699,0.064002991,0.042293885,0.042283451,-0.002324721,0.031230814,-0.003101994,-0.002782491,-0.003347044,-0.003491537,-0.00305183
0.15,6.2916E-05,1.95347E-05,-0.023596983,0.022708469,-0.014911397,-0.032301161,0.072214084,0.025555194,-4.89364E-06,4.78773E-05,0.096364226,0.135287815,0.03982471,-0.023275488,0.059102451,0.037130917,-0.030939214,0.077911826,-0.046756506,-0.07186037,0.044848162,-1.180461743,0.048731636,0.063091951,0.057914173,0.038693372,0.023382972,0.041355357,0.055373784,-0.001955839,-0.001835798,-0.000951696,0.051417631,-0.010078052,0.032600403,0.0642818,0.04960767,0.026300767,0.014125712,0.000598262,-0.00278324,-0.003349294,-0.003491537,-0.00304733
0.16,-7.23217E-06,3.27678E-05,0.029465456,0.073291355,-0.01247762,-0.060438368,0.036325412,-0.023211896,0.000102998,-4.2705E-05,0.107213225,0.117168003,0.009482608,0.003702051,0.045918857,0.053305233,-0.077356451,0.038940878,-0.054101706,-0.064261493,0.047365862,-1.2207459,0.050013374,0.084698397,0.032798206,0.072873059,0.014136146,0.048557506,0.069018956,-0.001961089,-0.001811791,-0.000944191,-0.022526461,-0.03650532,0.038612366,0.041065553,0.05691663,0.032526353,-0.034755819,0.048720668,-0.00278399,-0.003353794,-0.003490787,-0.00305483
0.17,-3.44075E-06,5.9234E-05,0.024643679,0.07699924,0.013080851,-0.050184462,-0.009573025,-0.039020001,0.000146532,0.000157331,0.122884002,0.094211155,0.002204166,0.038385279,0.013509189,0.034628475,-0.093683355,-0.001372842,-0.012477636,-0.050330218,0.082720476,-1.270796636,0.037226509,0.051129061,0.055411731,0.054562513,-0.031975914,0.044956432,0.066535588,-0.001967838,-0.001823795,-0.000938937,-0.053105074,-0.006474116,0.064002991,0.028858521,0.044724857,0.01757274,-0.032306783,0.065997432,-0.002785488,-0.003356044,-0.003502031,-0.003075831
0.18,9.13548E-05,0.000176442,-0.004294614,0.057254367,-0.002742513,-0.020826552,0.008981662,0.006054461,0.000123819,0.000227155,0.093953337,0.062800937,0.022834049,0.007562525,0.048299228,0.019735897,-0.039728277,0.018768759,0.030372858,-0.051589068,0.094088274,-1.290327886,0.052546333,0.052288729,0.067954456,0.008160535,-0.013543297,0.035312877,0.045451756,-0.001964089,-0.001839549,-0.000948694,0.011927885,-0.000467875,0.043464661,0.026409486,0.044724857,0.006342271,0.006793864,0.051188777,-0.002792982,-0.003362793,-0.00350428,-0.003077331
0.19,3.63733E-05,0.000151866,0.024643679,-0.00074429,-0.029514058,-0.008009169,0.012643772,0.024334491,-3.13935E-05,-9.17708E-05,0.102391448,0.054339939,0.028899417,-0.007864111,0.057912266,0.032126034,-0.047266119,0.061768027,0.042616129,-0.054129657,0.041063982,-1.333053449,0.084528755,0.133831697,0.059180652,0.014248792,0.044440101,0.058140025,0.011958714,-0.001970088,-0.001848552,-0.000962204,0.045039457,-0.006474116,0.001167297,-0.006580016,0.037400638,0.04491649,0.001903422,0.088210414,-0.002797479,-0.003362044,-0.003487789,-0.003066831
0.2,-6.60061E-05,-5.79738E-05,0.036705752,-0.038998074,-0.00882314,-0.016981337,0.002756076,0.012157977,-0.00010332,-0.000203112,0.122884002,0.073672824,0.038604007,-0.007864111,0.023091709,0.024679745,-0.087396734,0.053741904,0.035269022,-0.079466876,0.039797502,-1.412401059,0.074305366,0.133831697,0.072989856,0.053341809,0.018103431,0.041355357,0.003276463,-0.001973088,-0.001850053,-0.000963705,0.015742582,0.03436794,-0.00969696,-0.016345641,0.021562015,0.077326158,-0.00664913,0.104251216,-0.002796729,-0.003352294,-0.003472797,-0.003072831
