Time,A2147,B5401_18A,B7049_18A,B6182_18A,P-0463-0-CHAN-1,B7048_18A,B7052_18A,B6181_18A,B6876_18B,B7030_18A,B4531_18A,B5397_18A,A2148,A2149,B7033_18A,B6191_18A,IW4-0624-0-CHAN-1,B4520_18A,B7060_18A,B6190_18A,B7035_18A,B7042_18A,B5395_18A,B7051_18A,B7039_18A,B5410_18A,B7032_18A,B5382_18A,IW4-0634-0-CHAN-1,B5406_18A,B7054_18A,B5381_18A,A2146_18A,B7031_18A,B6192_18A,B5404_18A
0.01,0.000188163,0.025889535,0.050316265,0.072484839,-0.002060935,-0.030888413,0.016105999,-0.012101202,0.032751651,0.07593845,0.073713696,-0.009826835,4.23711E-05,3.6037E-05,-0.015662943,-0.031330312,-0.001600781,0.034132293,-0.015504837,0.044465296,-0.020878391,0.007966835,0.013956026,-0.038104225,0.020088138,0.028015282,0.021050024,0.053435813,-0.003212099,-0.029095249,0.026822389,-0.011179567,1.12445E-05,-0.003476947,0.021349265,0.017730742
0.02,8.01514E-05,0.050946851,0.0294575,0.035711157,-0.002066943,-0.003971909,0.018524517,-0.068161993,0.030310245,0.105479466,0.033918774,0.022113625,1.01586E-05,-5.58984E-06,-0.005836283,0.025867258,-0.001583528,0.057112029,0.048307419,0.053902857,0.014373226,0.020021278,0.002428011,-0.038104225,0.046821536,0.033027795,0.025810766,0.047271263,-0.003209849,-0.05050333,-0.004915893,0.003987669,2.82281E-05,-0.007081836,0.035040571,-0.021064729
0.03,7.44666E-05,0.052199502,0.009819438,-0.004861963,-0.00207145,-0.005253647,0.008842815,-0.021447211,0.025366397,0.030436741,0.018476879,0.01474363,2.15244E-05,5.49582E-05,0.034679617,0.060184275,-0.001576027,0.02900534,0.065488815,0.030976527,0.005866451,0.033281166,-0.024473234,-0.024897743,0.016441287,0.043056634,0.030571508,-0.026703347,-0.003212099,-0.03161295,-0.020754516,0.00523889,2.44581E-05,-0.020301193,-0.01847987,-0.017311067
0.04,0.000136999,0.005843301,0.0110554,0.021764624,-0.002069196,0.015559341,0.018524517,0.045287103,0.030310245,-0.017597926,0.060835278,0.003684823,3.85825E-05,0.000149564,0.033451284,-0.00590917,-0.001587279,0.054548553,0.022535324,-0.013525732,0.014373226,0.027238686,-0.011663481,-0.008082557,0.01035303,0.038040307,0.025810766,-0.004517067,-0.003197849,-0.002636509,0.009732545,-0.009913088,-3.86532E-06,-0.011888832,-0.034660504,-0.003543825
0.05,-5.12069E-06,0.000832219,-0.001212666,0.035711157,-0.002063188,-0.010075425,0.02819096,0.025267572,-0.000451474,-0.024952663,0.056990063,0.01474363,2.91091E-05,-2.45111E-05,-0.005836283,-0.033870901,-0.001587279,0.07877951,0.013944626,-0.027014501,0.042331142,0.004350502,-0.007825895,-0.006884742,0.018867434,0.024253991,0.067497778,0.012755882,-0.00319335,0.025058193,0.047543824,0.020406126,-1.89676E-05,-0.041932434,0.003924086,-0.013555498
0.06,-2.02803E-05,0.038417954,-0.012260029,0.023031104,-0.002054175,-0.055363511,0.008842815,-0.020112067,-0.006616025,-0.039723171,0.026167309,-0.001228507,2.53168E-05,-5.28931E-05,-0.019344126,-0.009720052,-0.001583528,0.023878387,0.001676559,0.005353205,0.060561581,0.011583168,-0.015508695,-0.033305336,-0.01396948,0.012973931,0.059166479,0.00534011,-0.003209849,0.018771572,0.045102418,0.020406126,3.68957E-06,-0.055151313,0.005168631,-0.007299394
0.07,0.000106681,0.019625325,0.019646099,0.028097022,-0.002060184,-0.046818589,-0.01654781,-0.001427679,-0.005334286,-0.011433376,0.017134106,-0.012287315,2.34206E-05,-3.58639E-05,0.018715109,0.008071696,-0.00159028,0.020063689,-0.014284134,0.024235957,0.030177517,0.0260485,-0.011663481,-0.034503151,-0.001808225,0.049324181,0.012703466,0.00042678,-0.003208349,-0.03161295,0.031705201,0.014088987,2.63468E-05,-0.007081836,-0.001054571,0.005216628
0.08,4.98325E-05,-0.021719317,0.030693462,-0.003580224,-0.00207145,-0.017460679,-0.00445522,0.029273004,-0.026269345,0.019328343,0.000471508,-0.011055167,-3.11093E-06,-1.88346E-05,0.0383608,0.005531107,-0.001600031,0.020063689,-0.003229141,-0.009478338,0.005866451,0.029664833,-0.019346281,-0.002078224,0.001838626,0.039295342,0.02222495,-0.019287575,-0.003196349,-0.04168375,0.002438844,0.038091063,2.82281E-05,0.03257528,0.020104601,0.006467848
0.09,-6.76536E-05,-0.022972445,0.038048198,-0.025140893,-0.002060935,0.008235122,0.010055889,0.03461358,-0.021325497,0.031657445,-0.023942554,-0.004913505,-3.11093E-06,7.38794E-05,0.023628439,-0.003368582,-0.00159103,-0.025895783,0.016401291,-0.05128742,0.060561581,0.038102943,-0.011663481,0.011128258,-0.048027097,-0.017104957,0.041298437,-0.015594948,-0.003197099,-0.03034647,-0.001223266,0.024190306,-9.52403E-06,0.004935414,0.015125944,0.002712279
0.1,-6.95487E-05,-0.038006644,0.066276958,0.019216406,-0.002061686,0.010676528,0.004013408,0.015929193,-0.006616025,0.031657445,-0.034196461,-1.74719E-07,-5.23853E-05,-6.04615E-05,0.033451284,0.002986704,-0.001574527,-0.004228303,0.032354355,-0.045893438,0.032607479,0.032075722,0.013956026,0.013531517,-0.04193884,-0.024623725,0.030571508,-0.006988991,-0.003200099,-0.020275669,0.036557496,0.016621946,-2.65151E-05,-0.029915184,-0.012256668,-0.012304277
