Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A
0.01,7.69362E-05,-4.49956E-05,-0.020787712,0.030896252,0.061088166,0.059284578,0.0432364,-0.019476544,-3.74095E-05,-2.29339E-05,0.036107071,0.040513075,-0.003285668,0.060127489,0.028006583,0.026652481,0.175557377,0.055703665,0.037327279,0.199395333,0.045521394,0.042222722,0.064601054,0.014841793,0.00475818,-0.002684732,0.043905942,0.03595623,0.003780802,-0.001970838,-0.001822294,-0.000941188,0.026874105,0.012360826,0.044535397,0.048947982,-0.018022144,0.042060677,-0.002602555,-0.01282906
0.02,1.09954E-06,3.25128E-05,0.017794136,0.022259778,0.041625581,0.043964753,0.025902416,-0.008490216,0.000151876,6.01E-05,0.001118667,0.063469923,0.057390907,0.045997851,0.045981436,0.030375625,0.151723148,0.046304251,0.07038163,0.163926277,0.058155671,0.028794988,0.068415751,0.031565426,-0.011583983,-0.002684732,0.067618101,-0.006035958,0.028587778,-0.001976837,-0.001821544,-0.000942689,0.047290365,0.007555738,0.020365475,0.034299545,0.003919995,0.000984017,0.029166243,0.032829052
0.03,2.76432E-05,1.17179E-05,0.015383247,-0.018450671,0.048926912,0.051655183,-0.000220631,0.02318703,0.000149982,4.87775E-05,-0.013346665,0.038102186,0.057390907,0.015144579,0.026785879,0.011698867,0.160512211,0.032876517,0.039776314,0.156319771,0.037953035,0.028794988,0.023707499,0.037546871,-0.03669995,-0.020995278,0.06233856,0.009528007,0.042229136,-0.001982837,-0.001832797,-0.000944941,0.034534018,-0.01286529,-0.019551517,0.053830795,0.040495312,-0.004020866,-0.027047135,0.052573925
0.04,3.33307E-05,-7.14619E-05,-0.020787712,-0.003649646,0.055007539,0.072040925,0.024559643,0.031731952,-1.28021E-05,-1.72724E-05,0.007145889,0.016358412,0.000361182,0.0138781,0.025595694,0.003031875,0.161763431,0.031533744,-0.015317451,0.187989388,0.021549836,0.021470769,0.03011619,0.019602535,-0.041720092,-0.003905435,0.022848814,0.043097343,0.012463053,-0.001968588,-0.001829796,-0.000947193,0.001391928,-0.015267596,0.002207516,0.039182357,0.062437451,0.052009408,-0.028260209,0.026653057
0.05,-5.00897E-05,4.1561E-06,0.028650764,0.039532727,0.041625581,0.047809968,0.07424226,0.042687762,4.58768E-05,2.80188E-05,0.014393814,0.042931593,0.016131141,0.038276904,-0.000802011,0.022929336,0.139210941,0.043618705,-0.00307418,0.20699421,-0.006236419,0.019028409,0.046717753,-0.000783207,-0.019106566,0.037644248,0.029410093,0.037176933,0.036026438,-0.001961089,-0.001824545,-0.000948694,0.026874105,-0.008060202,0.019144772,0.014737777,0.047804272,0.035774056,0.012061141,-0.028873677
0.06,-6.52572E-05,3.75222E-07,0.061197761,0.028439587,0.058662019,-0.014690032,0.07424226,0.039025653,4.01976E-05,8.84071E-05,-0.01214122,0.041726149,0.05860398,0.033134692,-0.051186533,0.025431777,0.140431644,0.061105277,0.044670571,0.224724922,0.00764908,0.012924893,0.031367411,0.014841793,0.021085084,0.053513389,0.051809995,0.040778007,0.054634531,-0.001972338,-0.001826796,-0.000958451,0.034534018,-0.020072684,-0.002614262,0.020856552,-0.008256519,-0.008964713,0.005949996,-0.022701496
0.07,-7.09448E-05,-4.49956E-05,0.029848579,0.027188367,0.091514192,-0.009624114,0.056786205,0.03414284,-1.84794E-05,-1.16113E-05,-0.033854477,0.001854933,0.014925697,0.042137377,-0.026009531,-0.004414414,0.151723148,0.049020316,0.045896996,0.180390511,0.059422151,-0.00782706,-0.006932149,0.065134762,0.014813722,0.003434043,0.014914243,0.051520195,0.018661936,-0.001973838,-0.001821544,-0.000953948,0.020526449,-0.009261355,0.025187252,0.022077255,-0.024110401,-0.002800163,0.016951583,0.026653057
0.08,-9.55913E-05,7.22123E-05,0.026239876,0.028439587,0.076911531,0.041401277,0.027123119,0.039025653,1.55902E-05,-8.89833E-05,-0.019373886,0.001854933,-0.019055627,0.022865527,0.029196768,-0.005635117,0.135396244,0.039590384,-0.012868415,0.146187935,0.037953035,-0.002945201,0.009669413,0.029185055,0.000989259,-0.051543374,-0.02460602,0.015509453,0.02238508,-0.001976087,-0.001819293,-0.000947193,0.005237143,0.020769611,0.054209469,0.014737777,0.014891064,0.007209603,0.024283431,0.00814796
0.09,-3.3026E-05,9.82751E-06,0.012972359,-0.00612157,0.057441316,0.040180574,0.004784252,0.051232684,-7.33734E-05,-1.91593E-05,0.02766896,0.026024855,0.005213477,0.002311938,0.025595694,0.009257461,0.12410474,0.036904837,-0.042253028,0.166451607,-0.025172576,0.005600674,0.06716453,0.001597164,0.008527101,0.00221334,0.00173065,0.00470623,0.034786661,-0.001971588,-0.001821544,-0.000950946,-0.024120768,0.02557446,0.030009029,0.01962059,0.01002351,0.019660775,-0.013596513,-0.026401753
0.1,6.17687E-05,-0.000103599,-0.001500603,0.013623303,0.064742646,0.031208406,0.039574291,0.051232684,-0.000124479,2.61319E-05,0.054188736,0.011521376,0.010065772,0.065269701,0.02199462,-0.011921738,0.131642582,0.016763236,0.007944573,0.139855538,-0.034007415,-0.005386607,0.046717753,0.069895504,-0.002779662,0.051087241,0.04784271,0.02637371,0.00625654,-0.001959589,-0.001814792,-0.000952447,0.001391928,0.030379548,0.019144772,0.025739364,-0.015565479,0.02338392,-0.016045549,0.022956615
