Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,0.003723607,-0.001648527,0.021410971,0.023453568,-0.037701556,-0.046299359,-0.007897297,0.0057507,0.007640203,-0.003699346,0.061469165,0.020836924,0.006838481,0.051346288,0.045475468,-0.006466952,-5.66391E-05,-0.005342207,0.045053264,-0.051486125,0.016967773,0.09925796,0.00080704,0.021691871,-0.001356989,-0.000962062,-0.044546928,-0.000857438,0.026998693,-0.014794205,0.048865116,0.008272922,-0.042957568,0.002115031,6.94763E-05,-2.28237E-05,6.0563E-05,0.012328228,-0.019799968,-0.045832044
0.02,0.06051682,0.003219027,0.013415366,0.029618119,-0.036503741,0.004939654,0.00083073,0.006963774,-0.024822871,-0.006117864,-0.005013379,0.019609545,0.022799174,0.005814061,0.047886357,0.011446866,6.81255E-05,0.019132891,0.002420207,-0.033221354,0.037414551,0.073256984,0.042402499,-0.029867577,-0.001357739,-0.000959809,-0.029333915,-0.000864946,-0.003900355,-0.014794205,0.035559452,0.013148106,-0.001575732,0.005929729,2.77791E-05,-7.64688E-06,9.54889E-06,0.021105846,0.014059285,-0.014856702
0.03,0.04287766,0.016600985,0.008074789,0.054215287,0.004223875,0.003688434,-0.005394856,-0.005189852,-0.038044612,-0.01820664,-0.012391004,0.01470003,-0.010373433,0.008194432,-0.00393249,0.015017423,0.000105933,-0.002870283,-0.017050008,0.000859151,0.028442383,0.080703273,0.044851534,-0.022497582,-0.001350987,-0.000965817,-0.030615654,-0.00085894,-0.052102869,-0.017205094,-0.016564571,0.005831516,0.017192578,0.036691447,-3.0978E-05,-5.74885E-06,-3.39104E-05,-0.034062305,0.015279988,0.06323778
0.04,-6.05728E-05,0.015380281,-0.013272257,0.068970536,0.001828245,0.008601764,-0.019127766,-0.008829073,-0.014004389,-0.04359345,0.025771228,-0.015983488,-0.038632711,0.028580174,-0.020793452,0.011446866,1.33051E-05,-0.029786787,0.035318156,-0.025927653,-0.000915527,0.037490382,0.004484408,0.01188047,-0.001347987,-0.000964315,-0.026816215,-0.000866448,-0.024911707,-0.020806168,-0.003197872,-0.021008694,-0.010364795,0.054605266,-4.614E-05,7.53181E-06,4.35608E-05,-0.036572376,-0.021005412,0.047063464
0.05,0.012573705,0.021468538,0.020083456,0.068970536,-0.018536517,0.015895465,-0.010399738,0.015470548,0.019664129,0.019268946,0.036849109,-0.018438245,0.014193217,-0.001388087,-0.006343379,-0.005276767,-4.3406E-05,-0.043275556,0.041391154,-0.047831645,-0.037902832,0.011489406,-0.008981474,0.002038551,-0.001356989,-0.00095305,-0.005270805,-0.000879212,-0.023691004,-0.042412613,0.039221561,-0.008809292,-0.009113574,0.01233842,-2.52914E-05,0.000142231,6.0563E-05,0.018595776,0.001974324,-5.56771E-05
0.06,-0.001311793,0.054313082,0.046771078,0.070206498,-0.018536517,0.014674762,0.00461491,0.011823698,0.03048261,0.026522593,0.012229052,-0.024574663,0.032625834,-0.019332423,-0.030421748,-0.01720914,1.51947E-05,-0.056703291,-0.023123006,0.003292928,-0.035400391,0.038589015,0.00937485,0.008187843,-0.001359989,-0.000962062,0.001061592,-0.0008687,-0.060769861,-0.028008317,0.046484745,0.00339011,-0.009113574,-0.014547566,2.01963E-05,8.15217E-05,-2.82405E-05,0.00355061,0.045492391,-0.010828382
0.07,-0.020232692,0.031196016,0.018740683,0.061570023,-0.000567385,0.001247027,0.024634441,-0.012475924,0.029284795,-0.05084519,-0.017319593,-0.006164457,-0.01406606,-0.000167384,-0.026805415,0.00308505,4.73319E-05,-0.024903974,-0.015798787,0.027630697,-0.01751709,0.033706203,0.019163363,0.0351959,-0.001353988,-0.000965066,-0.021735038,-0.000852933,-0.002679651,0.01399913,0.042822636,0.014368809,-0.030414843,0.018747111,3.72562E-05,-6.83561E-05,-3.57991E-05,-0.0089883,-0.021005412,-0.002741224
0.08,0.027710423,-0.005303007,0.01474288,0.018540238,0.020995191,-0.009708783,0.043372234,0.002103849,0.018466314,-0.053263708,-0.044403943,0.025746439,-0.015286764,0.035782323,0.022587285,0.022189054,-3.20643E-05,0.004453936,0.070626994,-0.02469932,-0.013671875,0.022597804,0.02159714,0.009408546,-0.001355488,-0.000957556,-0.042013969,-0.000858189,0.028234655,0.008002426,0.014929569,0.048540867,-0.012867236,0.046914836,-2.54663E-06,1.70164E-05,1.33263E-05,0.011073193,-0.043985148,0.014745348
0.09,0.036560521,0.021468538,0.030764609,0.013611649,0.018599561,0.004939654,0.022132,0.02275662,-0.004376094,-0.021832509,-0.04809657,0.031882857,0.019106547,0.026138768,0.067158208,0.016207608,-7.36525E-05,-0.03100749,0.046273967,-0.044184794,0.015686035,0.05604507,0.01793503,-0.023733544,-0.001353238,-0.000963564,-0.004004326,-0.000866448,-0.012552088,0.018805648,0.006506718,0.042437351,0.052287793,0.040506145,1.64076E-05,7.77275E-05,-2.63517E-05,-0.020272175,0.015279988,-0.013513929
0.1,-0.007628932,0.026328463,0.025424033,0.025910233,0.011414579,0.001247027,0.00083073,0.010610624,-0.016407649,-0.019415899,-8.47903E-05,0.011017893,0.00067393,-0.012130275,0.069569096,0.00308505,-2.45029E-05,-0.051850996,-0.057211141,0.010594259,0.037414551,0.060927882,0.01793503,-0.00285952,-0.001347987,-0.000970323,0.004861031,-0.000859691,0.008459265,0.033209945,0.035559452,0.014368809,0.054790235,0.021310588,9.03249E-05,-3.42082E-05,-1.50157E-05,-0.029049793,-0.004083415,-0.032343275
0.11,0.017639623,0.029982943,0.037432699,0.002549027,0.011414579,-0.002415082,-0.015404621,0.011823698,-0.016407649,-0.012162252,0.044241992,0.003654574,0.00067393,-0.006209865,-0.001506343,-0.008877841,3.85308E-06,-0.027345381,-0.057211141,0.014241109,0.007995605,0.002822414,0.016714327,0.021691871,-0.001353238,-0.000964315,-0.04074749,-0.000855186,0.026998693,-0.020806168,0.034338749,-0.001485073,0.000896192,0.009774943,8.08496E-05,-4.55908E-05,8.13501E-05,0.00480183,-0.022210856,0.017461413
0.12,0.041595921,0.047011751,0.038760214,7.71031E-05,0.004223875,-0.003605267,-0.031639973,0.006963774,0.005236944,0.002343134,0.038077441,0.017154788,0.025271098,0.008194432,-0.020793452,-0.025570956,-1.81867E-06,-0.016359053,-0.037740926,-0.01739799,0.005493164,-0.003403172,0.003248446,-0.004095482,-0.001352488,-0.000956805,-0.035681572,-0.000863445,-0.019967859,-0.031609391,0.016211307,0.004618442,0.008434034,0.014901896,8.08496E-05,1.32222E-05,0.000100241,0.032389721,-0.005288859,0.047063464
