Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,B7039_18A,B7056_18A,B5406_18A,B5395_18A,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.01,0.033306006,0.040923147,0.053732874,-0.002546594,0.033750592,0.034449953,-0.020332741,0.021384037,-0.064265593,0.030282872,-0.001784405,0.027230765,0.019917575,0.006464149,-0.037747932,-0.046935631,0.007369558,-0.020354773,-0.015181214,0.008493948,-0.004560689,-0.032385207,0.018375775,0.015117674,-0.019164165,0.029509391,0.010313223,-0.007105238,-0.007312571,0.045382114,-0.003061984,-0.002339595
0.02,0.017330054,0.081755667,0.058637144,-0.002542082,0.012937604,0.059962648,-0.020332741,0.03432349,-0.055781707,0.014398473,-0.016867718,0.008035208,0.008778659,0.006464149,-0.012342048,-0.014983726,0.009803335,0.02125213,0.013169616,0.037707376,0.028350612,-0.009893752,0.017094037,0.010318785,0.057679096,0.00180706,0.024767111,0.00742113,-0.018909251,0.046640964,-0.003076247,-0.002336592
0.03,0.003826026,0.033232718,0.014498951,-0.002542082,-0.006654682,0.079127687,0.013625694,-0.005654537,-0.04729782,-0.034444911,0.004502216,0.018277671,-0.038309964,0.00916114,-0.001454902,0.010826515,-0.003574808,0.017685388,-0.000395447,0.05930047,0.018224498,-0.012396194,0.0047039,-0.014850587,0.057679096,-0.014565621,0.001882742,0.02719652,-0.000903879,0.054216953,-0.003087507,-0.002334341
0.04,0.006282691,-0.012726755,0.002238514,-0.002531556,0.004331647,0.021663088,-0.003982949,-0.030129635,-0.041224822,-0.02223788,0.025864521,-0.012434457,-0.003611478,-0.00432,-0.012342048,0.028038429,-0.016949137,-0.010844733,-0.033659607,0.017385053,0.008096477,-0.003637649,-0.043635943,-0.026836366,0.003647724,-0.005746041,-0.008954813,0.043004626,0.024822439,0.013819309,-0.003086757,-0.002328336
0.05,-0.015827295,-0.00509736,0.004690649,-0.002524789,0.011747418,-0.01150952,-0.005241799,0.023947513,-0.046077117,-0.002691371,0.010781208,-0.027784799,0.021168795,0.010507728,-0.011136604,0.037872719,0.007369558,-0.009654547,-0.02380243,-0.062635851,0.019490977,-0.00614009,-0.01885567,-0.017246217,0.003647724,-0.00827137,0.031995963,0.050878161,-0.003467356,-0.007642178,-0.003080751,-0.002329837
0.06,-0.025669213,2.95928E-05,0.001012327,-0.002529301,0.012937604,0.006343264,0.002303673,0.043295658,-0.038813933,-0.02223788,-0.006812176,0.0067611,-0.003611478,0.034773017,-0.013562752,0.019432472,0.019528906,0.004608606,-0.022581727,-0.043583346,0.028350612,-0.018637038,0.046879193,-0.008853883,0.015652576,-0.028412972,0.017545889,0.031163805,-0.021442209,0.027704807,-0.003076998,-0.002337343
0.07,-0.012149926,-0.054902048,0.02553344,-0.002537571,-0.006654682,0.020411867,-0.049271034,0.021384037,-0.05700241,-0.036886317,0.000733295,-0.00987861,-0.024668607,0.021291877,-0.006299568,0.000992226,0.015882055,0.012930368,-0.034910828,0.03389697,0.025817653,-0.018637038,0.051884076,0.00912097,0.010849873,-0.018342171,-0.017385294,-0.005762464,0.019664968,0.047903629,-0.003086006,-0.002335842
0.08,-0.014606591,-0.044709177,0.015725138,-0.002540579,-0.012788715,0.029323,-0.058075356,0.022665775,-0.093379363,-0.01001559,0.018326679,-0.025228952,-0.008570584,0.040163185,0.013063835,-0.000228477,0.038983862,0.001043771,-0.013945252,0.022465753,-0.005827168,-0.00614009,0.012150189,0.023510008,0.030064503,-0.00827137,0.007906149,-0.014978773,-0.008594309,0.026442142,-0.003088258,-0.00233359
0.09,-0.002323266,0.022978812,-0.032091139,-0.002538323,0.01046568,0.043391603,-0.003982949,0.008505619,-0.061854705,0.025384801,0.012032429,0.024667289,0.019917575,0.057687904,0.01426928,0.03295176,0.047496359,0.009365533,0.0045484,-0.030881358,-0.012155751,0.026361131,-0.025081256,0.018711119,0.021660725,0.00054058,0.029588889,0.008763903,-0.039447581,0.00245914,-0.003073995,-0.002338844
0.1,0.009975318,0.02426055,-0.012474297,-0.002536819,0.026426373,0.017817873,-0.003982949,-0.015969479,-0.043666228,0.00951566,0.001984516,0.015714194,0.014958468,0.003767158,-0.000249458,0.041557717,-0.012085398,0.006988977,0.011933654,0.004683065,0.004300853,0.003869675,-0.015132525,0.001934081,-0.003554424,0.039587822,-0.006547739,0.023229235,-0.003467356,-0.016480832,-0.00306799,-0.002337343
0.11,-0.01828396,0.016631155,0.020629408,-0.002530804,0.039884625,-0.02045117,-0.01026957,-0.000466549,-0.089747771,-0.013677699,-0.016867718,0.000363852,0.006291476,-0.027234887,-0.014768196,-0.001464439,-0.052210291,-0.023919608,0.030427307,0.04405837,-0.003296117,-0.036138869,-0.003963092,-0.000469179,0.028862873,0.02070507,-0.016183664,0.014012926,0.004253591,-0.011430173,-0.003070242,-0.002335842
0.12,-0.03793728,0.020415335,0.014498951,-0.002529301,0.012937604,0.00890674,0.023688865,0.020102299,-0.073970183,0.020501989,-0.02439793,0.047700431,-0.013529691,-0.001623009,-0.019605232,-0.007606102,0.001290838,-0.009654547,0.013169616,0.021194982,-0.004560689,0.0088593,0.008427045,0.015117674,0.031262318,-0.018342171,0.015135001,0.023229235,-0.000903879,0.010031314,-0.003066489,-0.00234635
0.13,-0.026874658,0.016631155,-0.003891705,-0.002531556,-0.047090473,-0.001316649,0.018661094,-0.000466549,-0.02788864,0.025384801,0.007012287,0.027230765,-0.034571561,0.011854316,-0.014768196,-0.005149437,0.023177664,0.010553811,-0.025038392,0.05421977,0.003034373,0.017617844,0.02209892,0.00912097,0.007248798,0.00180706,0.012724112,0.058812731,-0.006030833,0.013819309,-0.00306874,-0.0023456
0.14,-0.01337063,0.008940726,-0.017378328,-0.002520278,-0.040956439,-0.02939282,0.013625694,-0.005654537,-0.038813933,-0.019796473,-0.003035625,0.000363852,-0.001139554,-0.007016991,-0.006299568,-0.032188011,-0.023027857,0.010553811,-0.006544739,0.065650987,0.020755549,-0.028631545,0.007206342,-0.011257143,0.016854206,0.00433239,0.013929556,0.06412279,-0.012470042,0.004980655,-0.003078499,-0.002332089
0.15,0.006282691,-0.026764841,-0.008795975,-0.002515767,0.01046568,0.030604738,0.032493187,-0.000466549,-0.050929412,-0.024664027,-0.015601238,0.042581107,0.040989962,-0.024537896,-0.013562752,-0.017440391,-0.04491659,0.020061944,0.008241027,-0.005478335,0.037210246,0.003869675,0.018375775,-0.017246217,0.004849354,-0.013306771,0.031995963,0.010045641,-0.003467356,0.012556644,-0.003087507,-0.002330588
0.16,0.017330054,-0.031891794,0.008368732,-0.002524038,0.035001813,0.035701174,0.016143394,-0.012124264,-0.031520232,-0.01001559,0.020844379,0.027230765,0.028599826,-0.021840905,-0.038968635,0.007141518,-0.043699701,-0.008464362,-0.011473328,-0.027070952,-0.007093648,0.026361131,0.060551068,-0.000469179,-0.023966869,-0.020867501,0.039220999,-0.04134596,0.009380544,0.032755466,-0.003081502,-0.002338844
0.17,-0.014606591,0.008940726,0.019403221,-0.002521782,0.033750592,0.011470217,-0.022858071,0.022665775,-0.02184616,-0.014898402,0.017067829,-0.016268228,0.001347629,-0.024537896,-0.038968635,-0.016212059,-0.029110392,-0.02273133,-0.007780701,-0.008018446,-0.03747199,-0.032385207,0.050602338,0.024707823,-0.019164165,-0.027154122,0.04765911,-0.037378675,-0.008594309,0.032755466,-0.003067239,-0.002343348
0.18,-0.012149926,0.020415335,0.013273003,-0.002532308,0.017820416,0.040828127,-0.01026957,0.022665775,-0.076411589,-0.028341395,-0.011832317,0.010598685,0.002568332,-0.025888298,-0.00993116,-0.021133018,-0.01451536,0.018875573,-0.009016663,-0.006748629,-0.014686803,-0.038641311,0.0047039,0.004329711,0.009652058,0.00433239,0.022360037,-0.025537855,-0.018909251,0.013819309,-0.003075497,-0.002344849
0.19,0.054195288,0.021758108,0.019403221,-0.002542082,0.017820416,0.010188478,0.037536217,-0.028847897,-0.124904021,-0.030782802,-0.020644268,0.05665734,0.01746091,-0.011056756,-0.001454902,-0.008834434,-0.015734156,0.020061944,-0.033659607,-0.001667929,-0.013420323,0.003869675,-0.00146065,-0.038829774,0.016854206,0.033285942,-0.000524332,-0.030847913,0.020946707,-0.010167508,-0.003088258,-0.002348602
0.2,0.046825293,-0.006379099,0.004690649,-0.002524038,0.011747418,-0.030674559,0.026206566,-0.001809322,-0.081263884,-0.016119105,-0.021895489,0.041306998,0.019917575,-0.008363579,-0.014768196,-0.008834434,-0.021812876,-0.002522971,-0.02380243,0.007223177,-0.022281865,-0.017385818,0.013370892,-0.010059328,-0.013163647,0.018179741,-0.001729776,-0.001795179,0.037670339,-0.037942319,-0.003073245,-0.002344849
0.21,-0.009693261,-0.051056833,-0.060290573,-0.002527797,-0.010347309,0.016536135,0.004821373,0.03432349,-0.029109343,-0.012456996,-0.016867718,-0.007315133,0.014958468,-0.012407158,-0.023229194,0.025581764,-0.016949137,-0.004901435,0.0045484,0.037707376,-0.023546437,-0.029898025,0.020817182,0.037899046,-0.032370647,0.023215141,-0.012567331,0.011388415,0.004253591,0.001196475,-0.003058982,-0.002338094
0.22,0.018566016,0.006377249,-0.0578382,-0.002542082,0.00680357,0.026759523,0.018661094,0.003378666,-0.046077117,0.011957067,-0.019377789,-0.013712381,0.006291476,-0.008363579,-0.032910896,0.07351725,0.008584539,-0.009654547,0.003312438,0.049138593,-0.00835822,-0.013632156,0.053104779,0.003131896,-0.016764721,0.044623222,-0.000524332,-0.016321546,-0.011157786,0.044119449,-0.003067239,-0.002347101
0.23,0.060329322,0.030669241,0.004690649,-0.002527797,0.048490582,-0.006443602,0.018661094,-0.02628442,-0.073970183,0.048593419,-0.008063396,0.027230765,-0.002360257,-0.020494317,-0.023229194,0.037872719,0.00615267,-0.020354773,0.007005065,0.013574171,0.003034373,-0.013632156,0.055607221,-0.010059328,-0.008360943,0.044623222,-0.028230478,0.021947497,-0.012470042,0.013819309,-0.003076998,-0.00235836
0.24,0.014888648,-0.026764841,0.008368732,-0.002525541,0.049680768,0.025508303,0.016143394,-0.008218014,-0.070338591,0.032724279,0.056023518,0.033628012,0.016209689,0.003767158,0.025156426,-0.029731346,-0.046131571,-0.025109793,-0.005324036,0.022465753,-0.00835822,0.020120286,-0.00146065,0.023510008,0.016854206,0.034552421,-0.060750772,0.033788317,-0.03429011,-0.005116849,-0.003070242,-0.002355357
0.25,-0.021961328,0.011504202,-0.010022162,-0.002541331,0.015409527,0.040828127,0.008597923,0.008505619,-0.058223113,0.015619176,0.057274738,-0.020109628,0.036030856,0.077909614,0.033640312,0.024353432,-0.053429087,0.002232049,-0.031202942,0.031356859,-0.003296117,0.037622117,-0.015132525,-0.000469179,0.0444688,0.02070507,-0.018590738,-0.024195081,-0.025317942,-0.007642178,-0.00306799,-0.002343348
0.26,0.006282691,0.054961233,0.005916597,-0.002539075,0.019071637,0.04973926,-0.022858071,0.008505619,-0.041224822,0.042489904,-0.02817448,-0.008596872,0.033558932,0.06038108,0.000955986,0.077202248,0.009803335,0.040274118,-0.028731019,-0.013099146,0.009362956,-0.003637649,0.012150189,-0.006458253,0.01805965,0.00684246,-0.007753183,-0.02157057,0.023510183,-0.007642178,-0.003081502,-0.00233359
0.27,0.008739356,0.052397757,0.005916597,-0.002521782,0.059507428,0.088069338,-0.035423683,0.029135502,-0.020625457,0.0412692,-0.009329876,0.055379416,0.021168795,0.011854316,-0.002667976,0.01328318,0.024394552,0.053347085,-0.037367493,-0.01945014,-0.00835822,-0.041128493,0.02209892,0.018711119,-0.023966869,0.00433239,-0.031839181,0.004796618,0.014538015,0.035280795,-0.00307925,-0.002341847
0.28,0.002590064,0.042143851,0.003464462,-0.002518022,0.064420758,0.043391603,-0.006508278,0.039450443,-0.02184616,0.018075841,0.042206684,0.046422507,-0.009821805,0.037470008,-0.00388105,0.005913185,0.007369558,0.034328912,-0.020109803,-0.01436944,-0.014686803,-0.029898025,0.030765912,-0.001666994,-0.032370647,0.013136711,-0.047498514,0.015294665,-0.039447581,0.054216953,-0.003073245,-0.002343348
0.29,0.022243384,0.022978812,0.005916597,-0.002529301,0.054624615,0.002528566,0.003562523,0.025290287,-0.033961638,0.038827794,0.012032429,0.019551779,0.005070773,0.005117561,-0.011136604,0.045242714,0.054791967,0.028385614,0.025498718,-0.024530363,0.015691539,0.022622727,0.020817182,-0.008853883,4.665E-05,-0.005746041,-0.053521921,-0.005762464,-0.022723948,0.004980655,-0.003078499,-0.002329087
0.3,0.028392676,0.04983428,-0.028412817,-0.002531556,0.054624615,0.021663088,0.003562523,0.032980717,-0.018214568,0.053476232,0.009529987,0.002919699,0.039738742,-0.019147728,0.010637688,0.00345652,0.068166296,0.047405694,0.018113464,0.026275682,0.037210246,0.046365403,0.038212201,0.001934081,-0.005953869,-0.022118721,-0.00413685,-0.034754163,0.038952078,-0.024053006,-0.003077748,-0.002339595
0.31,0.025936011,0.025542288,-0.034543274,-0.002523286,0.001920758,0.006343264,0.008597923,0.051047123,-0.007289275,0.031503575,0.005753437,-0.027784799,-0.003611478,0.032076026,0.022737908,-0.029731346,0.017097036,0.010553811,-0.010252625,0.050409364,0.028350612,0.006356858,0.074222943,0.021106749,-0.04197224,-0.013306771,0.02597637,-0.018946058,0.044079031,0.031492801,-0.003073245,-0.002350103
0.32,0.017330054,-0.028107614,0.004690649,-0.002525541,-0.011537494,0.019130129,-0.024116921,0.023947513,-0.046077117,0.004632848,-0.062110027,-0.002199624,-0.01227847,0.011854316,-0.00388105,-0.029731346,0.002505819,-0.020354773,0.010712951,-0.01945014,0.014426967,-0.032385207,0.03570976,0.034297972,-0.026366314,-0.049821053,-0.00413685,-0.013635999,0.011944021,0.07315311,-0.003064237,-0.002335091
0.33,-0.008457299,-0.016633005,0.001012327,-0.002533812,0.041105328,0.042109865,-0.016556191,-0.02237817,-0.061854705,-0.012456996,-0.06964024,0.019551779,0.026112643,-0.031278466,-0.007505012,-0.073981834,0.019528906,-0.008464362,0.009476989,-0.033421946,-0.012155751,0.0088593,0.005985639,0.012722045,-0.044379314,-0.056122933,-0.01497822,-0.018946058,0.008098806,0.041594119,-0.003059732,-0.00233359
0.34,-0.036716577,-0.00509736,-0.030864952,-0.002529301,0.008024273,0.031886476,0.007339073,-0.012124264,-0.055781707,-0.01857577,-0.013098797,-0.029066537,-0.008570584,-0.007016991,0.016695427,-0.097335411,0.011018316,-0.02273133,-0.05215326,0.022465753,-0.032407979,0.050119065,0.002262494,0.000728636,-0.062384685,-0.007004891,0.010313223,-0.036096937,0.009380544,-6.61894E-05,-0.003070242,-0.002347101
0.35,-0.021961328,0.003874808,-0.025960682,-0.002528549,-0.012788715,0.020411867,-0.039207863,0.003378666,-0.097010955,-0.047872645,-0.023146709,-0.040579294,-0.008570584,0.007814552,0.013063835,-0.070296837,-0.025459726,-0.009654547,-0.049681336,0.025005865,0.014426967,-0.002386428,-0.025081256,-0.004062623,-0.020365795,-0.033448372,0.027181815,-0.059778577,0.001690115,-0.027841,-0.003083003,-0.002344098
0.36,0.050502662,-0.016633005,-0.02105665,-0.002539827,0.011747418,-0.0281416,-0.041725563,-0.005654537,-0.118831023,-0.062536342,-0.057074627,-0.029066537,0.039738742,0.013204719,-0.001454902,-0.059226585,-0.036404093,0.015308831,-0.011473328,0.000872659,0.062528392,-0.043630935,-0.00146065,0.000728636,-0.015563091,-0.057381783,0.000684927,-0.04134596,0.033794607,-0.008904843,-0.003084505,-0.002335091
0.37,0.065242652,-0.035798044,-0.013700245,-0.002537571,-0.012788715,-0.060062986,-0.003982949,-0.003091061,-0.088527068,-0.052770717,-0.030692181,-0.063612436,0.033558932,-0.000272606,0.003382134,-0.039565635,-0.016949137,-0.020354773,-0.031202942,-0.006748629,0.028350612,-0.00614009,0.015873334,0.007923155,-0.008360943,-0.00827137,-0.017385294,-0.040003187,0.019664968,0.00876865,-0.003070992,-0.002339595
0.38,-0.010913964,0.02426055,0.003464462,-0.002528549,-0.006654682,-0.054936033,0.004821373,-0.004372799,-0.075190886,-0.051550013,-0.015601238,-0.085360025,0.006291476,-0.050149773,0.004587578,-0.013755394,-0.01451536,-0.034617926,-0.033659607,0.014844465,-0.00835822,0.007623338,-0.010188678,-0.013652772,0.004849354,-0.00196949,0.006700705,-0.045313245,-0.044605051,-0.025315671,-0.003072494,-0.00234635
0.39,-0.003543969,0.05752471,-0.01124811,-0.002539827,0.01046568,-0.021732908,-0.001465248,-0.003091061,-0.073970183,-0.028341395,-0.035712322,-0.041861032,-0.003611478,-0.028585289,-0.02202375,-0.028503013,-0.004789789,-0.016788031,-0.002852112,0.012303877,0.001767894,-0.011129714,0.014652631,-0.034038515,-0.005953869,-0.025902901,0.000684927,-0.012354261,-0.025317942,-0.003854184,-0.003083754,-0.00234635
0.4,0.054195288,-0.006379099,0.013273003,-0.002545842,-0.009126605,0.020411867,-0.01278727,0.023947513,-0.042445525,-0.013677699,-0.003035625,0.013154532,0.01746091,-0.001623009,-0.026860786,-0.062919212,0.003722708,-0.015599753,0.025498718,-0.067716551,0.004300853,-0.003637649,0.02209892,-0.050823183,-0.004759869,-0.00953022,-0.016183664,-0.003137952,0.023510183,0.054216953,-0.003070992,-0.002344849
0.41,0.023479346,-0.05362031,0.067219498,-0.00253306,-0.002992572,0.003779787,0.024947716,0.040732181,-0.035151824,-0.005132777,0.050995747,-0.032900308,0.013737765,-0.035322045,0.003382134,-0.033423973,-0.027893503,-0.006087805,-0.002852112,-0.061365557,-0.004560689,0.01011052,-0.033748248,-0.022045106,-0.007155498,0.023215141,0.003092001,-0.014978773,0.032512869,0.026442142,-0.003066489,-0.002343348
0.42,0.011196021,0.015349417,0.03534198,-0.002527045,0.014158307,-0.008976561,0.052627159,0.000754154,-0.042445525,0.020501989,0.020844379,-0.071291421,-0.0197095,0.014551307,-0.00388105,0.042786049,-0.046131571,-0.021541144,-0.053389222,0.021194982,0.000503322,0.020120286,-0.043635943,0.022312193,0.02045528,0.042113151,-0.001729776,-0.008386976,-0.012470042,-0.017739682,-0.003076247,-0.002347101
0.43,0.022243384,0.083037405,0.002238514,-0.002535316,0.021543561,0.001246828,-0.005241799,-0.032754147,0.002415315,0.016839879,-0.011832317,-0.007315133,0.011250583,0.08734336,-0.018399788,0.051392006,-0.029110392,-0.053639914,0.008241027,-0.025800658,0.001767894,0.01011052,0.009647748,-0.002864809,0.049271503,0.039587822,-0.00413685,0.000829333,-0.027881418,-0.020265011,-0.003076247,-0.002347101
0.44,-0.014606591,0.028105765,0.027985575,-0.002539075,0.033750592,0.001246828,-0.039207863,0.000754154,0.037602082,0.025384801,0.000733295,0.024667289,0.021168795,0.065775062,-0.007505012,0.024353432,-0.01451536,-0.034617926,0.066178649,-0.081688357,0.030881663,-0.003637649,0.023319623,-0.007656068,0.036065022,0.047148552,0.028383444,0.016698473,0.068523611,-0.037942319,-0.003078499,-0.002338844
0.45,0.006282691,-0.00509736,0.032889845,-0.002528549,0.048490582,0.012721437,0.003562523,0.027792728,0.025456086,0.040048497,0.010781208,0.024667289,-0.023432645,0.038816597,-0.036542488,0.051392006,-0.009653528,-0.017978217,-0.000395447,-0.044853163,0.065057536,0.002618455,-0.00146065,0.01152423,0.058873096,0.066031303,0.018743704,0.021947497,0.092937673,-0.026578335,-0.003074746,-0.002338094
0.46,0.038219336,0.003874808,0.009594919,-0.002527045,0.036222516,0.014003176,0.017402244,0.011069095,0.027897493,0.033944982,0.058541218,0.034909751,0.011250583,0.050947334,-0.061948372,0.057533669,-0.021812876,-0.03224137,-0.021345765,-0.035962057,0.013160487,-0.0223907,-0.020076373,-0.024440736,0.062477985,0.047148552,-0.0354517,0.003453844,0.032512869,0.034018131,-0.003065738,-0.002335091
