Time,A2147,B5401_18A,B7049_18A,B6182_18A,P-0463-0-CHAN-1,B7048_18A,B7052_18A,B6181_18A,B6876_18B,B7030_18A,B4531_18A,B5397_18A,A2148,A2149,B7033_18A,B6191_18A,IW4-0624-0-CHAN-1,B4520_18A,B7060_18A,B6190_18A,B7035_18A,B7042_18A,B5395_18A,B7051_18A,B7039_18A,B5410_18A,B7032_18A,B5382_18A,IW4-0634-0-CHAN-1,B5406_18A,B7054_18A,B5381_18A,A2146_18A,B7031_18A,B6192_18A,B5404_18A
0.01,-1.11255E-05,-0.020406672,-0.010824608,0.03984983,-0.002063188,0.00753553,-0.020235351,0.017072504,0.045233062,-0.011231162,0.026722764,-0.000793833,3.43409E-05,-4.89515E-05,-0.010495301,0.019210469,-0.00159553,0.054261186,-0.022401009,0.025172634,0.02729876,-0.021317577,0.006894818,-0.006370079,0.004062884,-0.014340227,0.05332126,0.003275785,-0.003209849,0.007559041,0.036312191,0.006102234,1.26997E-05,-0.019640635,0.030042919,-0.014739481
0.02,5.33022E-05,0.030961087,-0.010824608,0.047463966,-0.002065441,-0.001009392,0.001523683,0.018400019,-0.021173188,-0.011231162,0.043385361,-0.048702616,4.19256E-05,9.48498E-05,-0.010495301,0.014125477,-0.001582028,0.072175004,0.007056083,0.042701168,-0.004306007,-0.000825023,0.077344647,-0.026786338,-0.016612775,-0.018101519,0.054511446,0.010661038,-0.003210599,0.002508382,0.007045833,0.031370789,-2.69486E-05,-0.059297751,-0.018498984,-0.024751154
0.03,3.62478E-05,0.023444226,-0.043951439,0.008157326,-0.002062437,0.013639045,0.058339784,0.03841955,-0.021173188,0.018309853,0.057484482,-0.027817148,-3.38841E-05,0.000100526,-0.011719819,-0.029087413,-0.001582028,0.059357621,0.023009147,0.000895901,0.013928246,0.001585866,0.041478863,-0.026786338,0.017429583,0.009474928,0.029487032,0.008189115,-0.003212099,-0.007562419,0.020504085,0.041472107,-1.18463E-05,-0.017237376,-0.04961547,-0.014739481
0.04,9.87805E-05,-0.031682441,-0.024313378,-0.017187523,-0.002054926,0.019742561,0.001523683,0.033086603,0.030462554,0.03182914,0.052357529,0.005351645,-4.90423E-05,9.29578E-05,0.017748717,-0.044342388,-0.001598531,0.044068315,0.008276787,0.018428249,0.012711358,-0.032166576,-0.027689228,0.012840737,0.005268328,0.028277571,0.006858248,0.014353665,-0.003213599,-0.002527019,0.019252864,0.023787171,8.82113E-05,0.020016958,-0.003563014,0.000277075
0.05,0.000100676,0.002144864,0.028436256,-0.004507469,-0.002054175,-0.046297478,-0.055300048,0.035756891,0.034124663,0.010924599,0.035694931,0.011493307,-4.90423E-05,7.40366E-05,0.011610869,-0.024006237,-0.00159478,0.033814408,-0.030991707,0.092601223,-0.039557624,0.005202199,-0.013597736,0.02124833,-0.037273176,0.023265058,0.017585176,-0.027546969,-0.003209099,-0.025201579,-0.014865788,-0.030534118,0.000116527,-0.005219649,0.0063943,-0.009734598
0.06,-5.66041E-05,0.028455308,0.032128883,0.004373146,-0.002052673,-0.027925896,-0.017824462,0.043767756,0.030462554,-0.018616416,-0.013194229,0.036063772,-3.76727E-05,3.61942E-05,0.003012542,0.012855183,-0.001586529,0.054261186,-0.021172676,0.065627498,-0.032263923,0.054610158,0.001767865,-0.009971153,-0.02877403,0.011984999,0.041404146,-0.042347995,-0.003206849,-0.027719279,0.004634945,-0.049470275,1.36735E-06,-0.008825015,0.015106949,-0.007232156
0.07,-0.000119137,-0.022912452,-0.003454613,0.010705543,-0.002048166,0.020963264,-0.00210028,0.033086603,0.034124663,0.003539345,-0.031138565,0.038520437,-2.44069E-05,5.13309E-05,0.017748717,0.045901905,-0.001602282,0.027466752,0.002142753,0.010333462,-0.01038282,-0.002030467,0.035070172,-0.012374412,-0.019054182,0.009474928,-0.001473051,-0.017689792,-0.003203849,-0.012613078,0.021694271,-0.006532043,-6.84781E-05,0.005595495,-0.004807559,-0.023499933
0.08,-1.30205E-05,-0.020406672,-0.013266014,-0.00197451,-0.002055677,-0.020662712,-0.011781981,0.00906164,0.012029937,0.01708915,0.018971299,0.018863302,2.32153E-07,-2.62459E-05,0.015292052,-0.006210674,-0.001609783,-0.00576689,-0.03712574,0.042701168,-0.006735969,-0.050232982,0.070935955,0.005638588,-0.023906477,0.00320738,-0.044365507,-0.054677096,-0.003207599,-0.006311198,0.000972835,-0.006532043,3.53495E-05,-0.007623385,-0.048370805,-0.04978129
0.09,6.0882E-05,-0.029176661,0.013711525,-0.015921044,-0.002063188,-0.018160271,0.022069642,0.005056208,0.005865386,-0.009979942,0.040821885,0.01763497,2.48638E-05,-2.24619E-05,-0.004353639,-0.044342388,-0.001602282,0.045319535,-0.077622567,0.045401974,0.050396752,-0.022523021,0.008176556,0.010445107,-0.027553327,-0.00807268,-0.007439238,-0.052205172,-0.003213599,0.003774861,-0.000247868,-0.036835998,3.53495E-05,0.017613222,-0.016009656,0.011539969
0.1,3.81428E-05,-0.069268653,0.019845558,0.033517433,-0.002062437,-0.014498162,0.032956788,0.051770991,0.034124663,0.009703896,0.011280869,0.01763497,-7.34881E-06,4.56545E-05,-0.016633149,0.007770192,-0.001609783,0.042756059,-0.048173104,0.010333462,0.074704003,-0.020112132,-0.027689228,-0.030387413,-0.014171369,-0.018101519,0.006858248,0.020548734,-0.003206849,-0.001260539,0.013149349,-0.010316223,-8.06881E-06,0.034437467,0.030042919,0.042826208
