Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,0.004879576,0.00682091,-0.00825697,0.014961474,-0.006669594,-0.053404143,-0.023834229,0.028340369,0.041410199,-0.023790476,0.002424284,-0.011598944,-0.000469412,0.033108544,0.000181009,-0.00211177,-2.08086E-05,-0.032494931,-0.017912421,0.021557582,0.010273475,0.078243343,-0.008757555,-0.016570113,-0.00136599,-0.000959809,0.001237476,-0.000846176,0.016591353,-0.011929007,0.033694997,0.020844291,-0.003227234,0.023163066,3.86587E-05,-0.000100509,0.000127221,0.004858382,0.048939424,0.048186807
0.02,0.011196714,-0.026031263,-0.016252575,0.032203906,-0.029431892,-0.042448333,-0.01260376,0.039265662,-0.009088764,0.011268499,-0.022195772,0.028903128,0.048694407,0.023526024,0.011014749,-0.006872512,-8.13008E-05,-0.016564755,0.012544122,0.03493954,0.003925819,0.088253109,0.004693068,0.033768632,-0.001361489,-0.000958307,-0.013960278,-0.000855186,-0.025446611,-0.00231597,0.048221364,0.024498771,-0.016990662,0.052612529,-1.63061E-05,-0.000185883,4.59723E-05,0.024919875,0.036839205,0.018554239
0.03,0.03771649,-0.001693494,-0.01758009,0.058037035,-0.015056206,0.003907868,0.002349854,0.030766516,-0.061990985,0.035446051,0.002424284,-0.011598944,0.05482844,0.048672509,0.006192972,0.012231492,-0.000149354,0.001776309,0.038087335,0.021557582,0.038349647,0.046138851,-0.003859484,0.074280717,-0.001359239,-0.000952299,-0.013960278,-0.000870953,-0.051401811,0.013293771,0.021549,0.001320671,0.005561829,0.060272441,1.7812E-05,-0.000125172,-2.58252E-05,-0.012693041,0.004185396,0.017211465
0.04,-0.009005922,0.01412224,-0.000246106,0.024803393,0.010101723,-0.014433196,-0.023834229,0.021046667,0.006543866,0.016103628,0.003660246,-0.034918188,0.03026179,0.030728173,0.029096414,0.02535405,-9.26434E-05,-0.020226864,0.045411554,-0.004000889,0.08052494,-0.002200993,0.008370436,0.017807939,-0.00136749,-0.000944037,-0.013960278,-0.000862694,-0.005655962,7.96599E-05,-0.014766918,-0.016982247,0.040626526,0.019317851,8.60426E-05,-6.82571E-05,5.35309E-05,-0.000154131,0.022328096,0.006408243
0.05,-0.0266756,-0.010215528,-0.021593152,-0.009635694,-0.005471779,-0.038786223,-0.037628174,0.013760596,0.02337431,-0.002029535,-0.03696628,0.023993612,0.025348459,-0.009982277,0.00860386,0.011010789,1.87558E-06,-0.032494931,0.053956476,0.009381069,0.042194861,-0.017093571,0.025490797,-0.004271529,-0.00136299,-0.000948544,-0.03043977,-0.000860441,0.019063276,-0.027538748,-0.037777171,-0.025519539,0.050666809,-0.022918477,0.000123949,-5.11823E-05,0.000102656,0.024919875,0.019917208,0.015838174
0.06,-0.000155825,-0.012641676,-0.032259045,0.016197436,-0.02583654,-0.005857757,0.002349854,-0.00203988,-0.039148578,0.007640722,-0.045595125,0.016630293,0.004443918,-0.006442237,-0.025118063,-0.000952102,3.02316E-05,-0.004327206,0.027131525,0.032505763,-0.008891564,0.044918148,0.016930617,0.031296708,-0.001362239,-0.000956805,-0.043104565,-0.000859691,0.015340132,-0.011929007,-0.028072582,-0.021865059,-0.010734558,-0.01141335,0.0001448,4.74709E-05,0.000125328,-0.001412981,0.000569063,0.013152627
0.07,-0.014041323,-0.027244337,-0.010911999,0.034645312,0.001715111,0.008760163,0.01864624,0.008900671,-0.045152912,0.026983145,0.019659086,0.005583883,-0.029949392,0.005520653,-0.009462546,0.006250047,-2.64795E-05,-0.004327206,0.002778497,0.022770656,0.011555213,0.072139827,0.007142103,0.030091264,-0.001379492,-0.000950046,-0.00762788,-0.000843172,0.040074629,0.012088327,0.013126149,0.006203483,-0.057090759,0.001404033,9.36254E-05,0.000113872,6.4867E-05,-0.002664201,-0.017573637,0.005065469
0.08,-0.0266756,-0.041846998,-0.010911999,0.044487231,0.035257744,-0.004667571,-0.016387939,-0.003252954,0.001737347,0.019729498,0.051664396,0.032585264,-0.045910085,-0.000460792,-0.005846213,0.001458787,-6.99583E-05,-0.016564755,0.029603449,0.010609401,0.038349647,0.007808773,0.014481581,-0.005507491,-0.001381743,-0.000941033,0.043046558,-0.000846176,0.024007124,0.006091623,-0.002620921,0.018402885,0.011817932,-0.016540303,4.05549E-05,3.03979E-05,-8.81791E-05,-0.002664201,-0.035716337,0.032012491
0.09,0.001095396,-0.007781751,-0.00157362,0.037117236,0.029268669,-0.011961272,-0.025115967,-0.008105249,0.012555829,0.016103628,0.034437223,0.004356504,-0.028728689,-0.000460792,0.000181009,-0.009283401,-3.59315E-05,0.011572452,0.027131525,0.002087367,0.012836951,0.012691585,0.046296156,-0.001830123,-0.00136599,-0.000936527,0.001237476,-0.00085894,0.001744551,-0.005917044,-0.053524242,-0.012099434,0.041908264,0.000122295,5.19263E-05,-8.91262E-05,-3.52763E-05,-0.021470659,-0.016368193,0.029296426
0.1,0.006130796,0.018989794,0.014432849,-0.008399732,0.01608889,-0.004667571,-0.017608643,0.028340369,-0.007883319,0.01731098,0.034437223,-0.020190596,0.036395823,0.024685692,0.017041971,-0.009283401,1.13276E-05,0.037268253,-0.028868231,-0.001567113,-0.001201135,0.063472835,0.067086256,0.037461259,-0.001359239,-0.000940282,-0.039305126,-0.00084993,0.033879561,0.008487253,-0.006283031,-0.030402352,-0.01448822,0.047455058,2.91816E-05,-6.06687E-05,0.000134776,0.004858382,0.024754244,0.014495401
