Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,0.029769082,0.016489801,0.040342375,-0.020271592,0.034000586,0.002845124,0.020577234,-0.019155721,0.050981536,0.086772205,-0.002035709,0.020368576,0.020281843,-0.000884777,0.061712367,0.082043131,-3.55739E-05,-0.005977515,0.077439973,0.064205285,0.002317938,0.06406455,-0.003763796,0.007821702,-0.001359239,-0.000948544,-0.013223779,-0.000863445,0.017334101,0.03271729,0.058750764,-0.012611972,-0.047035508,0.05486548,-0.000300564,-3.47283E-05,-8.8475E-05,0.059652791,-0.008793108,0.010706121
0.02,0.03861918,0.009196099,0.043012663,-0.000587755,0.036396216,-0.009361908,0.02680282,-0.007009725,0.09906961,0.069846393,0.026284604,0.036323547,-0.003064105,0.036285633,0.054479701,0.099987467,-2.04511E-05,0.014804956,0.044603059,0.036213037,-0.002809015,0.060402441,-0.017222048,-0.024069167,-0.00136374,-0.000947042,-0.000558984,-0.000864196,0.034652826,0.02792603,0.076939241,0.02643527,0.000571913,0.035669924,-1.09929E-06,9.61784E-05,-5.06857E-05,0.055891499,-0.00032448,0.025507147
0.03,-0.001786094,-0.005406562,0.095029875,0.00061769,0.048374365,0.01624234,0.020577234,0.061013957,0.072618499,0.086772205,-0.003264041,0.067007065,0.009203962,0.059051747,0.036413295,0.121471842,3.24807E-05,0.023380395,0.019029328,0.066646692,0.007383856,0.095070409,0.069638609,-0.022848464,-0.001374992,-0.000958307,-0.004358423,-0.000865697,0.033401606,0.021914067,0.063633577,0.059378995,-0.000679307,0.025446535,8.60855E-05,6.58229E-05,7.88706E-06,0.070936665,0.0238607,0.002618963
0.04,-0.043442588,0.020144281,0.124387785,-0.007988267,0.055563162,0.035712555,0.033089441,0.018495341,0.019716277,0.060176136,-0.025419803,0.085416794,0.041155866,0.035125965,0.029180629,0.114300211,-2.42313E-05,0.031955835,0.029985139,0.10560238,0.023985419,0.055397558,0.073300718,0.05938115,-0.001371241,-0.000958307,-0.019571435,-0.000869451,0.04330456,0.017107549,0.037022248,0.047179593,-0.040779405,0.044642092,-9.01822E-05,-5.74954E-05,5.3235E-05,0.074697957,0.019038923,-0.0162409
0.05,-0.001786094,0.056643304,0.051023527,0.032600112,0.042383383,0.008887604,0.060616297,-0.0155165,0.044961944,0.031163456,-0.006956668,0.046141624,0.0288878,0.027923817,0.032796962,0.114300211,-6.01487E-05,0.064975854,0.042131135,0.088550683,0.036802801,0.023293066,-0.009874941,0.099877976,-0.00136524,-0.000955303,0.014654029,-0.000864196,0.050720331,0.015917363,0.044285432,0.047179593,-0.004432969,0.033106447,-0.000107238,3.21565E-06,6.83522E-05,0.038336263,0.016612775,0.012048895
0.06,0.063826699,0.056643304,0.00965695,0.042442031,0.042383383,0.024756745,0.058113855,0.023355266,0.061800018,0.083146336,-0.009420963,0.024050713,-0.005536028,0.019500965,0.053274257,0.060528238,-1.28887E-05,0.030735131,0.027543733,0.071521875,0.038023505,0.045509863,0.014592527,0.022561692,-0.00136824,-0.00095305,0.003240454,-0.000859691,0.056884882,0.024309697,0.07089676,0.07645358,0.029411025,0.042078615,-7.31222E-05,5.25422E-05,-3.449E-06,0.037081227,0.026271589,0.021448309
0.07,0.060073037,0.071238336,0.07769589,-0.000587755,0.0591547,0.069861725,0.028084558,0.00149705,0.010095611,0.083146336,-0.005728336,0.031414032,-0.009228655,0.008758778,0.05689059,0.035442789,-2.23407E-05,-0.023128394,0.031175324,0.069080468,0.057188544,0.044289159,0.032933592,-0.022848464,-0.001370491,-0.000942535,-0.065179956,-0.000855936,0.055664179,0.02792603,0.06485428,0.064254178,0.000571913,0.083063723,-0.000101554,-4.61128E-05,-7.7139E-05,0.049620137,0.022655256,0.04033869
0.08,0.037337441,0.095568475,0.097700163,0.019080825,0.038791846,0.043036774,0.006844324,-0.003362874,0.004083648,0.010611774,-0.002035709,0.009322166,0.009203962,0.025482411,0.064123256,0.099987467,1.73569E-05,-0.003536109,0.036058137,0.065433618,0.025267157,0.01718955,0.009694456,0.029931687,-0.001375742,-0.000946291,-0.044901025,-0.000857438,0.021057245,0.018312993,0.074497834,0.031310453,0.001823134,0.059992434,-7.31222E-05,-2.71399E-05,-5.82443E-05,0.012007222,-0.009983294,0.041681463
0.09,0.037337441,0.070025262,0.063016935,0.038764662,0.041185568,-0.002068207,0.015572351,0.022142192,0.013704314,0.006985905,0.020127682,0.046141624,0.015368513,0.04464745,0.054479701,0.119121988,1.73569E-05,0.024601098,0.031175324,0.049610254,-0.002809015,0.034401464,0.045171141,0.03115239,-0.00136524,-0.00096056,0.017171729,-0.000865697,0.009933588,0.00750977,0.10605301,0.010573758,0.000571913,0.008814455,-0.00011861,7.72055E-05,-0.000105481,-0.014325633,-0.041431658,-0.010839289
0.1,0.020918984,0.043253717,0.076353117,-0.010429674,0.061552237,0.038184479,0.024300379,-0.021589498,-0.009138093,0.033581974,0.036141781,0.073143959,-0.000622698,0.012298817,0.003881556,0.096386393,-5.25863E-05,0.011142846,0.040940949,0.015529748,0.018919501,0.080177831,0.024381041,-0.006887771,-0.001344236,-0.000963564,0.020986426,-0.000864196,0.027237055,0.018312993,0.081822053,0.002028837,-0.044533067,0.012629152,-0.000143249,6.58229E-05,-0.000135712,0.00573586,-0.035389178,-0.035070246
0.11,0.007033486,0.043253717,0.073698088,-0.016578966,0.043583106,0.057685211,0.014351648,-0.033735494,0.005289092,0.033581974,0.001656918,0.015459061,-0.014141985,-0.016448742,-0.004556554,0.092815836,-1.66699E-05,-0.030452613,0.023912141,0.022831079,0.016356024,0.046852636,-0.044138552,0.010308884,-0.001350987,-0.000959058,-0.019571435,-0.000859691,0.012390253,0.015917363,0.085423127,0.044730558,-0.047035508,0.033106447,-1.62631E-05,-8.16697E-06,-2.80136E-05,0.024542317,-0.022083514,0.014734442
0.12,0.036086221,0.039606866,0.03233151,-0.003059678,0.055563162,-0.004509613,0.010567469,-0.003362874,0.037752166,0.029954197,0.002900509,-0.015224457,-0.021527239,0.018280262,0.038824183,0.085644205,-3.55739E-05,-0.024318579,-0.004102996,0.066646692,0.025267157,0.004738378,-0.033129335,0.029931687,-0.001368991,-0.00095305,-0.039835107,-0.000857438,0.026001093,-0.009290156,0.135105745,0.087439908,-0.008217149,0.053583742,-2.19479E-05,-3.66263E-05,3.81215E-05,0.024542317,-0.006366961,0.076685125
0.13,0.058791299,0.031092462,0.045667692,-0.021507554,0.091499518,-0.009361908,0.029305262,-0.020376424,0.011293426,0.038417103,0.025056271,-0.002950668,-0.011670062,0.037445301,0.050863368,0.077282389,-5.82581E-05,0.020938989,0.005632112,0.070293542,0.03039411,0.04062705,0.030492186,0.022561692,-0.001371241,-0.000955303,-0.023370874,-0.000857438,0.06307995,-0.015302119,0.066074983,0.069136991,0.009360976,0.036951662,-8.0705E-05,1.31762E-06,8.34658E-05,0.042097554,0.022655256,0.051111395
0.14,0.0398704,0.018923577,0.07769589,-0.011665635,0.065145682,0.028418854,0.048043054,-0.022802571,0.004083648,0.032372715,0.007821469,0.019141197,0.060839704,0.027923817,0.031591517,0.079632242,-9.10848E-06,0.020938989,0.017808625,0.033786889,0.006163153,0.034401464,0.073300718,-0.000753738,-0.00136824,-0.000962062,-0.028436792,-0.000859691,0.044540522,-0.008099971,-0.030848845,0.028876676,-0.018226915,-0.005284666,-2.9936E-06,3.35693E-05,0.000108027,0.038336263,0.016612775,0.009363348
0.15,0.031020303,0.04447442,0.07769589,0.015372939,0.037594031,0.011359528,0.008065027,0.003923198,0.07021524,0.009404423,-0.021727176,0.041233063,0.0780211,0.027923817,0.032796962,0.08445402,-5.63675E-05,-0.005977515,0.021440217,0.009441491,0.016356024,0.005959081,0.062299131,-0.000753738,-0.00136449,-0.000956805,-0.036035669,-0.000852933,0.054412958,0.008715215,0.033360139,0.028876676,-0.037025743,0.0382334,5.38636E-05,5.06442E-05,3.43403E-05,0.010752187,-0.009983294,0.025507147
0.16,0.046187539,0.082186517,0.080366178,0.030128188,0.071136664,0.008887604,-0.005728918,0.024568339,0.065408721,0.031163456,-0.015570255,0.043686867,0.001818708,0.01351952,0.048452479,0.053387125,-5.25863E-05,-0.001094703,0.034837434,0.032566186,0.021421942,0.055397558,0.032933592,0.034829759,-0.001354738,-0.000947793,-0.014505517,-0.000855186,0.071731684,0.037523808,0.113255159,0.034972562,-0.011970811,0.074091555,1.40626E-05,6.77191E-05,-5.33772E-06,0.052126393,-0.007572405,-0.002752131
0.17,0.0398704,0.062723931,0.053678556,0.016608901,0.072334479,0.022315338,0.059334558,0.024568339,0.022119537,0.054133655,0.03489819,0.036323547,-0.014141985,-0.003265148,0.040029628,0.028271158,6.08357E-05,0.024601098,0.029985139,0.061786767,0.021421942,0.098732519,0.035382628,0.04097905,-0.001353238,-0.000944037,-0.009424341,-0.0008687,0.014862177,0.043535771,0.072117463,0.02277316,-0.020729356,0.028010012,-0.00011861,2.02905E-05,-8.46976E-05,0.089746938,0.027492292,-0.044500178
0.18,0.003249307,0.033526239,0.026990934,-0.003059678,0.04957218,0.006507233,0.045540613,-0.008222798,0.049776092,0.027535679,0.036141781,0.020368576,0.009203962,0.017120594,0.041219813,0.077282389,6.65065E-05,0.017246362,0.009294221,0.042301294,0.05975202,0.071510839,0.037831663,0.03115239,-0.00136524,-0.000946291,-0.020837915,-0.000864196,-0.006149176,0.019518437,0.051487581,0.047179593,-0.015724473,0.022883059,-0.000129983,-1.1963E-05,-0.00010737,0.055891499,0.051677473,-0.002752131
0.19,0.007033486,0.031092462,0.033674284,0.02153749,0.078323554,0.006507233,-0.00823136,-0.008222798,0.043764129,0.014239551,-0.006956668,-0.02258873,0.003069929,0.026642079,0.066518885,0.131054361,2.86995E-05,-0.012111548,0.009294221,0.017963525,0.061033758,0.019630956,0.040273069,0.032388352,-0.001369741,-0.000948544,-0.009424341,-0.000854435,0.026001093,0.011126103,0.101231233,0.060599698,0.029411025,0.053583742,-3.90078E-05,1.27002E-05,0.000119366,0.032068715,0.01781822,0.024164373
0.2,0.067641397,0.040827569,0.024335905,0.033836074,0.083114813,0.008887604,0.015572351,0.027002116,-0.010343537,0.031163456,-0.016806217,-0.018906593,0.004290632,-0.015228039,0.054479701,0.114300211,4.57129E-05,-0.004756812,0.028764436,0.032566186,-0.004090753,0.010841894,0.076978087,0.029931687,-0.001360739,-0.00095305,0.019704688,-0.00085894,0.049469111,0.0099054,0.089085237,0.038634672,0.019370742,0.05486548,-9.01822E-05,-5.78557E-07,0.000132591,0.029562459,0.003307111,0.014734442
0.21,0.101699014,0.056643304,0.021665617,0.008002944,0.042383383,0.03086026,0.039315027,0.025789042,-0.009138093,0.039626362,-0.01311359,0.049823761,0.003069929,-0.019988781,0.032796962,0.054577311,3.81515E-05,0.012363549,0.048234651,0.060558435,-0.027039972,0.033180761,0.072087645,0.02132573,-0.00136449,-0.000961311,0.020986426,-0.000861943,0.058136103,-0.017697749,0.011570588,0.043517484,-0.00568419,0.040796877,-5.79603E-05,1.83925E-05,-3.55685E-05,0.050875172,0.020229108,0.055139715
0.22,0.071425576,0.067591485,0.02566342,0.010459609,0.045978735,0.080878571,0.058113855,0.019708415,0.024522796,0.026328327,0.01397839,0.053505898,0.016589216,0.037445301,0.058096034,0.02586027,1.92475E-05,0.007450219,0.044603059,0.060558435,0.032957587,0.033180761,0.031720518,0.038507127,-0.001372741,-0.00096056,0.007039893,-0.000853684,0.049469111,-0.023694453,-0.003016814,0.056937589,-0.02698546,0.02929175,3.30151E-05,7.72055E-05,5.70125E-05,0.063414082,0.008144147,0.06591242
0.23,0.044905801,0.073672113,0.00965695,0.027686782,0.075926016,0.058905915,0.063118738,0.031862041,0.040155425,0.031163456,0.064446835,0.004412651,0.03871446,0.042267079,0.066518885,0.049816568,7.90492E-06,-0.001094703,0.025102326,0.022831079,0.045713934,0.022072363,0.052510618,0.071664475,-0.00136524,-0.000955303,0.023504126,-0.000849179,0.030929682,-0.003278194,0.044285432,0.039855375,-0.038276964,0.04592383,-3.1425E-05,3.16731E-05,9.8583E-05,0.013262257,0.006938703,0.014734442
0.24,0.055007119,0.045687493,0.017667814,0.022773451,0.053167532,0.024756745,0.023079676,0.01120927,0.046167388,0.069846393,0.059525876,0.020368576,0.0288878,-0.018829113,0.02676974,0.054577311,3.81515E-05,0.006260034,0.033647248,0.022831079,0.00482038,0.010841894,0.052510618,0.037301682,-0.001356238,-0.00096056,0.031118262,-0.000855936,0.022277949,-0.011685786,0.050327913,0.02277316,-0.011970811,0.07918799,-4.09022E-05,-6.50838E-05,3.28446E-07,0.006990895,-0.00032448,-0.006810969
0.25,0.022200723,0.006762323,0.029661222,0.008002944,0.028009604,0.052802399,0.003060144,-0.026449422,0.038949981,0.060176136,-0.003264041,0.041233063,0.026415876,-0.015228039,0.012319667,0.041393717,0.000100533,0.023380395,0.044603059,0.078815576,0.034239325,-0.015037012,0.023145079,0.015191697,-0.001351738,-0.000961311,0.005773413,-0.000861192,0.032180903,-0.015302119,0.047886506,0.047179593,0.023124404,0.061274172,2.35398E-05,-6.12896E-05,2.67817E-05,0.073442921,-0.002735369,0.016077215
0.26,-0.056076865,0.022578057,0.017667814,-0.005516343,0.045978735,0.044287995,0.018074793,-0.039808492,0.036554351,0.029954197,-0.021727176,0.001957893,0.03871446,0.04464745,0.048452479,0.064098795,2.68089E-05,0.011142846,0.027543733,0.060558435,0.044432196,-0.00637002,0.045171141,0.067987107,-0.001356238,-0.000955303,-0.014505517,-0.000859691,0.039596674,0.015917363,0.078220979,0.060599698,0.05693788,0.024164797,-5.03774E-05,8.90603E-06,1.16645E-05,0.068430409,0.031123884,0.024164373
0.27,-0.053543906,0.040827569,0.010984464,-0.012901597,0.053167532,0.023566559,0.055611414,-0.013082723,0.035348907,0.068639042,0.017671017,-0.006632805,0.03871446,0.054229969,0.087011439,0.089214762,-9.22849E-05,-0.001094703,0.027543733,0.015529748,0.013792548,0.025734472,0.030492186,0.054483079,-0.00136749,-0.000950797,0.024785864,-0.000865697,0.032180903,0.015917363,0.053928987,0.016677274,0.054465956,0.040796877,-0.000105344,6.96171E-05,-6.20255E-05,0.029562459,0.01781822,0.00127619
0.28,-0.003037314,0.025011834,0.018995329,0.006766982,0.063947867,0.01499112,0.080574793,0.027002116,0.026926055,0.07710004,0.025056271,0.009322166,0.030108503,0.038666004,0.080984218,0.086803873,-1.85595E-05,0.000126001,0.047013947,0.045963403,0.058470282,0.033180761,-9.4057E-05,0.007821702,-0.00136674,-0.000944789,0.052648413,-0.000873205,0.03587353,-0.026090083,0.047886506,0.019111051,-0.003181749,0.044642092,1.59588E-05,1.83925E-05,-5.44668E-05,0.065920338,-0.009983294,0.024164373
0.29,0.007033486,0.032305535,0.020322843,0.035056777,0.077123831,0.005256012,0.078072351,0.017282268,0.026926055,0.037207844,0.006593136,0.013004303,0.037463239,0.041046376,0.047247035,0.098766764,8.73011E-05,-0.009670142,0.043382356,0.047176477,0.068663153,0.054298925,0.03661096,0.029931687,-0.00136524,-0.000947793,-0.009424341,-0.000861943,0.06307995,-0.010495601,0.10605301,0.061820401,-0.018226915,0.02929175,1.97493E-05,-9.92336E-05,-5.63556E-05,0.058397755,0.03596092,0.038965399
