Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,-0.012312794,0.028224217,0.012961002,0.046953041,0.046175379,0.045793244,-0.051955252,0.0515728,0.015912143,0.055608735,-0.024435968,0.009232694,0.052904534,0.017756607,-0.01019946,0.032081604,-5.50807E-05,-0.016367672,-0.010440972,-0.014969396,0.021736839,0.021584251,0.045347561,0.0424933,-0.001372741,-0.00093878,-0.054516995,-0.000864946,-0.047472405,-0.014876279,-0.036764896,0.007796894,0.017702045,-0.010220614,1.88396E-05,1.25337E-05,-0.000121669,0.006678495,-0.013962832,0.060796102
0.02,-0.036269093,0.008761632,-0.001717953,0.012529213,0.059351343,0.008012483,-0.036940604,-0.012811661,0.038762179,0.032640443,-0.039214105,0.031325037,0.020952629,0.023799087,-0.059607419,-0.020500183,3.18769E-05,-0.028635738,0.032161567,0.039809657,0.02814553,0.056252219,0.013540615,0.028989272,-0.001359989,-0.000944037,-0.026654446,-0.000861192,-0.023989128,-0.010085019,-0.039206303,0.01390041,0.000154437,0.01794711,-3.80213E-05,6.18603E-05,-1.01895E-05,-0.012127963,0.006606015,0.035191854
0.03,-0.016096974,0.035525548,-0.001717953,0.011293251,0.018623728,0.004289338,0.006821603,-0.026170731,0.038762179,0.01329802,-0.020743341,0.008005316,-0.019605232,0.036921646,-0.069235715,-0.008506775,-2.60244E-07,-0.000498531,0.011470649,0.053191615,0.033211448,0.008034446,-0.007249485,0.030225234,-0.001354738,-0.000948544,-0.016507351,-0.00085894,-0.010393547,0.009125796,0.00083276,-0.015381206,0.0039081,0.061495694,1.69435E-05,7.89351E-05,4.64907E-05,-0.040967074,0.034407529,-0.010584513
0.04,0.045762157,0.031871068,0.040976139,0.048189003,-0.012523275,0.005540559,0.026841135,0.019987106,-0.023760709,-0.01571466,0.003884344,-0.00304014,-0.019605232,-0.013371323,-0.013815793,0.036842346,-6.26421E-05,-0.000498531,-0.033603814,0.014235926,0.010201194,0.004372337,0.01598965,0.00443788,-0.00136299,-0.000952299,-0.020322048,-0.000856687,-0.0573601,-0.03048602,0.015298092,-0.010498394,0.001436176,0.011538419,8.13854E-05,0.000116879,1.05939E-05,-0.022160617,0.024748715,-0.024042765
0.05,0.048295116,-0.01314236,0.046316715,0.040803749,0.011434931,-0.011518767,-0.005690604,-0.000658035,-0.040598783,-0.026596084,0.00633338,0.022733385,0.004991936,-0.009770249,0.024743167,0.016548157,-7.02035E-05,-0.023722408,-0.020176079,0.000853968,-0.017874978,0.041481712,0.06614529,-0.036074205,-0.001371241,-0.000949295,0.018969334,-0.000871704,-0.033876824,-0.067702207,0.017739498,-0.001953472,0.001436176,-0.003811923,-1.71728E-05,3.15047E-05,4.27133E-05,0.027995023,0.001768979,-0.015986125
0.06,-0.013564015,-0.018009914,-0.020379452,0.022355873,0.016228098,-0.024915984,-0.005690604,-0.007951736,0.020726291,0.019342408,0.010026007,0.031325037,0.011125969,0.041743423,0.019906131,0.016548157,9.19175E-06,0.019093754,0.019985053,0.049544764,8.32298E-06,0.013039329,0.050245632,0.011807875,-0.001362239,-0.000951548,0.058245457,-0.000881464,0.019269539,-0.019682798,0.003274166,0.020003926,-0.009855328,0.019228849,-1.52784E-05,-6.71484E-05,4.64907E-05,0.027995023,-0.021210757,-0.01327006
0.07,0.001603221,-0.01314236,-0.061746029,0.006364662,-0.019712072,-0.029829314,0.009324045,0.041852951,0.031544772,0.073741898,0.021111517,0.026415521,-0.008527351,0.00939479,0.015099612,0.032081604,6.0232E-05,0.050923588,0.038265083,0.064139796,0.016609885,0.008034446,-0.017037999,0.021619277,-0.001347237,-0.000948544,0.021502293,-0.000861943,0.021741462,0.024735537,-0.006430424,0.035865437,-0.019895611,-0.002530185,3.40016E-05,-2.54103E-05,-1.01895E-05,-0.007115451,-0.041764346,-0.010584513
0.08,0.045762157,-0.022869838,-0.013711361,0.022355873,-0.01132546,-0.020063689,-0.015639334,0.043073654,-0.020159635,0.018133149,0.005105048,0.032552416,-0.010999275,-0.030155991,0.017510501,-0.009727478,7.15745E-05,0.019093754,0.040675971,0.003287745,-0.017874978,0.067360618,0.002539028,-0.026247545,-0.001346487,-0.000938029,-0.038037502,-0.000855936,0.008145881,0.021119204,0.02628442,0.000480305,-0.003599225,-0.029416171,1.3153E-05,-7.46977E-07,-3.66466E-05,0.007929715,-0.050217715,0.014989217
0.09,0.006608104,0.012408482,0.069006534,0.043275673,0.012632746,-0.013960174,0.000596018,0.02120018,-0.00812808,-0.044729247,-0.025664301,0.031325037,0.01729052,0.010554458,-0.006583127,-0.025260925,9.99305E-05,0.005635502,0.026058051,-0.02714591,-0.024283669,0.036476829,0.044119228,-0.012743516,-0.001359989,-0.000941784,-0.012707913,-0.000876959,0.042752815,0.010331241,0.025002682,-0.004402507,-0.004850445,-0.028134433,4.91635E-05,3.34028E-05,-6.49848E-05,0.035513791,-0.034501162,-0.001154582
0.1,-0.012312794,0.037951695,0.078329654,0.021119911,-0.010129553,-0.017622283,0.024338693,0.036993027,0.017117587,0.003627763,-0.025664301,0.01414221,0.020952629,0.01897731,-0.007788571,-0.018089294,-2.1499E-06,0.014210941,-0.001926568,-0.005234289,0.006355979,-0.011740945,0.012319912,0.011807875,-0.001369741,-0.000950797,0.02656821,-0.000879963,0.065015388,0.030732242,0.014138424,0.01390041,-0.016141949,0.02563754,9.36249E-06,8.84216E-05,-4.79789E-05,0.006678495,-0.011536685,-0.032129924
