Time,A2147,B5401_18A,B7049_18A,B6182_18A,P-0463-0-CHAN-1,B7048_18A,B7052_18A,B6181_18A,B6876_18B,B7030_18A,B4531_18A,B5397_18A,A2148,A2149,B7033_18A,B6191_18A,IW4-0624-0-CHAN-1,B4520_18A,B7060_18A,B6190_18A,B7035_18A,B7042_18A,B5395_18A,B7051_18A,B7039_18A,B5410_18A,B7032_18A,B5382_18A,IW4-0634-0-CHAN-1,B5406_18A,B7054_18A,B5381_18A,A2146_18A,B7031_18A,B6192_18A,B5404_18A
0.01,-0.000112519,-0.037928021,1.68771E-05,0.034585086,-0.002062437,-0.008226234,0.023697249,-0.016660909,0.025758213,0.029965049,0.056461191,0.005660953,-8.88585E-05,-1.25996E-05,0.023200469,0.031341466,-0.00159403,0.020218127,0.023685282,-6.14686E-05,0.028556477,0.010732477,-0.007712046,0.000393087,0.00965517,0.016780796,0.041299507,-0.018144978,-0.003215848,-0.005709099,0.000588619,0.012924772,6.70479E-05,0.0021395,-0.000820319,0.028329011
0.02,-5.37758E-05,-0.005353368,0.019654939,0.090386477,-0.002069196,-0.01432975,0.011612288,-0.0073149,-0.011168057,-0.018008583,-0.016719962,0.031459751,-1.67923E-06,2.90267E-05,0.010920958,0.007194432,-0.00159403,0.066177599,0.038410013,-0.017593817,0.03828014,-0.023004705,0.028153737,0.007595236,0.006008319,0.011768284,0.02701728,-0.015673054,-0.003203099,0.010663582,-0.005514896,0.045776945,3.11771E-05,-0.014684984,-0.013266961,0.005801316
0.03,7.69744E-05,0.039750182,0.00615091,0.066277591,-0.002060935,-0.063340981,-0.010146745,0.030053874,-0.039427334,-0.002017373,-0.023128653,0.004432621,2.10939E-06,6.11932E-05,-0.030827089,0.014820012,-0.001575277,0.081497424,-0.004543478,-0.001411871,0.017615925,-0.019388372,0.017907461,0.003994161,0.024257831,-0.028343258,0.054406807,-0.003343952,-0.003209849,-0.008226799,-0.031149662,-0.000960726,9.91413E-05,0.004542759,-0.009532968,0.015812989
0.04,1.44417E-05,0.037244403,-0.003660491,-0.019919309,-0.002057179,-0.046190102,-0.019828447,0.03540208,-0.006224209,0.027523643,3.67129E-06,-0.010307369,7.79418E-06,5.74088E-05,0.010920958,0.018634709,-0.001565525,0.048324816,-0.025409872,0.029609247,-0.020065654,-0.018198187,0.006379445,0.022007162,0.041286639,-0.008289394,0.055596992,0.001569378,-0.003218098,-0.0157799,0.002999508,-0.028746981,6.13817E-05,0.026174477,-0.009532968,0.013310548
0.05,-7.65152E-05,0.029727065,-0.008573821,-0.045294675,-0.002069196,-0.01432975,-0.013785966,0.007364055,0.014710849,-0.003268593,0.006412363,0.040058079,5.89648E-05,-2.39525E-05,0.015834288,-0.015686122,-0.001567776,0.007431261,0.017543619,0.010726495,-0.004261364,-0.013361151,0.002534231,0.043621237,0.059520892,-0.000766811,0.034158394,-0.000902546,-0.003212099,0.013181282,0.038369381,-0.02749576,-4.05571E-05,0.003341129,-0.028202931,0.000796434
0.06,7.31848E-05,0.029727065,-0.030653289,0.021920291,-0.002065441,-0.026597817,-0.030707964,-0.022001485,0.004823154,0.006588584,0.033389902,0.042518558,0.000104447,-4.09817E-05,-0.035736604,-0.019500819,-0.001571526,-0.023177869,0.056819742,-0.018940405,0.027339589,0.027608698,-0.008993785,-0.005611246,0.038845233,0.00048441,0.030572578,0.005262005,-0.003217348,0.000592781,0.023751461,-0.038863558,-1.22412E-05,-0.011079618,-0.015756289,0.007052537
0.07,0.000122453,-0.009111798,-0.001203826,0.030770389,-0.002051922,-0.021715004,-0.023452409,-0.023329,-0.01238876,0.048458702,0.050113535,-0.004165707,0.000102554,5.36244E-05,-0.036964937,0.009735021,-0.001574527,-0.005325086,0.043315714,-0.005455451,-0.005482067,0.001088923,-0.010275523,-0.056041544,0.020595721,0.011768284,0.034158394,-0.014452351,-0.003224848,-0.023333,0.005471432,-0.028746981,4.43907E-05,0.010551622,0.030296226,-0.000454787
0.08,-2.34571E-05,-0.006606019,0.046647737,-0.005972776,-0.002051171,-0.022935707,0.004349104,-0.016660909,0.00726456,0.033657676,0.044986581,-0.009079037,4.57027E-05,-2.01685E-05,-0.011181398,0.009735021,-0.001582778,0.03428673,0.005267924,-0.014896826,-0.00304829,-0.044702703,0.001252492,-0.023624247,0.018169574,-0.009540615,0.019860908,-0.030474079,-0.003222598,-0.017031121,-0.028677738,0.015457731,5.19456E-05,0.009349754,0.020338913,-0.020478133
0.09,1.44417E-05,0.039750182,0.041734406,0.025704471,-0.002054175,-0.041246254,0.011612288,-0.013990621,0.04419083,0.009060508,0.015384531,-0.004165707,4.00142E-05,-0.000126127,0.010920958,-0.027122584,-0.001586529,0.006180041,0.001590555,-0.022987799,0.040710102,-0.000101263,0.010217031,0.02920931,-6.4679E-05,-0.007034359,0.000802681,-0.009508503,-0.003217348,-0.008226799,-0.026266849,0.048294645,1.60747E-05,-0.000263998,-0.033181588,-0.025483016
0.1,7.12898E-05,0.022209727,0.028230378,0.038384524,-0.002054175,-0.029039223,0.007988326,-0.00063918,0.018372959,0.022579795,-0.011593008,-0.021362362,1.53789E-05,6.32157E-06,0.019515471,-0.023311702,-0.001580528,-0.021926649,0.005267924,0.002635522,0.028556477,0.017965143,-0.007712046,0.016002828,0.016948871,-0.002021846,0.032968208,-0.009508503,-0.003217348,-0.001924919,0.017647946,0.014191252,-7.83167E-05,0.018963984,-0.015756289,-0.007964019
