Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A,IW4-0631-0-CHAN-1,IW4-0631-0-CHAN-2,IW4-0631-0-CHAN-3,IW4-0631-0-CHAN-4
0.01,0.000461459,0.000773987,-6.516706627,-3.461103599,-8.148056846,-5.541447996,-7.780487759,1.275829985,0.000695422,0.000445998,-46.11245716,-1.482449248,-19.53802321,-0.433643021,0.284084407,-17.61830617,14.51200529,-7.753032189,-2.459334017,15.15645407,4.176046823,1.384716078,-42.68854622,-52.49116668,-60.52342376,-3.981131401,1.833603488,-1.910606326,1.829719269,-0.001979837,-0.001838049,-0.00095695,-8.183556943,-25.2634663,-1.998746217,-4.264105993,-58.06671524,-5.273400509,0.591321049,-24.01694941,,,,
0.02,-8.64592E-05,-2.00012E-05,-6.56252877,-3.430265587,-8.095726829,-5.537633299,-7.72213815,1.268505766,-0.000459207,-0.000371132,-46.0569762,-1.461910918,-19.56229232,-0.380969681,0.29009637,-17.59840871,14.5345883,-7.782603722,-2.453211428,15.21724509,4.226553415,1.422557874,-42.72049812,-52.5019699,-60.53849944,-4.010443535,1.830978976,-1.933372439,1.813594544,-0.001972338,-0.001836548,-0.0009577,-8.186120419,-25.31632084,-2.0712865,-4.339850622,-58.11914444,-5.323205196,0.662198125,-24.04040217,,,,
0.03,-0.000268467,-0.000362173,-6.578199547,-3.421629112,-8.116410117,-5.556798338,-7.77304147,1.208813383,-0.00064092,-0.000454166,-46.13778675,-1.459500029,-19.51618026,-0.409228958,0.298488704,-17.54121876,14.58103605,-7.790660363,-2.425055147,15.23372458,4.283361886,1.420118376,-42.81888679,-52.60139617,-60.69299468,-4.104513969,1.862564669,-2.036582889,1.737930023,-0.001979837,-0.001826796,-0.000961453,-8.17464581,-25.39199966,-2.169186891,-4.43514176,-58.28369522,-5.397851193,0.697636662,-24.2168548,,,,
0.04,-0.000200214,-0.000411324,-6.533582848,-3.436430138,-8.155350547,-5.561864256,-7.830048306,1.174694731,-0.000782883,-0.000680623,-46.28251636,-1.486080839,-19.61690352,-0.510745682,0.311672298,-17.6518755,14.63877531,-7.79334591,-2.415259005,15.22485922,4.288412545,1.384716078,-42.89807991,-52.77638396,-60.89271697,-4.181479301,1.887619601,-2.080955447,1.701957428,-0.001978337,-0.001829796,-0.000959952,-8.177178769,-25.46767849,-2.236874879,-4.501120764,-58.43727493,-5.496178829,0.68663889,-24.38219904,,,,
0.05,-0.000418244,-0.000721358,-6.493803184,-3.422865074,-8.1212853,-5.546574949,-7.774262173,1.213665678,-0.000597384,-0.000593815,-46.31146229,-1.536816313,-19.78315566,-0.483752884,0.308071224,-17.74263478,14.65256925,-7.812175256,-2.422606111,15.29326437,4.283361886,1.406690641,-42.97852424,-52.90699919,-61.0384384,-4.309744682,1.881027804,-2.09175867,1.709399902,-0.001972338,-0.001845551,-0.000960703,-8.22945538,-25.50972122,-2.232053102,-4.548773962,-58.46530533,-5.529748165,0.715966282,-24.38590693,,,,
0.06,-0.000463745,-0.000515299,-6.526350182,-3.412992638,-8.124932151,-5.569524168,-7.796601041,1.247784331,0.000220321,0.000144057,-46.39106739,-1.587567045,-19.79164718,-0.39509932,0.310482113,-17.66554738,14.68137785,-7.847117883,-2.466677309,15.37306784,4.274527047,1.454298063,-43.09867195,-53.02321013,-61.15774688,-4.417242851,1.861282931,-2.161338748,1.734210693,-0.001980587,-0.001839549,-0.000968959,-8.275353818,-25.53134388,-2.189725221,-4.648947912,-58.53479385,-5.553429806,0.774628697,-24.39207911,,,,
0.07,-9.78344E-05,7.07403E-05,-6.575788658,-3.475919884,-8.210114341,-5.653783201,-7.843720181,1.188091948,0.00058753,0.000474305,-46.59732044,-1.575482085,-19.77586959,-0.449054398,0.329677669,-17.64564992,14.75169035,-7.859202844,-2.481371523,15.41867636,4.303564523,1.442091032,-43.18042854,-53.18861541,-61.28712615,-4.414801445,1.829636203,-2.203391971,1.715606415,-0.001986587,-0.001829796,-0.00097121,-8.285577206,-25.59981483,-2.210263551,-4.745459753,-58.69325638,-5.623192989,0.762406407,-24.5401504,,,,
0.08,0.000307891,0.00040346,-6.59025399,-3.503065269,-8.263649802,-5.652531981,-7.785492642,1.192944243,0.000489104,0.000402594,-46.73242176,-1.533184721,-19.86203597,-0.503024735,0.334468929,-17.7501421,14.80186125,-7.817546349,-2.475252748,15.46300314,4.321234201,1.43354611,-43.18552498,-53.28572234,-61.37883147,-4.428229179,1.82173215,-2.226158084,1.688316071,-0.001979087,-0.001838799,-0.000960703,-8.299584775,-25.6430592,-2.250150025,-4.779669958,-58.76761246,-5.644311154,0.715966282,-24.6721847,,,,
0.09,0.000395102,0.000367541,-6.577001732,-3.461103599,-8.194290976,-5.579717039,-7.779144986,1.298992827,0.000207072,0.000111975,-46.74327076,-1.573071196,-19.89722274,-0.447787918,0.344081966,-17.80354787,14.85953947,-7.787974816,-2.486269594,15.49849509,4.301046823,1.481153532,-43.20337776,-53.28688201,-61.39766082,-4.502753105,1.854660617,-2.257347049,1.73173114,-0.001970088,-0.00184255,-0.000954698,-8.291924862,-25.59741158,-2.218747437,-4.782111364,-58.7395668,-5.572106564,0.75140482,-24.60061335,,,,
0.1,0.000129675,-3.32344E-05,-6.560117882,-3.457410973,-8.128579001,-5.592503904,-7.826386197,1.281902983,-0.000192318,-0.000267339,-46.70346058,-1.598431303,-19.86081527,-0.432361282,0.395656673,-17.73018361,14.8495297,-7.796031457,-2.47157538,15.49468039,4.32250068,1.51655583,-43.21616463,-53.23054656,-61.33110198,-4.519858207,1.845474826,-2.241783084,1.81111499,-0.001974588,-0.001838799,-0.000952447,-8.239648251,-25.58419842,-2.113583863,-4.832205969,-58.709095,-5.544762814,0.757515965,-24.46487879,,,,
