Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,B7039_18A,B7056_18A,B5406_18A,B5395_18A,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.01,0.017692741,-0.091082624,0.007637137,-0.002530804,-0.012330951,0.014008031,0.024374355,0.022895119,-0.140621273,-0.007243149,0.003264449,-0.054989473,0.043783477,-0.023691235,0.097615155,0.000243447,0.008315545,-0.026596346,0.006866339,-0.001648433,0.040939884,-0.007454443,-0.020626155,-0.014550711,0.020770415,-0.069689918,0.011137052,0.003967285,-0.050876996,-0.002061334,-0.003073245,-0.002352355
0.02,0.006630119,-0.055377057,-0.00952757,-0.002550353,-0.008668842,0.006348119,-0.023416172,0.024237893,-0.185482113,-0.018244736,0.039710067,-0.05754532,0.010336211,-0.031782208,0.075833234,0.016219399,0.03263424,-0.000446596,0.022872808,0.033916466,0.033346729,0.022559595,-0.016903011,0.01541755,0.020770415,-0.034419227,0.002706571,0.042175293,-0.032902142,-0.03109881,-0.003083754,-0.002344098
0.03,0.028740104,-0.017046979,0.019897812,-0.00255712,-0.023347797,-0.044738307,-0.020913731,0.033210061,-0.141841976,-0.004801743,0.033423446,-0.026840821,0.006613067,-0.034475384,0.002026471,0.000243447,0.067897302,0.005498609,0.041381719,0.036456578,-0.00209753,-0.003700781,-0.005733577,0.046591256,0.041175231,0.043652367,-0.033430056,0.064575195,-0.000767133,-0.003323999,-0.003076998,-0.002343348
0.04,0.049629386,0.012310931,0.007637137,-0.002548849,-0.006196918,0.010162816,0.026892055,-0.002861717,-0.073940364,0.00864125,-0.019364335,-0.020443574,0.015295318,-0.008863507,-0.030642596,0.008841775,0.053306085,0.007875166,0.038909796,0.022484772,0.019423084,-0.026192236,-0.003231136,0.041799997,0.055587157,0.061283898,-0.050298647,0.035583496,0.00435982,0.067369971,-0.003077748,-0.002335842
0.05,0.014000114,-0.003008893,-0.018109924,-0.002542082,0.023222027,0.080414281,0.025633205,-0.001579978,-0.079982845,0.035496719,-0.001763322,-0.04091324,-0.002053925,0.028879108,-0.017329303,0.030967019,0.001021844,0.016198835,-0.000534174,0.03010606,0.051067906,-0.007454443,0.037662419,-0.000161673,0.008765563,0.019718956,-0.028615908,0.014526367,0.02364693,0.054747137,-0.003080001,-0.002337343
0.06,0.000496085,-0.039996198,0.011315459,-0.002542834,0.025663434,0.016571507,-0.027200352,0.047431252,-0.083644954,0.045262344,0.032164596,-0.014046327,-0.018167207,0.01405138,0.002026471,0.029746316,0.015613061,-0.014709749,-0.021484491,-0.004188545,0.009295063,-0.023705053,0.027774723,-0.032533194,-0.014050142,0.005871605,-0.006933169,-0.035583496,0.037776568,0.042124304,-0.003075497,-0.002343348
0.07,0.025047477,-0.031085065,0.032158249,-0.002543586,-0.022157611,-0.037078395,-0.041040074,0.040961526,-0.072719661,-0.014567368,0.028395675,0.011546477,-0.007013032,0.000570239,0.006863507,0.024825356,0.01196621,-0.005201616,-0.005462763,-0.005458839,0.010559635,-0.008705663,-0.035518734,-0.010957267,0.017165526,0.010907006,-0.020185427,-0.043518066,0.02364693,0.054747137,-0.003076247,-0.002335091
0.08,0.023826774,0.008526751,0.022349947,-0.002533812,-0.031953754,-0.020476833,-0.018396031,-0.005425193,-0.083644954,-0.038996689,0.014578841,-0.010208741,0.002905181,0.042360248,0.025021466,0.012534402,-0.035456199,0.036407194,0.022872808,0.045347683,0.035877781,0.050055933,-0.014461605,0.01781318,0.031573638,0.003361535,-0.010545687,0.021118164,0.055751422,0.03581098,-0.003076998,-0.002318578
0.09,0.000496085,0.049420306,0.012541407,-0.002529301,0.031797467,-0.020476833,-0.00958408,-0.002861717,-0.078792659,0.037938125,-0.025643327,-0.00764908,-0.010736176,0.038316669,0.012913617,-0.009590843,-0.013569373,-0.019464769,0.029052618,0.017404072,0.009295063,0.030051661,0.050113591,0.01541755,0.013560637,0.015942406,0.011137052,0.054016113,0.08147774,0.026972327,-0.003075497,-0.002322331
0.1,0.006630119,0.076214739,-0.000945217,-0.002541331,0.05142027,0.031860814,0.002996791,0.034552834,-0.076351253,0.050145157,-0.013070085,0.029460295,-0.021875092,-0.015604077,-0.027011004,-0.021881797,0.025340539,-0.044428148,0.010558966,-0.03340245,0.000435429,-0.017464208,0.050113591,-0.004960562,-0.002045289,0.036091637,-0.041860537,0.026367188,0.031337359,0.010561499,-0.003075497,-0.00233284
