Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A
0.01,-5.52835E-05,-8.80348E-05,0.005810362,-0.015147932,0.016492786,-0.04181833,0.07208067,0.00610236,-6.08223E-06,-1.31667E-05,0.021004247,-0.046557943,0.00872433,-0.039211215,-0.000468797,-0.016730206,-0.012418092,0.014829446,0.024280752,0.040478306,-0.023823629,-0.036287322,0.021017992,0.038966987,0.012596072,0.031563795,-0.000494105,0.027986716,0.035371202,-0.001973088,-0.001820044,-0.000961453,0.0092567,0.016799688,-0.011439604,0.020014819,0.013767467,0.008882859,-0.018214562,0.022064546
0.02,-5.14912E-05,-0.000122063,0.010632139,0.002125018,0.011625232,0.001547149,0.041074811,-0.041413509,-1.36539E-05,-1.69409E-05,-0.009162379,-0.096103231,0.013576625,0.027607023,-0.011241502,-0.027899639,0.015169799,-0.017427634,0.023052419,0.034145909,-0.007405172,0.013763413,-0.008339918,0.095302436,0.008811892,-0.040518724,0.014001744,-0.001920511,0.013039965,-0.001979837,-0.001818543,-0.000958451,0.024546006,0.024007082,-0.025904936,0.011454638,0.013767467,0.015108445,0.009892127,0.029465058
0.03,6.98471E-05,-5.02258E-05,-0.027942079,0.008304827,-0.015146313,-0.045663545,0.007627545,-0.042634213,-6.47611E-05,3.58986E-05,-0.03447671,-0.055011312,0.015995143,0.053302824,-0.032847947,-0.041571514,0.02145642,0.017514993,0.035297598,0.048084812,-0.006153951,-0.022857681,0.024893724,0.03414521,-0.010017453,-0.041739427,0.019281285,-0.037992288,-0.013006788,-0.001980587,-0.001820794,-0.000965206,0.01819835,-0.012029886,0.007939058,-0.019078199,0.021076427,0.044954637,0.014778754,0.0368732
0.04,0.000103974,-4.64449E-05,-0.007464785,-0.01391197,0.006757678,-0.055856416,0.032407818,-0.003632748,2.42025E-05,2.83503E-05,-0.026038599,-0.016345541,0.013576625,0.021183073,0.000751906,-0.02045335,-0.027493775,0.051114847,0.040195669,0.067082005,-0.002354513,-0.071687713,0.042777025,0.005397651,-0.004997312,0.013222731,0.016626256,-0.019986917,-0.019205671,-0.001976087,-0.001820794,-0.000965206,0.007974961,-0.007225275,0.030888277,0.01635271,0.049106822,0.016390183,0.007450721,0.043045381
0.05,-7.61377E-05,-2.1869E-05,0.045605284,-0.000331647,0.055433216,0.01174002,0.084531842,-0.002412045,9.99153E-05,-1.31667E-05,0.028236913,-0.022388021,-0.002200963,0.005756437,0.003162795,-0.017950909,-0.021207154,0.05648594,0.005916799,0.040478306,0.012797465,-0.0277424,-0.009652174,0.027004096,3.80887E-05,-0.016089403,0.012658971,0.014803122,-0.008043867,-0.001978337,-0.001826045,-0.000946442,0.020731309,0.001183748,0.006718355,0.046900805,0.018650279,-0.020963332,0.028225562,0.044281342
0.06,-5.90749E-05,-4.85499E-06,0.038357359,0.026798479,0.044477405,-0.003549287,0.105527936,-0.009705746,-6.85479E-05,-2.07151E-05,0.006523656,0.059765299,-0.01433933,0.019901334,-0.01844365,-0.036566632,0.013888061,0.034971048,0.015709127,0.020207005,0.000163188,-0.013092056,-0.009652174,0.00301728,-0.003746091,-0.055167162,0.033746617,-0.001920511,-0.01052342,-0.001988087,-0.001829796,-0.000953948,0.010538438,0.031214476,0.00186606,0.020014819,-0.027675404,-0.034635207,0.056328437,-0.008788726
0.07,6.7951E-05,-4.45545E-05,0.009426695,0.010761492,0.000677051,-0.071206758,0.053403912,-0.00851556,-8.17969E-05,-4.90226E-05,-0.07428689,0.086346109,0.007503627,0.010898649,0.027149611,-0.021674053,0.003878295,-0.033571433,0.035297598,0.040478306,0.000163188,-0.046052947,0.006979906,-0.010166314,-0.012519895,-0.041739427,0.014001744,-0.009122659,-0.029131514,-0.001978337,-0.001820794,-0.00097046,-0.028981826,0.056440592,0.028477388,0.017573413,-0.008174672,-0.013517043,0.023331306,-0.056907317
0.08,9.17798E-06,-1.05264E-05,-0.013476747,-0.01391197,-0.015146313,-0.077615449,0.027402936,-0.041413509,7.90947E-05,-3.39254E-05,-0.056189967,-0.027225058,0.028141139,-0.028926791,0.035541945,0.001946552,-0.012418092,-0.022798727,-0.010001932,0.046810703,0.021617045,-0.02651979,-0.008339918,-0.002964165,-0.026344358,-0.03439995,-0.014989955,0.013643454,-0.039053541,-0.001968588,-0.001817793,-0.000959952,-0.006032607,0.046831369,0.033299166,0.024897631,0.019870982,0.023836472,0.008667609,-0.024825713
0.09,-0.00010268,1.40495E-05,-0.006244081,-0.022548444,0.009191455,-0.059732148,0.055967389,-0.05236932,4.88081E-05,3.40113E-05,0.006523656,-0.042926352,0.00872433,-0.041774691,-0.016063279,-0.045294659,-0.002408326,0.059171487,-0.040607249,0.025280552,0.006480326,-0.017974868,0.00188347,-0.000583794,-0.030113278,-0.028296434,0.003442662,-0.006803323,-0.020449263,-0.001982087,-0.001828296,-0.000956199,0.038553575,0.021604776,0.015171724,0.001689013,-0.003291859,-0.01229634,0.025780341,0.023300507
0.1,-0.000170933,-7.66921E-05,0.037167173,-0.002803571,0.020139636,-0.034188935,0.031187115,-0.015809261,3.55591E-05,1.3253E-05,0.004128027,0.028347452,0.002651332,-0.030223788,-0.005260057,-0.072638409,0.027682006,0.040372659,-0.0087736,0.027813511,-0.031407247,-0.058259979,-0.004525221,-0.002964165,-0.013786374,0.003472365,0.011346715,-0.027189065,0.010564226,-0.001979087,-0.001834298,-0.000958451,0.025827744,-0.018036127,0.012760836,0.038340625,-0.011821522,-0.040860793,0.005009315,0.044281342
