Time,A2147,B5401_18A,B7049_18A,B6182_18A,P-0463-0-CHAN-1,B7048_18A,B7052_18A,B6181_18A,B6876_18B,B7030_18A,B4531_18A,B5397_18A,A2148,A2149,B7033_18A,B6191_18A,IW4-0624-0-CHAN-1,B4520_18A,B7060_18A,B6190_18A,B7035_18A,B7042_18A,B5395_18A,B7051_18A,B7039_18A,B5410_18A,B7032_18A,B5382_18A,IW4-0634-0-CHAN-1,B5406_18A,B7054_18A,B5381_18A,A2146_18A,B7031_18A,B6192_18A,B5404_18A
0.13,-6.03484E-05,0.051520806,0.009102741,0.01493521,-0.002070699,-0.020110159,0.038506132,0.022101605,-0.000987279,0.009354919,0.001179236,0.003713622,-4.845E-05,0.000113672,0.0424298,0.031805169,-0.001562525,-0.02218162,0.009045725,-0.017128573,0.011840529,0.000756417,0.011798305,0.020942513,0.01224279,0.026999612,0.014825137,-0.010680453,-0.003198599,0.000993452,0.05308987,0.050508339,0.000103249,-0.016305425,-0.007119101,0.007062262
0.14,3.06083E-05,-0.02239849,-0.004401287,0.023800566,-0.00206469,0.004303903,0.033669096,-0.003250873,-0.030467259,-0.031263978,0.003742713,0.015996948,-3.13919E-05,6.06922E-05,-0.018960123,0.034345758,-0.001569276,0.018681417,0.031140451,-0.011734591,0.002113051,-0.006476249,-0.026623325,-0.001869376,0.032903191,0.006945748,0.031518252,0.004120572,-0.003211349,-0.000257769,0.051869167,0.011354286,5.2276E-05,-0.017507293,0.022752809,0.019576376
0.15,7.98764E-05,-0.029915828,0.00420467,0.007336333,-0.002054926,0.032502145,0.026413542,0.048796856,-0.048960911,0.01677069,0.007587928,0.003713622,-2.38146E-05,7.77215E-05,-0.050885324,0.008924615,-0.001567776,0.032719503,0.017636423,-0.027920352,0.01548738,0.027260933,-0.018940525,-0.02588671,-0.009653572,-0.000576835,0.050561221,0.009033902,-0.003205349,0.024934492,0.060383571,-0.021497887,-2.47464E-06,0.000519059,0.026486772,0.027085608
0.16,3.06083E-05,0.052773457,0.015236774,-0.005343721,-0.002055677,-0.016509085,0.071144682,0.042128765,-0.008311497,0.099198669,0.03590824,2.86248E-05,-0.000109094,0.000153406,0.009280081,0.005113733,-0.001544521,0.00717629,-0.021632071,0.011191739,0.008193679,0.054986153,0.036136074,-0.017479118,-0.040064339,0.0219871,0.049371035,0.04232858,-0.0031941,0.023668013,0.045765651,-0.016447227,1.45164E-05,0.042579673,0.005327541,0.010815924
0.17,1.35539E-05,0.031474572,0.049599567,0.003506377,-0.002061686,-0.018889456,0.063896757,0.016768658,0.01012112,0.059800476,0.030720252,0.006170287,-7.11929E-05,0.000117456,0.038744803,0.024175775,-0.00153777,-0.033656229,0.002911691,0.04085864,-0.006393724,0.029671822,0.006678982,0.018546883,0.014668938,0.0219871,0.032693179,0.026306851,-0.003208349,-0.022932329,0.011616481,-1.35116E-05,-5.34478E-05,0.055798791,-0.030767661,-0.007954294
0.18,-1.86601E-05,-0.026157397,0.052040974,0.018734648,-0.002063188,0.048432321,0.033669096,0.027442181,-0.019419896,-0.031263978,-0.024516564,0.00248529,1.59864E-05,9.09663E-05,0.009280081,0.033075464,-0.001556524,-0.011988749,0.020093088,-0.00229703,0.011840529,0.086327706,-0.024059849,0.052161996,0.037770744,-0.000576835,0.041039736,0.01397775,-0.003215099,-0.02796773,-0.003031956,0.025255043,-6.47727E-05,0.002922318,-0.051926923,-0.004198725
0.19,-5.46639E-05,0.013934594,-0.008078655,0.007336333,-0.002060184,0.038605661,0.068733793,-0.025948322,0.000233425,-0.018934876,-0.023234826,0.00248529,-5.60272E-05,-4.71587E-05,-0.009137277,-0.022847998,-0.001565525,0.037846456,-0.027766104,0.01388873,0.039798445,0.077889595,0.013080044,0.050964181,0.017095085,-0.020626883,0.041039736,0.022614224,-0.00319335,0.023668013,0.006733669,0.018922646,6.36008E-05,-0.022314288,0.000348884,0.000804251
0.2,2.68185E-05,0.016440373,-0.027701458,0.028881743,-0.002057179,-0.000578909,0.059052092,-0.047302997,0.046986354,0.032731384,0.024311561,0.018453613,-5.03461E-05,-3.20214E-05,-0.001771097,-0.054624426,-0.001561024,0.032719503,0.002911691,0.065135373,0.027641005,-0.046240654,0.011798305,-0.010276969,-0.016962532,-0.014359336,0.017205508,-0.019316928,-0.00319335,0.029969892,0.004292262,-0.026548546,2.58413E-05,-0.003086307,0.019018817,0.028336828
0.21,0.000113985,-0.002352733,0.005425373,0.059307768,-0.00205042,-0.01278594,0.004654509,0.012763226,0.038380397,0.027818054,0.024311561,0.01231195,0.000116428,0.000140162,0.025240774,-0.013952124,-0.001567776,0.008488546,0.065503244,0.027373685,-0.001529985,-0.016119804,-0.009975987,-0.0486986,-0.021814827,-0.003083091,0.00054291,-0.027922885,-0.003210599,-0.004041948,-0.01520847,-0.018964928,-0.000121412,0.018545172,0.010306168,0.039599722
0.22,8.74564E-05,0.051520806,0.026284138,0.020001128,-0.002047415,-0.040984183,-0.006225008,0.030112469,-0.000987279,-0.007856995,-0.006511193,0.004941955,7.2838E-05,3.60946E-05,0.015417929,-0.003785956,-0.001571526,-0.011988749,0.022549753,-0.019825564,-0.013687425,0.068246041,-0.004849034,-0.019882377,0.028050896,0.028254647,0.005288393,0.017700894,-0.003203099,-0.000257769,0.016499294,0.006288368,-5.91065E-05,0.007729314,0.036444086,-0.004198725
0.23,-2.43449E-05,0.065301877,0.006646076,-0.014224336,-0.002056428,-0.04580596,0.007065397,0.008757794,-0.000987279,0.006913513,-0.006511193,0.020910278,-7.68739E-05,-2.6345E-05,-0.000546579,-0.006326544,-0.001557274,-0.029841532,0.013959055,0.019282712,-0.027057939,0.014001046,-0.006130772,0.002937142,0.028050896,0.065856118,0.043420107,0.025086148,-0.0031926,0.032487593,0.070179714,-0.021497887,2.20713E-05,-0.024717548,0.007816869,0.000804251
0.24,-9.25626E-05,-0.009870071,-0.043662151,0.011120512,-0.002062437,0.001862497,0.026413542,-0.007256306,0.01012112,0.029038757,0.028156776,0.025823608,-6.36119E-05,-2.06691E-05,0.054709311,0.007654321,-0.001555773,-0.010676493,0.037274484,0.052997007,-0.027057939,-0.032980766,-0.01509531,-0.006675895,-0.010874275,0.026999612,0.064858706,-0.011901157,-0.003197849,0.051377973,0.051869167,-0.013914268,-4.58929E-05,-0.00909517,-0.03325699,0.015822714
0.25,-9.44574E-05,-0.013628501,-0.049796185,0.026348784,-0.002066192,0.021515817,0.032456022,0.002082073,-0.02680515,-0.011549622,0.030720252,0.028284087,-1.43375E-05,-0.000109599,0.063303824,-0.005052435,-0.001566275,0.031468282,-0.021632071,0.015235318,-0.016117387,0.003167305,-0.018940525,-0.024681266,8.15355E-05,-0.01185308,0.029122622,-0.022979037,-0.003206849,0.024934492,-0.001811253,0.003770668,-3.26793E-05,-0.000682571,-0.014587057,-0.014210398
0.26,-7.17183E-05,0.069061261,-0.016654095,0.018734648,-0.002066943,-0.006682425,0.013115507,0.039458477,-0.045237767,-0.011549622,0.008869666,0.038110748,9.55809E-05,-2.2561E-05,0.011732931,-0.024122107,-0.001562525,0.032719503,-0.025309439,-0.02926694,-0.019764238,0.032097969,-0.035587864,-0.019882377,0.006154534,-0.018116813,-0.032828062,0.011505826,-0.003217348,-0.001524248,-0.037150609,-0.026548546,6.9267E-05,-0.029524543,0.021508145,0.005811041
0.27,-3.5005E-06,0.023957711,-0.027701458,0.009854033,-0.00205793,-0.039702444,-0.002601046,0.015433514,-0.012034642,0.032731384,0.00630619,0.05407907,0.000150544,9.85346E-05,0.025240774,-0.049539435,-0.001558774,0.008488546,0.009045725,-0.045448886,-0.010040574,0.033288155,-0.068890171,0.006538216,-0.001139168,-0.040680747,-0.035208433,0.033722623,-0.003215848,0.009813032,-0.024974095,-0.035383385,6.36008E-05,-0.0102968,0.062581989,0.032090491
0.28,5.33477E-05,-0.06750204,-0.036292156,0.025067045,-0.002052673,-0.031157522,0.002235991,-0.049973286,0.001515163,-0.004194886,-0.011699181,0.047937408,-1.24413E-05,9.66427E-05,0.04734313,-0.07114588,-0.001561775,-0.003016581,-0.026545401,-0.017128573,0.005763716,0.017632637,-0.056088047,-0.00787371,0.026830193,-0.015610557,0.036278994,0.023865445,-0.003210599,0.003526411,0.017719997,-0.024015587,-3.26793E-05,0.013738177,0.051380026,0.013320273
