Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A,IW4-0631-0-CHAN-1,IW4-0631-0-CHAN-2,IW4-0631-0-CHAN-3,IW4-0631-0-CHAN-4
0.01,5.72681E-05,7.08559E-06,-0.056369927,0.245654856,-2.109515219,-1.341552272,-1.945650968,2.41783119,0.00026679,0.000154327,-23.68783098,-1.067166743,-7.726088022,-0.303319916,0.028007449,-7.136815661,7.766264704,-0.772911014,0.460055519,6.745761435,1.919242451,0.354834549,-22.58598898,-27.53625209,-32.82140951,-3.522008722,-0.575355299,-1.461734656,-0.281354384,-0.001967088,-0.001826796,-0.000962954,-4.410740477,-12.40962445,-1.430332299,-3.391376611,-24.60394939,-2.213623513,-0.661602923,-11.09296502,,,,
0.02,-9.44043E-05,6.37991E-05,-0.076862481,0.222217356,-2.133852988,-1.333922877,-1.949435147,2.436111219,0.000128611,2.60022E-05,-23.67455583,-1.087720332,-7.741865609,-0.289190278,0.005210818,-7.144322985,7.845305232,-0.80382532,0.48208921,6.700137655,1.938178608,0.363377564,-22.57069968,-27.53143031,-32.77996664,-3.526891535,-0.605659254,-1.478519324,-0.204450087,-0.001974588,-0.001823044,-0.000961453,-4.389072996,-12.42644345,-1.435184594,-3.413364526,-24.60150799,-2.232300271,-0.650605151,-11.03003014,,,,
0.03,-0.000247973,-0.000146041,-0.074451592,0.208637034,-2.102221518,-1.290496364,-1.970553311,2.436111219,3.96475E-05,-2.30491E-06,-23.71557145,-1.07200378,-7.772200082,-0.27504538,0.001609744,-7.095800036,7.840300349,-0.833396853,0.518817115,6.667209188,1.935645649,0.352393143,-22.55919455,-27.46551234,-32.76489096,-3.542775934,-0.625434644,-1.518192176,-0.213134245,-0.001979837,-0.001826796,-0.000956199,-4.381413084,-12.41322934,-1.433963891,-3.431675073,-24.61858257,-2.267151345,-0.65426726,-10.97203911,,,,
0.04,-0.000170241,-7.42037E-05,-0.05998626,0.220981394,-2.063281088,-1.30578567,-1.98166171,2.430007703,-1.52447E-05,2.2228E-05,-23.66250139,-1.040601192,-7.762487863,-0.250646577,0.035209598,-7.018712633,7.797636775,-0.846824588,0.52738874,6.677341024,1.916709492,0.384133332,-22.6000881,-27.43914515,-32.77870016,-3.554982966,-0.58063484,-1.478519324,-0.228017287,-0.001985837,-0.001829796,-0.000966707,-4.420933348,-12.44205891,-1.418277856,-3.441455957,-24.58566936,-2.267151345,-0.670155474,-10.96340264,,,,
0.05,-7.54454E-05,-9.92851E-06,-0.043110039,0.235797678,-2.104655295,-1.354339137,-1.979220304,2.39829994,-0.000265098,-0.000253294,-23.58047777,-1.021268306,-7.723661874,-0.260915742,0.080802859,-6.985143298,7.795134333,-0.877738894,0.493109871,6.673541586,1.887687275,0.418311112,-22.59877585,-27.43194301,-32.78750449,-3.653951472,-0.591163404,-1.429386023,-0.216855483,-0.001973838,-0.001830547,-0.000962954,-4.443882567,-12.44326054,-1.403751489,-3.436573144,-24.57103619,-2.219910134,-0.677491137,-10.94489373,,,,
0.06,-0.00016645,-0.000272701,-0.058780816,0.265399729,-2.137507468,-1.351775661,-1.97787753,2.394668348,-0.000263204,-0.000266504,-23.56842332,-1.051465449,-7.723661874,-0.263479218,0.073600711,-6.961522692,7.803923396,-0.826652469,0.472293068,6.683673422,1.896506856,0.398777954,-22.54512595,-27.46795375,-32.86160116,-3.711355036,-0.632026441,-1.45337284,-0.220572905,-0.001961839,-0.001837299,-0.000951696,-4.42859326,-12.38319813,-1.356632348,-3.419468042,-24.59175762,-2.165100564,-0.67259688,-10.92021264,,,,
0.07,-0.000187305,-0.000221659,-0.061191704,0.276508127,-2.111948996,-1.298125758,-1.972994718,2.437331922,0.000185398,0.000150553,-23.60942369,-1.090131221,-7.756430124,-0.241643891,0.05559534,-6.927953356,7.822722224,-0.750053348,0.48208921,6.697619955,1.919242451,0.392674439,-22.5719509,-27.52068812,-32.86160116,-3.631948298,-0.585914381,-1.440128211,-0.195765929,-0.001975338,-0.00184105,-0.000965206,-4.452824217,-12.39641224,-1.350589868,-3.384037133,-24.57225689,-2.142700661,-0.651822039,-10.93624962,,,,
0.08,1.7454E-05,0.000146979,-0.040699151,0.277744089,-2.150889426,-1.263671413,-1.972994718,2.44340492,0.000291395,0.00017886,-23.59373765,-1.050260005,-7.743071054,-0.255788789,0.109580935,-6.929235094,7.793852595,-0.810539187,0.444136787,6.683673422,1.938178608,0.441506379,-22.58092307,-27.4463473,-32.77618246,-3.630727595,-0.563514478,-1.38495243,-0.156074004,-0.001983587,-0.001833548,-0.000964455,-4.455357176,-12.43124806,-1.371128198,-3.360828515,-24.54665264,-2.151428689,-0.644494006,-10.90046776,,,,
0.09,2.50378E-05,0.000145088,-0.062397149,0.291309153,-2.183741598,-1.285369411,-1.968111905,2.420272596,-7.39217E-05,-0.000117421,-23.46589189,-1.017636714,-7.710302804,-0.263479218,0.132408084,-6.916783923,7.761259822,-0.914024295,0.429446388,6.701419394,1.967216084,0.500102036,-22.52724265,-27.33727748,-32.80006247,-3.715017145,-0.616218336,-1.372989539,-0.108939604,-0.001972338,-0.001829796,-0.000953197,-4.41711865,-12.38199841,-1.293766137,-3.353504297,-24.53934368,-2.132751931,-0.628605792,-10.80792321,,,,
0.1,-0.000204367,-8.74368E-05,-0.076862481,0.271579539,-2.108294516,-1.322387233,-1.971774015,2.430007703,-0.000106101,-3.6273E-05,-23.36577897,-0.998319087,-7.688467477,-0.228795991,0.102378787,-6.868322008,7.801359919,-0.926139773,0.467398811,6.700137655,1.971000264,0.519635193,-22.52724265,-27.30975062,-32.8553298,-3.702810114,-0.603034742,-1.365787391,-0.033273177,-0.001970838,-0.001830547,-0.000964455,-4.419651609,-12.36517941,-1.253879663,-3.319294091,-24.52228435,-2.090393532,-0.600499102,-10.72647942,,,,
