Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A
0.01,3.8728E-05,-7.39584E-05,-0.001632283,-0.05739809,0.002624916,-0.062040849,0.059749719,-0.036443306,7.29967E-05,2.40287E-05,-0.03506528,-0.034675598,0.004826611,0.023190564,-0.012973465,-0.02103756,-0.011531684,0.013300539,0.030893923,-0.017684354,-0.028294105,-0.00154734,0.020355225,0.025821598,0.008577867,-0.048180551,-0.000356038,0.006090569,0.031654649,-0.001990336,-0.001825295,-0.00097121,-0.007432312,-0.025684626,-0.017666416,-0.011439899,-0.011735407,0.01856354,0.006631691,0.003482702
0.02,4.63127E-05,2.81258E-05,-0.017310689,-0.041345844,-0.020492149,-0.012297197,0.011287805,-0.055944038,-6.51799E-05,2.78024E-05,-0.012146578,-0.000831604,0.008465832,0.011624402,0.009823166,-0.027202111,-0.020290229,-0.020299315,-0.036439299,-0.015151395,-0.003040809,-0.012533668,0.006286621,0.030643376,0.006060167,-0.038399667,-0.013539632,0.015673088,0.053982072,-0.001978337,-0.001818543,-0.000960703,0.056288392,-0.013672144,0.013736172,-0.004100421,-0.011735407,-0.015066831,-0.003141563,-0.021194574
0.03,6.14793E-05,3.19068E-05,0.008018901,-0.019144306,-0.086196495,-0.049284502,0.008846399,-0.024266792,-4.43592E-05,5.79968E-05,-0.024216281,0.005210876,0.013318127,0.001339978,-0.009372391,-0.00730465,-0.029109809,-0.022984861,-0.0070585,-0.02529086,0.014628869,-0.003988746,-0.014129639,0.045047673,-0.042920546,0.009223013,-0.0174764,-0.004712654,0.037853532,-0.001976087,-0.00184255,-0.000965206,-0.012528747,-0.010068209,-0.022488194,0.009327313,0.002882513,-0.03624603,-0.03613488,-0.026130793
0.04,4.63127E-05,-0.00012311,0.024895122,-0.032709369,-0.060653282,-0.081266923,-0.010928992,-0.023046089,8.64046E-06,-2.50371E-05,-0.029038058,0.018493652,0.015751904,0.016766614,-0.038150467,-0.027202111,0.003543999,0.003901125,0.046812654,-0.002478971,-0.004307288,-0.000326637,-0.030761719,0.011478337,-0.036649184,0.015341788,0.018107096,-0.037061287,-0.036567397,-0.001980587,-0.001850053,-0.000974963,-0.048234313,-0.023281844,-0.024899082,0.000782391,0.002882513,0.001107485,-0.023916405,-0.013790247
0.05,-9.20893E-05,-0.000119329,0.003189495,-0.042597065,-0.001021934,-0.054411455,-0.023380164,-0.012090278,-5.76101E-05,-3.44723E-05,-0.006119357,0.034202576,0.013318127,0.007763928,-0.057376541,-0.042094689,0.033664849,-0.00284326,0.010084749,-0.005019559,0.01209591,-0.036947731,-0.033325195,-0.058040706,-0.006497817,-0.009087534,0.048411051,-0.02869947,-0.046489424,-0.001971588,-0.001829796,-0.000967458,0.005293519,-0.01607445,-0.016476231,-0.027309039,0.00166181,0.017281802,0.012739021,0.001018408
0.06,-0.000120528,-0.000100425,-0.00645406,-0.025324115,-0.007110191,-0.04678206,0.008846399,0.029352593,-0.000129536,2.40287E-05,0.001113309,0.005210876,-0.001246387,-0.016634876,-0.04895369,-0.013530236,0.012302544,-0.00687158,-0.031541227,-0.020224943,0.00200985,-0.038168434,0.029266357,-0.031673519,-0.055478529,0.011664419,0.037882487,0.030077385,-0.032848067,-0.001970088,-0.001833548,-0.000965206,0.000227601,0.021163671,0.000461025,-0.034648517,0.012648138,0.006051333,-0.012918632,0.020759466
0.07,4.06251E-05,-0.000157138,0.004402568,-0.012979755,-0.020492149,-0.011015459,-0.003482703,0.025690483,-0.000101144,-1.74887E-05,-0.010941134,-0.008079529,-0.023089343,-0.001223499,-0.015384354,0.006367225,0.00983062,0.030756594,-0.025422453,0.005112277,-0.062382239,0.010659691,0.035644531,0.022220524,-0.083127455,0.006781607,0.018107096,4.80883E-05,-0.036567397,-0.001985087,-0.001847052,-0.000975714,-0.026597351,0.022364824,0.02585165,-0.033427814,-0.008088556,-0.017569273,-0.000700157,0.017055395
0.08,-1.43574E-05,-0.000113658,-0.000426838,-0.017923603,-0.007110191,0.006867842,-0.046817664,-0.00110395,-4.24668E-05,-0.000130717,-0.030243502,0.012443542,-0.027941638,0.034756726,0.006222092,0.018818397,0.037418511,0.020014406,-0.019296049,0.02158414,-0.048496741,0.015544411,-0.010314941,-0.020870296,-0.032880263,-0.035988779,0.02335612,-0.039502693,-0.014239974,-0.001997086,-0.0018418,-0.000972711,0.006575257,-0.01607445,0.006503506,-0.01998482,-0.028809992,-0.008841245,0.022519905,-0.003921625
0.09,-0.000160342,1.65955E-06,-0.017310689,-0.02778078,0.009933876,-0.034025712,-0.013370398,0.012293267,-5.95007E-05,-0.000134491,-0.051956759,0.003990173,-0.004885608,0.005200452,0.01342424,0.015095252,0.024845269,-0.025670408,-0.01562631,-0.007552518,0.018413049,0.015544411,0.039489746,-0.032833187,0.027422471,-0.035988779,0.011515299,0.026476311,-0.010516829,-0.001995586,-0.001833548,-0.000961453,0.026991517,-0.04009989,-0.020077305,-0.007777789,0.012648138,0.01477936,-0.015363853,0.007186773
0.1,-2.19402E-05,4.32494E-05,-0.013686726,-0.02778078,-0.009543968,-0.036589189,0.047420617,0.026911186,2.37838E-05,-6.16571E-06,-0.045914279,-0.006889343,0.008465832,-0.016634876,0.000240646,0.010090369,-0.016536567,-0.00284326,-0.01562631,-0.030356778,0.00200985,0.033854958,0.061218262,0.037845524,0.032442613,-0.026207895,-0.034596761,0.020494866,-0.027885146,-0.001986587,-0.001827546,-0.000962204,-0.006181091,-0.018477232,-0.016476231,-0.052974322,0.029707465,-0.011343687,-0.023916405,0.019527319
