Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,-0.005061294,0.024872462,0.039764982,0.012973901,-0.024983652,-0.047770413,0.006629713,-0.02048319,0.011903836,0.038859986,-0.03627084,-0.046947956,-0.008376493,0.029954284,-0.024068468,0.002756366,0.000144924,0.032705758,0.008009117,0.046130057,-0.00065275,0.046683974,-0.003145582,0.04756118,-0.001358489,-0.00094554,-0.018114046,-0.000850681,0.026355074,0.002200294,0.052061591,-0.024770314,0.009181132,0.019806374,7.01571E-05,0.000121015,3.52775E-05,-0.016950214,-0.032328132,0.00218422
0.02,4.62388E-06,-0.009185155,0.043762785,-0.005458716,0.003765814,-0.029459867,-0.022117846,-0.00347727,0.014314724,0.049739503,-0.019036038,0.021782875,0.006363497,0.019151062,-0.033696764,0.023050556,9.38839E-05,0.008230661,0.022627037,0.046130057,-0.046673258,0.082572646,-0.021494276,-0.022415627,-0.001354738,-0.000953801,0.037641569,-0.000846176,-0.032971098,-0.020611596,0.070189032,0.042345469,-0.038456808,0.015961159,1.14018E-05,-1.36858E-05,-4.40056E-06,-0.023221576,0.005162712,-0.030133895
0.03,-0.039118911,-0.023787816,0.022415739,-0.000545386,-0.008212335,-0.031901273,-0.032127612,0.024461573,0.034746243,0.036441468,-0.031349881,0.077013493,0.024796115,0.047959655,0.015695936,0.049356708,0.00012413,-0.011331107,0.042097252,0.032740469,-0.051739176,0.078788466,0.013982409,-0.04328965,-0.001347987,-0.000948544,-0.011781649,-0.000841671,-0.026791289,-0.037411522,0.018126044,0.054544871,-0.037175069,0.022369851,-7.95754E-05,-7.4395E-05,3.15001E-05,-0.016950214,0.018468376,-0.01533287
0.04,-0.003779556,-0.012839635,0.007736784,0.033893701,-0.017796762,-0.01240054,-0.014610522,0.029321497,0.010706021,0.025561951,-0.028885587,0.04142046,0.032181369,0.070725769,0.042200452,0.026621112,7.30893E-05,-0.039468314,0.050611656,0.030306692,0.017169516,0.007011122,0.029874438,0.007033836,-0.001362239,-0.000954552,-0.019380526,-0.000851432,0.025134371,-0.026593041,-0.002442804,0.008173411,-0.004612813,-0.007079612,-6.25173E-05,1.47717E-05,4.28361E-05,-0.009427631,0.017262932,-0.001874618
0.05,0.037876938,-0.014052709,0.001068693,0.041263696,-0.004620798,-0.007517728,-0.020897143,0.003808802,-0.047010349,0.054574632,0.011740939,0.011963844,0.034622775,0.007188171,0.022928602,-0.011617413,-8.19209E-05,-0.037057425,-0.004197914,0.042483206,0.029986898,-0.026314073,-0.008043653,0.00950576,-0.001374992,-0.000956054,0.022428556,-0.000857438,-0.009472563,-0.035000634,0.01086286,0.010622447,0.006648173,-0.03268386,5.49933E-05,5.08195E-05,-6.28929E-06,-0.01820525,0.011220452,-0.032819442
0.06,0.007572983,0.026093165,0.014420134,0.028980371,-0.020194299,-0.000162992,-0.000877612,-0.01683634,-0.049413608,0.093259477,-0.001808865,0.024237633,0.023575411,-0.027479798,-0.007192248,0.012277851,-0.000114057,-0.002786185,-0.000535805,0.041270132,-0.061993082,0.010795302,0.007871264,-0.010147561,-0.00136674,-0.000956805,0.011014982,-0.000852933,-0.016903593,-0.016995263,0.008421454,0.005739634,-0.019657979,0.019806374,0.000108064,5.08195E-05,8.82794E-06,0.004362499,-0.017801765,-0.01533287
0.07,4.62388E-06,0.043121974,0.046433073,0.044971582,-0.020194299,0.029042331,0.020423658,-0.007124121,-0.018155979,0.050948762,-0.042435391,0.02669239,-0.009627714,0.035996765,0.014490492,0.067240009,3.14609E-06,0.0168061,0.057935875,-0.011075144,-0.081097086,0.035575576,0.054349535,0.026687156,-0.001357739,-0.000978585,-0.014314608,-0.000853684,0.051089571,-0.013409447,0.025389227,-0.006467397,-0.030949483,0.053070534,2.848E-08,9.44538E-05,3.717E-05,-0.010682667,-0.031107429,0.026445695
0.08,0.008824204,-0.006759008,0.01307736,0.014209863,-0.00941015,0.016896335,0.00162483,0.005021876,0.022722317,-0.013122893,-0.014115079,0.021782875,-0.01206912,0.05156073,0.019312269,0.052927265,6.55279E-05,-0.006448294,0.017744224,-0.00620759,-0.02622648,-0.005317979,0.038449877,0.056136619,-0.001355488,-0.000981589,-0.013048128,-0.000857438,0.007815645,-0.027798485,0.030211005,-0.005246694,-0.005864034,0.035156716,-1.32391E-05,8.68654E-05,5.79533E-05,-0.040772999,0.005162712,-0.009931259
0.09,-0.006281997,-0.027434667,-0.03895511,-0.0386771,-0.01180578,-0.030650052,-0.007164233,0.0098818,0.022722317,-0.002243377,0.02773978,0.014418602,-0.001021756,0.013230651,-0.012014025,0.002756366,4.09531E-05,-0.05048516,-0.03096183,0.018137808,-0.046673258,0.010795302,0.040891283,-0.005234231,-0.001360739,-0.000963564,0.022428556,-0.000849179,-0.055218413,-0.008602929,-1.39775E-06,-0.027204091,-0.019657979,0.03006028,7.20514E-05,-2.31722E-05,-3.46313E-05,0.013140118,0.034184929,0.000841447
0.1,0.001286362,-0.011618932,-0.004256624,-0.006694678,-0.014203317,-0.022135648,0.006629713,0.006242579,0.003488613,0.012263917,0.047431247,-0.005218506,-0.035415067,0.015611022,0.013285047,0.006326923,5.79665E-05,-0.045602347,-0.018815834,-0.004986887,-0.060711344,0.07634706,0.073918932,-0.035919655,-0.001359989,-0.000958307,-0.000368075,-0.000844674,-0.020611479,-0.007397484,0.021727118,-0.019887502,-0.017155538,0.040314187,-3.40877E-05,-0.000108547,-5.91921E-05,0.049501812,-0.000879768,0.027788468
