Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,0.033414667,0.015667944,0.013318611,0.014330893,0.026364081,-0.021245321,0.03644215,0.03292286,-0.031646787,0.062162079,-0.026561359,-0.002791871,0.044141365,0.009904804,0.043878844,0.003315088,-4.15597E-05,0.031505469,-0.040309097,-0.024943901,0.024623259,0.037392653,-0.008988359,0.007560439,-0.001353988,-0.000959809,-0.059915138,-0.000853684,-0.026990818,-0.053440007,0.017647081,-0.016340882,0.022287311,-0.010315866,7.18643E-05,2.45756E-06,7.87436E-06,0.0108566,0.007748691,0.069697293
0.02,0.054899042,0.053380041,0.02265699,0.019244223,-0.010773904,-0.006627401,-0.024837147,0.007402536,0.005622806,0.017432846,-0.016704181,-0.02856635,0.039258552,0.015886249,0.035440734,0.015247461,5.67395E-05,0.032726172,-0.012324478,0.017658638,0.002894744,0.037392653,0.020377181,0.027229018,-0.001346487,-0.000961311,-0.035852028,-0.000855936,-0.018339084,-0.011417302,0.050361924,0.008065551,0.031045856,0.002501517,2.63766E-05,-0.000115168,-4.31435E-05,-0.034282713,0.033139316,0.009089383
0.03,0.027097529,0.004719763,-0.020021843,-0.025021524,-0.022752054,-0.013921102,-0.036067616,-0.019315604,0.009231509,0.004134812,-0.035174945,-0.01751994,-0.04185717,-0.00327879,0.029413512,0.027179834,3.59458E-05,0.000926856,0.005955552,0.018871712,0.022059783,0.060830153,0.011817,0.025993056,-0.001353238,-0.000956805,-0.014306618,-0.000855186,0.011324002,0.002986995,0.028511339,0.004403442,-0.011556683,0.012755423,7.94471E-05,-0.000164495,-0.000105497,-0.068134337,0.013791171,0.031977567
0.04,-0.004457647,-0.022044153,0.02265699,-0.01763627,0.010790579,-0.006627401,-0.004878651,0.034135934,0.00682825,-0.001911484,-0.037639239,0.019299995,-0.023424553,-0.021284161,0.024591735,0.010486718,-2.64369E-05,-0.006397363,0.004734848,-0.029803825,0.048854216,0.069497145,-0.035904862,0.003883071,-0.00136449,-0.000950797,-0.014306618,-0.00084993,0.000200344,-0.01382819,-0.017448134,-0.035856873,-0.014059125,-0.00900361,2.44805E-05,1.57382E-05,-8.28216E-05,0.005844087,-0.000704679,0.062952909
0.05,-0.014558966,0.004719763,0.042676521,0.026644736,0.008393042,-0.017583211,-0.023616444,0.051134225,0.022460879,-0.033340774,-0.017932513,0.020527374,0.055219246,-0.038007794,0.014963439,-0.011058692,-3.58889E-05,0.031505469,0.014469956,-0.007899833,0.038661345,0.048501051,-0.035904862,0.007560439,-0.00136449,-0.000943286,0.024969506,-0.000851432,-0.030683445,-0.01622382,-0.016288466,-0.028540284,0.039804401,0.003752737,2.63766E-05,4.3556E-06,-4.31435E-05,0.053485841,0.028302279,0.02929202
0.06,-0.008241827,0.008366614,-0.002687859,-0.001645059,-0.008376367,-0.034642537,0.006412853,0.021982309,-0.002784787,0.00896994,0.005451581,0.026664268,0.066297127,-0.029645978,0.01255255,-0.019389991,-3.21078E-05,0.054759864,0.001072739,0.031048226,0.041224822,0.021279371,0.043616317,0.023536391,-0.00136749,-0.000950797,0.028784203,-0.000858189,-0.029462742,-0.009021672,-0.021110243,0.01538977,0.024789752,0.028105765,9.83995E-05,-5.25612E-05,-1.5767E-06,0.004589052,0.047665683,0.018519315
0.07,-0.015810186,-0.02082345,0.005307747,-0.004116983,0.010790579,-0.017583211,0.033939708,0.000116464,-0.005195676,0.040399231,0.036228558,0.051211368,0.042951179,0.001481952,0.006525329,-0.02418125,-3.75178E-06,0.003368262,0.014469956,0.003048348,0.030970916,0.037392653,0.070532821,0.013694472,-0.001368991,-0.000965817,-0.014306618,-0.00086795,-0.026990818,-0.023425969,-0.022330947,0.048333496,0.003488483,0.054991751,3.77499E-05,2.71208E-05,1.35405E-05,-0.004188566,0.034360019,0.0252637
0.08,-0.015810186,-0.046374292,0.018659187,0.048785239,-0.002387292,-0.021245321,0.017704357,0.011049386,0.005622806,0.002925552,-0.02162514,0.020527374,0.008527351,0.035051288,0.005319884,0.012897607,7.5908E-06,-0.037006494,0.055882309,0.015224861,0.01314865,0.060830153,0.005698226,0.023536391,-0.001359989,-0.00096056,-0.018106056,-0.000870202,0.007631375,-0.033039006,0.018867784,0.025147766,0.032297077,0.061369925,-3.4273E-05,4.9888E-05,3.99938E-05,0.044708223,0.023480502,0.013148221
0.09,-0.001924688,-0.02082345,-0.021364617,0.051241904,-0.017958887,-0.040746053,0.040165294,0.017122384,-0.028038083,-0.007953964,-0.056110004,0.005799781,-0.029558586,0.071000995,0.010141662,0.041553613,-8.88188E-05,-0.018634912,0.036381577,0.039570259,0.029750212,0.050942457,0.026488326,0.030875868,-0.001356989,-0.000942535,0.028784203,-0.000866448,0.065721585,-0.009021672,0.012764268,-0.017561585,0.021005573,0.007597952,1.69014E-05,3.66073E-05,0.000106125,0.039695711,0.013791171,0.014490995
0.1,-0.006960089,0.013234167,-0.01602404,-0.001645059,0.031155341,-0.040746053,0.038944591,-0.013242606,-0.023231565,-0.010372482,0.026371381,0.03893758,-0.02220385,0.057817401,0.001703551,-0.001476172,-0.000109613,0.002147559,0.001072739,0.001835274,0.025904998,0.041054762,0.077872298,-0.009620958,-0.00136824,-0.00094554,0.023703026,-0.000854435,0.031114651,-0.005435856,0.003120714,-0.000471741,0.018533649,-0.00900361,8.89243E-05,-1.65135E-05,3.43239E-05,0.003334017,-0.007967862,0.019862088
