Root Name,Title,Author,Date/Time,Groups,Description,ActualStartTime,DATAFILENAME,DATAFILEPATH,LOCATION,PROJECTNAME,PROJECTSTARTDATE,SampleRate_s_s_,TDMS_FileType,TestDuration_s_,,,,
WaterLoo steelBridge_R20_07_25_2019_14_48_23,WaterLooSteelBridge,Dr Linzell Team,,1,Short description of what the test is all about.,07/25/2019 02:48:25.304 PM,C:\STS_UserData\Data\July_2019\25\WaterLoo steelBridge_R20_07_25_2019_14_48_23.tdms,C:\STS_UserData\Data,WaterLoo,WaterLoo steelBridge,1:14:48.841 PM7/25/2019,100,LiveloadData,1200,,,,
,,,,,,,,,,,,,,,,,,
Group,Channels,Description,GroupName,SampleRate_s_s_,,,,,,,,,,,,,,
Sensors_Started @ 14:48:23.486,41,,Sensors,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sensors_Started @ 14:48:23.486,,,,,,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ArrayColumn,Attributes,CalFactor,CalOffset,ExcitationMode,Gain,Location,Offset,RatioMetric_,SensorName,Type,Start Index
Time,DT_DOUBLE,s,753,,,,0,,,,,,,,,,,
B5408_18A,DT_DOUBLE,ue,753,-0.785278,17.951569,,0,{NULL},106520,0,ExcitationOn,64,"IW4-0627,0,CHAN-1",-385.538208,Not RatioMetric,B5408_18A,Strain,
B7057_18A,DT_DOUBLE,ue,753,-1.341652,5.197296,,0,{NULL},102960,0,ExcitationOn,64,"IW4-0627,0,CHAN-2",-85.338654,Not RatioMetric,B7057_18A,Strain,
B6181_18A,DT_DOUBLE,ue,753,-1.83345,1.990097,,0,{NULL},112800,0,ExcitationOn,64,"IW4-0627,0,CHAN-3",-161.687027,Not RatioMetric,B6181_18A,Strain,
B5397_18A,DT_DOUBLE,ue,753,-0.925079,5.021683,,0,{NULL},104080,0,ExcitationOn,64,"IW4-0627,0,CHAN-4",-219.017731,Not RatioMetric,B5397_18A,Strain,
B7036_18A,DT_DOUBLE,ue,753,-4.078905,70.054291,,0,{NULL},101400,0,ExcitationOn,64,"P-0448,0,CHAN-1",30.511406,Not RatioMetric,B7036_18A,Strain,
B7048_18A,DT_DOUBLE,ue,753,-1.866669,108.015259,,0,{NULL},103240,0,ExcitationOn,64,"P-0448,0,CHAN-2",453.458496,Not RatioMetric,B7048_18A,Strain,
B4546_18A,DT_DOUBLE,ue,753,-3.267578,61.579346,,0,{NULL},105460,0,ExcitationOn,64,"P-0448,0,CHAN-3",606.388977,Not RatioMetric,B4546_18A,Strain,
B7040_18A,DT_DOUBLE,ue,753,-1.923409,70.319618,,0,{NULL},102680,0,ExcitationOn,64,"P-0448,0,CHAN-4",-80.136101,Not RatioMetric,B7040_18A,Strain,
B7050_18A,DT_DOUBLE,ue,753,-1.716873,79.344635,,0,{NULL},101920,0,ExcitationOn,64,"IW4-0629,0,CHAN-1",-67.431709,Not RatioMetric,B7050_18A,Strain,
B7052_18A,DT_DOUBLE,ue,753,-2.70343,42.484749,,0,{NULL},102020,0,ExcitationOn,64,"IW4-0629,0,CHAN-2",21.074881,Not RatioMetric,B7052_18A,Strain,
B7038_18A,DT_DOUBLE,ue,753,-2.211388,40.258423,,0,{NULL},104360,0,ExcitationOn,64,"IW4-0629,0,CHAN-3",105.990906,Not RatioMetric,B7038_18A,Strain,
B7049_18A,DT_DOUBLE,ue,753,-1.249685,47.875843,,0,{NULL},103680,0,ExcitationOn,64,"IW4-0629,0,CHAN-4",8.336349,Not RatioMetric,B7049_18A,Strain,
B7033_18A,DT_DOUBLE,ue,753,-5.159668,59.868912,,0,{NULL},104120,0,ExcitationOn,64,"IW4-0623,0,CHAN-1",-282.078339,Not RatioMetric,B7033_18A,Strain,
B7034_18A,DT_DOUBLE,ue,753,-3.068176,8.155823,,0,{NULL},101660,0,ExcitationOn,64,"IW4-0623,0,CHAN-2",-596.573181,Not RatioMetric,B7034_18A,Strain,
B7053_18A,DT_DOUBLE,ue,753,-1.675888,103.86866,,0,{NULL},102120,0,ExcitationOn,64,"IW4-0623,0,CHAN-3",-187.189178,Not RatioMetric,B7053_18A,Strain,
B7041_18A,DT_DOUBLE,ue,753,-3.228027,59.345612,,0,{NULL},101380,0,ExcitationOn,64,"IW4-0623,0,CHAN-4",-398.692749,Not RatioMetric,B7041_18A,Strain,
A2149,DT_DOUBLE,g,753,-0.000824,0.000637,,0,{NULL},2.5188,0,ExcitationOn,1,"IW4-0626,0,CHAN-1",-0.008425,Not RatioMetric,A2149,Accelerometer,
B7044_18A,DT_DOUBLE,ue,753,-0.848663,16.454102,,0,{NULL},103120,0,ExcitationOn,64,"IW4-0626,0,CHAN-2",315.458313,Not RatioMetric,B7044_18A,Strain,
B7058_18A,DT_DOUBLE,ue,753,-1.031281,31.888824,,0,{NULL},103240,0,ExcitationOn,64,"IW4-0626,0,CHAN-3",-310.132996,Not RatioMetric,B7058_18A,Strain,
B7047_18A,DT_DOUBLE,ue,753,-1.21933,19.743484,,0,{NULL},103120,0,ExcitationOn,64,"IW4-0626,0,CHAN-4",-127.011276,Not RatioMetric,B7047_18A,Strain,
B4541_18A,DT_DOUBLE,ue,753,-1.559509,60.658752,,0,{NULL},108040,0,ExcitationOn,64,"IW4-0625,0,CHAN-1",517.313721,Not RatioMetric,B4541_18A,Strain,
B4526_18A,DT_DOUBLE,ue,753,-6.279541,57.322388,,0,{NULL},104860,0,ExcitationOn,64,"IW4-0625,0,CHAN-2",-1599.306274,Not RatioMetric,B4526_18A,Strain,
B7061_18A,DT_DOUBLE,ue,753,-1.742424,113.896629,,0,{NULL},103540,0,ExcitationOn,64,"IW4-0625,0,CHAN-3",-119.258606,Not RatioMetric,B7061_18A,Strain,
B6876_18B,DT_DOUBLE,ue,753,-6.664368,45.003967,,0,{NULL},104100,0,ExcitationOn,64,"IW4-0625,0,CHAN-4",-249.341492,Not RatioMetric,B6876_18B,Strain,
IW4-0624-0-CHAN-1,DT_DOUBLE,none,753,-0.001381,-0.001337,,0,{NULL},1,0,ExcitationOn,1,"IW4-0624,0,CHAN-1",0,Not RatioMetric,IW4-0624-0-CHAN-1,Unknown,
IW4-0624-0-CHAN-2,DT_DOUBLE,none,753,-0.000975,-0.000928,,0,{NULL},1,0,ExcitationOn,1,"IW4-0624,0,CHAN-2",0,Not RatioMetric,IW4-0624-0-CHAN-2,Unknown,
B5411_18A,DT_DOUBLE,ue,753,-0.219055,1.325455,,0,{NULL},107080,0,ExcitationOn,64,"IW4-0624,0,CHAN-3",173.169189,Not RatioMetric,B5411_18A,Strain,
IW4-0624-0-CHAN-4,DT_DOUBLE,none,753,-0.000881,-0.000837,,0,{NULL},1,0,ExcitationOn,1,"IW4-0624,0,CHAN-4",0,Not RatioMetric,IW4-0624-0-CHAN-4,Unknown,
B7045_18A,DT_DOUBLE,ue,753,-1.889786,101.968002,,0,{NULL},104640,0,ExcitationOn,64,"IW4-0634,0,CHAN-1",-146.79155,Not RatioMetric,B7045_18A,Strain,
B7051_18A,DT_DOUBLE,ue,753,-3.253708,71.831467,,0,{NULL},101580,0,ExcitationOn,64,"IW4-0634,0,CHAN-2",189.463638,Not RatioMetric,B7051_18A,Strain,
B7043_18A,DT_DOUBLE,ue,753,-4.344116,62.868164,,0,{NULL},102500,0,ExcitationOn,64,"IW4-0634,0,CHAN-3",-518.287231,Not RatioMetric,B7043_18A,Strain,
B7054_18A,DT_DOUBLE,ue,753,-1.795952,99.155937,,0,{NULL},103200,0,ExcitationOn,64,"IW4-0634,0,CHAN-4",-85.430588,Not RatioMetric,B7054_18A,Strain,
