Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A
0.01,1.07095E-05,4.98011E-05,-0.014289739,-0.011958348,0.024961761,0.074130896,0.053046949,-0.027454492,0.000138075,-7.50508E-06,-0.056160847,-0.02457131,0.02015686,0.006083633,-0.004571857,-0.026858243,-0.093280588,0.026865486,-0.01448394,-0.086743479,-0.017289839,0.013651578,0.018032627,0.054339926,0.048761732,-0.031982538,0.011176189,-0.000761775,-0.046203613,-0.001979837,-0.001823795,-0.000944191,0.014035989,-0.001815587,0.010610566,0.043260414,-0.012773237,0.017059559,-0.029447017,-0.024786622
0.02,6.18997E-05,2.14443E-05,-0.019119146,0.007786525,0.024961761,0.095859412,0.060371168,-0.029926416,6.61489E-05,0.000115158,-0.029610554,0.012889018,-0.018669128,0.017649795,-0.003412189,-0.009402188,-0.122150217,0.001322273,-0.009587776,-0.053807382,0.011747637,-0.008322031,0.037197666,0.109454672,0.051264173,-0.029541132,0.052008709,0.007661077,-0.017677307,-0.001975338,-0.001823795,-0.000941188,0.005094339,0.021007986,0.02391623,0.02125724,-0.015214643,0.003326649,0.002321782,-0.017378479
0.03,4.10446E-05,6.87056E-05,0.007408259,-0.021830784,-0.005456635,0.113742713,0.059150465,0.004222754,1.50416E-05,1.13658E-05,0.035513958,0.033419718,-0.0259552,0.036921646,-0.003412189,-0.008181485,-0.15727595,-0.033650871,-0.0255046,-0.079140787,0.029417315,0.000223844,0.05126627,0.086749594,0.017343885,-0.019775507,-0.00988094,-0.010344294,-0.022636414,-0.001969338,-0.001824545,-0.000960703,-0.010194968,0.028215379,0.02391623,-0.004392784,-0.033494673,-0.005340343,-0.023335872,-0.065500885
0.04,1.22962E-06,8.761E-05,0.029113886,-0.002085911,-0.006669709,0.127780799,0.040595777,-0.011615869,0.000136184,-9.39241E-06,0.057227215,0.014086833,0.015304565,0.017649795,-0.017785968,-0.005679044,-0.100848948,-0.02422094,-0.038972389,-0.076607828,0.043318071,0.040508001,0.043606358,0.021991293,-0.014043444,-0.030761835,-0.021752277,-0.001921443,-0.049926758,-0.001975338,-0.001828296,-0.000963705,-0.020418356,0.045032949,0.017873749,0.015153725,-0.005464277,0.034454579,-0.045339046,-0.035887391
0.05,-1.3937E-05,-2.58169E-05,0.008613703,0.043568385,0.018881133,0.103549842,-0.017753832,0.006664161,8.50771E-05,5.09959E-05,0.0246497,0.008051981,-0.006538391,-0.000340317,0.00378996,-0.018130216,-0.059406077,-0.005422112,0.011225213,-0.02340043,0.028166094,0.035625188,0.021847325,0.027972738,-0.021581286,-0.051513788,0.011176189,0.012482854,0.000930786,-0.001974588,-0.001830547,-0.000946442,-0.022951315,0.040227861,-0.001474395,0.006608803,0.014051714,0.043121571,-0.023335872,0.035683959
0.06,-1.77284E-05,-2.2036E-05,-0.027564886,0.037403835,0.007932952,0.111179236,-0.052421801,0.029796485,-5.31014E-05,1.93014E-06,-0.000664631,-0.012486349,-0.018669128,0.00738063,0.029027997,-0.036745938,-0.079486643,-0.002706047,0.024691094,-0.065209512,0.016798296,0.025859563,0.024410801,0.045978109,-0.005254381,-0.044204828,-0.019127766,-0.003142146,0.041862488,-0.001964089,-0.001835048,-0.000951696,-0.062471579,0.028215379,-0.02082254,-0.036161583,-0.045686445,0.024505848,0.003542485,0.035683959
0.07,4.4836E-05,8.38292E-05,-0.039619329,-0.003306615,-0.018838593,0.122653846,-0.067314379,0.004222754,-3.41713E-05,-6.60066E-05,-0.01755611,0.023753275,0.016517639,0.01380458,-0.026178302,-0.024355802,-0.055652415,0.026865486,0.00142907,-0.117146616,0.024381914,0.013651578,0.035946446,-0.011578043,-0.021581286,-0.019775507,-0.023064533,0.03042719,0.003414154,-0.001970088,-0.001836548,-0.000976464,-0.052309226,0.015001745,-0.001474395,-0.015394371,-0.044465742,0.018280262,-0.006230769,-0.017378479
0.08,0.000122569,6.49247E-05,-0.013091925,-0.034159886,-0.005456635,0.057529334,-0.042534106,0.017619971,-1.9028E-05,-9.43137E-05,-0.030831257,0.088999857,-0.010177612,0.017649795,-0.071771564,-0.02185336,-0.029285227,0.056437019,0.014896859,-0.085473184,-0.008455,-0.021749766,0.009121494,-0.054729898,-0.065541857,-0.016113398,-0.00331966,0.041230413,0.00837326,-0.001977587,-0.001835048,-0.000974213,0.025510599,-0.043859034,0.037221894,0.039583046,0.003065386,-0.009124523,0.005991521,-0.037123353
0.09,6.37959E-05,-1.25838E-05,0.027916071,-0.024287449,0.024961761,0.052463416,0.007148511,0.028606299,-5.87787E-05,-5.46836E-05,-0.032036701,0.049136271,-0.027168274,0.034358169,-0.035791339,-0.052920255,-0.050647532,0.016092781,0.003878106,-0.055073862,-0.034959516,-0.009542735,-0.026675625,-0.00077482,-0.068059557,-0.005111811,0.005896648,-0.011503962,0.050544739,-0.001969338,-0.001832797,-0.000961453,0.028043558,-0.054670363,0.02995871,0.007829506,-0.022523603,-0.024017101,0.041430058,-0.007509858
0.1,-6.35321E-06,-2.01456E-05,0.032737848,0.000386012,0.016447356,0.095859412,-0.010307543,0.012737159,1.31492E-05,-1.50535E-05,-0.029610554,-0.001614461,0.025016785,0.031779434,0.007421551,-0.066653165,-0.055652415,0.005350593,-0.010812293,-0.057606821,-0.002137861,0.011210172,-0.025363369,0.031573812,-0.060521715,0.014434698,0.04544743,0.0028393,0.044342041,-0.001958839,-0.001823044,-0.000962204,-0.031892966,-0.012626677,-0.012338653,-0.038602989,-0.021318159,-0.001617199,0.03776032,0.009763092
0.11,3.15647E-05,-3.13153E-06,0.003784296,0.018894924,-0.011544892,0.074130896,-0.023979418,0.015178565,0.000105898,1.13658E-05,-0.033242146,0.014086833,0.035934448,0.004801895,0.000219403,-0.061587247,-0.055652415,0.038950447,0.008776177,-0.06013978,0.029417315,-0.005880625,-0.003665371,-0.045147379,-0.049214953,-0.033203241,0.075751385,0.029267522,0.018295288,-0.001955839,-0.001824545,-0.000959202,-0.038240622,-0.004218131,-0.006296172,-0.016615074,0.009168902,0.010833973,0.026766362,-0.013678223
0.12,9.03386E-05,-1.06933E-05,-0.001037481,0.038639797,-0.005456635,0.077976111,0.009589918,0.006664161,5.66848E-05,6.98673E-05,-0.05977718,-0.010067831,0.014091492,-0.006764267,-0.017785968,-0.024355802,-0.070728098,0.012064461,0.021017541,-0.085473184,0.015531817,-0.01564625,-0.010074062,-0.04148527,-0.005254381,-0.047882197,0.050726971,0.004060003,0.00837326,-0.001964838,-0.001835048,-0.000958451,-0.002565573,-0.022236853,0.022726044,0.005372841,0.006727495,-0.002898937,0.00965363,-0.055632264
0.13,5.62112E-05,1.76635E-05,-0.010681036,0.02876736,-0.020059297,0.125217322,-0.00530266,0.022502784,-4.36373E-05,8.68514E-05,-0.069420734,-0.047528158,-0.010177612,0.012507583,-0.021387042,0.039059726,-0.080768381,0.005350593,0.011225213,-0.090542917,-0.022340498,-0.027853281,0.006558018,0.065143148,0.023630506,0.033996466,0.019080242,-0.010344294,0.022018433,-0.001973838,-0.001830547,-0.000960703,0.00634556,-0.049865275,-0.001474395,0.002946693,0.039640703,-0.025298839,-0.000119624,-0.037123353
0.14,-8.97736E-05,5.16915E-05,-0.050460699,0.011494411,-0.049264619,0.104770545,-0.056205981,0.048076514,-0.000111778,4.34471E-05,-0.001870075,-0.014904867,-0.038093567,0.029215957,0.002630292,0.020382968,-0.103320872,0.017435554,-0.0255046,-0.041138773,-0.017289839,-0.020528109,0.037197666,0.066302816,-0.00023424,0.042526129,0.017767986,0.000519964,0.023258209,-0.001970088,-0.001826045,-0.000948694,0.005094339,-0.034249096,-0.012338653,-0.00683419,0.057920733,0.004547352,-0.006230769,0.02087149
0.15,-7.27109E-05,-1.24112E-06,-0.039619329,0.042347682,-0.039529511,0.037143592,-0.069877856,0.009105567,-7.58145E-05,4.72218E-05,0.034308514,-0.002819906,-0.034446716,-0.014485215,0.045812665,-0.033022794,-0.114642893,-0.004079338,-0.029176246,-0.041138773,0.014265337,0.023417203,0.016781407,0.012408773,-0.00275194,-0.003891108,0.009863934,-0.004362849,0.009613037,-0.001973088,-0.001828296,-0.000945692,0.002530862,0.000586957,0.003347382,-0.021497887,0.011595049,0.056854481,-0.036786494,0.02087149
