Time,B5408_18A,B7057_18A,B6181_18A,B5397_18A,B7036_18A,B7048_18A,B4546_18A,B7040_18A,B7050_18A,B7052_18A,B7038_18A,B7049_18A,B7033_18A,B7034_18A,B7053_18A,B7041_18A,A2149,B7044_18A,B7058_18A,B7047_18A,B4541_18A,B4526_18A,B7061_18A,B6876_18B,IW4-0624-0-CHAN-1,IW4-0624-0-CHAN-2,B5411_18A,IW4-0624-0-CHAN-4,B7045_18A,B7051_18A,B7043_18A,B7054_18A,B5398_18A,B4535_18A,A2148,A2147,A2146_18A,B5404_18A,B7055_18A,B5384_18A
0.01,0.016487815,-0.025224223,0.039739782,0.031245839,0.015353781,-0.067746018,0.006250555,-0.013543158,0.022041032,0.009138541,-0.027334502,0.046750694,-0.035408714,-0.021926417,0.009268905,0.033847231,-1.08952E-05,0.053113166,0.027722075,0.022210391,0.012813684,0.046433882,0.05784815,-0.013022336,-0.001350987,-0.000949295,0.020560694,-0.000853684,-0.013000605,0.005852386,0.023932304,0.069853746,-0.018899699,0.000290266,-2.62296E-05,-0.000108473,-1.69912E-05,0.000460996,0.006526219,0.02910748
0.02,0.040474632,-0.005761638,0.047735388,0.043559681,-0.042145151,-0.047024582,-0.046300715,0.013182611,0.04248018,0.011557059,0.003442475,0.027113109,-0.014504173,-0.021926417,-0.006386612,-0.024685484,-5.22435E-06,0.016431037,0.030132963,0.042901308,-0.012699012,0.074876265,0.063959295,0.033639041,-0.001358489,-0.000943286,0.033225489,-0.000843923,0.022842291,0.014259979,0.031195488,0.04057213,-0.040170451,0.018204085,-3.48667E-06,-4.01735E-05,-9.25699E-05,-0.040917025,0.002894627,0.042565732
0.03,0.003884055,0.012487874,0.049078161,0.00173534,-0.039749521,-0.005581711,-0.036229914,0.010748834,0.019637773,0.011557059,0.007135102,0.030794769,0.003928445,0.022385106,-0.003990983,0.007602114,1.55702E-05,-0.027636346,0.009442045,0.017342837,-0.011417273,0.06132646,-0.010663813,0.053261844,-0.001354738,-0.000936527,0.020560694,-0.000840169,0.020370367,0.032250091,0.031195488,0.04057213,-0.028909465,0.029739729,-3.19162E-05,-1.1716E-05,-3.02159E-05,-0.009571658,0.011363255,0.043939023
0.04,-0.010001443,-0.027658,-0.012307947,-0.020420421,0.030927282,-0.020199631,0.010034735,0.015608759,0.025649735,0.001886801,0.000970551,0.032022147,0.021140359,0.040390477,-0.007607316,0.044619936,-9.00459E-06,-0.039873895,-0.007586763,-0.004568784,0.01537716,0.06132646,-0.013105219,0.058159915,-0.001349487,-0.000940282,-0.004784155,-0.000828156,0.019134405,0.015450165,-0.001519356,0.041792833,-0.008859416,0.000290266,-7.74057E-05,-6.02563E-06,-3.76638E-06,0.031806363,-0.004353298,0.012963681
0.05,0.007668235,-0.002107158,-0.013635462,0.05831493,0.047698599,-0.005581711,0.010034735,0.009535761,0.036475846,0.030899481,-0.015028289,-0.007252545,0.001456521,0.018784032,0.002036239,0.005191225,9.8994E-06,-0.006823358,0.017986967,-0.021612852,0.010250207,0.06132646,0.004022772,0.033639041,-0.001352488,-0.000949295,0.004096461,-0.000832661,0.042617681,0.003441498,-0.020928536,-0.007020033,0.003683309,-0.006118425,-2.43353E-05,-4.12759E-06,-0.000100128,0.016761197,-0.003147853,-0.048987003
0.06,0.019020774,0.03925179,0.023718054,0.057078968,0.000980002,-0.006802414,-0.016271418,0.013182611,-0.000801375,0.040571646,-0.019949248,0.013612418,-0.001015403,0.00444077,0.028540756,0.013553041,2.33799E-06,0.033551398,0.028942778,-0.020392149,-0.001224402,0.063767867,-0.011876887,0.013985721,-0.001359989,-0.00095305,0.007895899,-0.000846927,0.00924671,0.01184909,-0.003899727,-0.037514723,0.002432088,0.011825911,2.19998E-06,3.46082E-06,-8.12338E-05,-0.000794039,0.037959324,-0.030127139
0.07,0.006417014,0.013708577,-0.005639857,-0.005649913,-0.019382852,-0.034817551,-0.019994562,0.035040827,-0.01522856,-0.006574197,0.028062531,0.032022147,0.007590554,0.018784032,0.012885238,0.01596393,-8.46196E-05,0.054333869,-0.018542574,0.005166323,0.001339074,0.043992476,-0.003324335,0.011529056,-0.001357739,-0.000944789,0.005347681,-0.000850681,-0.013000605,-0.002555207,-0.017266426,-0.03629402,0.008688191,0.011825911,-1.86505E-05,6.41719E-05,6.99236E-05,0.038073911,0.005320775,0.038537411
0.08,0.011452415,0.012487874,-0.016290491,-0.00934254,-0.028969187,-0.009243821,-0.008764094,0.004675836,-0.003204635,0.011557059,0.03790445,-0.019525857,-0.013283469,-0.007583156,-0.016030167,-0.024685484,-5.22435E-06,0.028638068,-0.033160494,0.020989687,0.021724817,0.001878218,0.004022772,0.009087649,-0.001349487,-0.000938029,0.00662942,-0.000855936,0.026550176,-0.012168244,-0.012444649,-0.022873915,0.014944295,0.015640608,-7.27716E-06,7.36565E-05,0.000113383,0.055629148,-0.030949367,0.025048642
0.09,0.003884055,0.0112748,0.003698522,-0.001957286,-0.046938318,0.010287429,-3.60662E-05,-0.040268927,-0.011619857,0.063539938,-0.005171111,-0.035481305,0.007590554,-0.033889308,-0.014839982,-0.006741148,8.7405E-05,-0.02028161,-0.000293062,-0.010657041,0.047298547,0.01054521,0.006464178,0.04221448,-0.001356238,-0.000947793,-0.027580785,-0.000851432,0.012954595,-0.015754059,0.042120781,-0.017998732,0.022482137,0.007950179,-6.79305E-05,5.84796E-05,2.07982E-05,-0.012081729,0.039180028,-0.022039981
0.1,-0.01885154,-0.014276042,-0.00295431,-0.015491832,-0.039749521,-0.023861741,0.027551824,-0.015976935,-0.00200682,0.027273612,-0.034719756,-0.020753236,0.033408425,0.03190659,-0.005196427,0.027896303,6.11823E-06,-0.023943719,-0.003924654,-0.028906553,0.011531945,0.047654585,0.032167608,0.063088504,-0.001358489,-0.000961311,-0.033913183,-0.00084092,-0.004348871,-0.021766022,0.036017265,-0.043618239,0.039999227,-0.011245378,-7.74057E-05,6.22738E-05,-1.32137E-05,-0.058472262,0.059733616,0.006219296
0.11,0.021553733,-0.005761638,-0.005639857,-0.029011119,-0.046938318,-0.029965256,0.037500555,0.003462763,0.007613847,-0.010201974,-0.044576934,-0.020753236,0.001456521,0.052353368,-0.003990983,0.012362856,-6.94968E-05,0.005414191,0.003369047,0.007592471,-0.007572058,0.038987593,0.008913214,0.020135013,-0.001349487,-0.000949295,-0.026329565,-0.00084993,0.054977301,-0.007361725,-0.017266426,-0.037514723,0.018728475,0.018204085,-1.5905E-06,0.000100218,3.59154E-05,-0.033394442,0.005320775,0.015649228
0.12,0.024086692,0.00762032,0.025060827,-0.005649913,-0.058916468,0.007815506,-0.001256769,0.004675836,0.002807328,0.001886801,-0.000250152,0.002566486,-0.016976096,-0.005202785,-0.013634537,0.001590151,-2.6018E-05,0.012768927,0.042339995,0.006387026,0.012813684,0.01420732,-0.035131281,0.000481692,-0.001356238,-0.000937278,-0.035179662,-0.000850681,0.06733692,0.005852386,-0.016045723,-0.007020033,-0.006356975,0.055343977,9.77909E-06,0.000130573,3.96929E-05,0.005473508,0.016200291,-0.020727725
0.13,-0.016318581,-0.004540935,0.042394811,0.048473011,-0.018188852,0.035891677,-0.012487238,0.015608759,0.018439958,0.024855094,0.046533296,0.05411449,-0.010811546,-0.011123195,-0.001580094,0.018313784,6.28302E-05,-0.017840203,0.017986967,-0.022818296,-0.016544226,0.024217085,-0.008214777,0.037316409,-0.00136824,-0.000953801,0.005347681,-0.000840169,0.021606329,0.013054535,0.011847343,0.008849108,-7.03535E-05,0.01435887,1.16753E-05,1.86377E-05,-1.13213E-05,-0.000794039,0.025874364,-0.012640567
